Messstelle:                ;Götzendorf
HZB-Nummer:                ;215517
HD-Nummer:                 ;no836
DBMS-Nummer:               ;3003174
Gewässer:                  ;Leitha
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1709,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2015              ;00167,62
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2015              ;768815,00 - 319168,00
Exportzeitreihe:           ;(3003174,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[08.07.2015 12:30,01.01.2022 00:00]
Werte:
09.07.2015 07:10:00;  8,26
17.08.2015 10:00:00;  1,12
15.09.2015 15:00:00;  3,70
20.10.2015 14:10:00;  3,68
11.11.2015 08:55:00;  2,04
02.12.2015 07:20:00;  1,18
26.01.2016 14:55:00;  1,67
02.02.2016 04:15:00;  24,6
12.03.2016 09:15:00;  6,74
08.04.2016 23:35:00;  1,40
31.05.2016 23:05:00;  17,4
01.06.2016 00:00:00;  16,3
14.07.2016 18:35:00;  37,9
21.08.2016 19:20:00;  27,3
07.09.2016 05:10:00;  31,1
21.10.2016 02:50:00;  11,5
07.11.2016 05:15:00;  19,9
02.12.2016 14:10:00;  3,92
04.01.2017 08:45:00;  2,13
24.02.2017 07:05:00;  19,0
20.03.2017 01:05:00;  29,5
28.04.2017 22:35:00;  20,7
01.05.2017 00:15:00;  10,8
05.06.2017 02:30:00;  13,5
24.07.2017 23:45:00;  12,6
11.08.2017 09:35:00;  14,0
20.09.2017 21:45:00;  36,2
30.10.2017 09:45:00;  13,5
01.11.2017 00:05:00;  4,98
13.12.2017 11:15:00;  1,43
06.01.2018 14:25:00;  2,56
01.02.2018 23:15:00;  1,34
17.03.2018 11:40:00;  7,14
17.04.2018 19:15:00;  6,29
16.05.2018 00:45:00;  14,6
14.06.2018 03:40:00;  74,5
01.07.2018 00:10:00;  14,2
11.08.2018 22:40:00;  2,41
01.09.2018 23:45:00;  18,5
08.10.2018 14:00:00;  4,50
27.11.2018 04:15:00;  4,68
25.12.2018 00:10:00;  37,1
16.01.2019 10:55:00;  5,37
23.02.2019 07:35:00;  27,4
02.03.2019 23:40:00;  16,6
06.04.2019 17:35:00;  3,91
12.05.2019 07:00:00;  36,4
01.06.2019 00:20:00;  12,5
01.07.2019 00:05:00;  1,49
25.08.2019 17:25:00;  1,70
09.09.2019 17:50:00;  3,75
07.10.2019 10:25:00;  4,90
14.11.2019 02:10:00;  7,27
24.12.2019 19:50:00;  1,44
05.01.2020 20:25:00; 0,643
04.02.2020 22:00:00;  3,42
06.03.2020 17:20:00;  2,41
28.04.2020 16:45:00;  1,87
24.05.2020 01:00:00; 0,626
22.06.2020 15:25:00;  21,5
03.07.2020 18:40:00;  9,86
30.08.2020 06:50:00;  15,7
02.09.2020 04:50:00;  22,1
12.10.2020 09:45:00;  28,1
01.11.2020 01:05:00;  6,06
25.12.2020 12:00:00;  1,28
30.01.2021 10:20:00;  22,0
01.02.2021 00:00:00;  11,8
15.03.2021 13:45:00;  1,04
14.04.2021 11:15:00;  1,01
02.05.2021 07:15:00;  1,41
07.06.2021 20:00:00;  1,16
18.07.2021 19:30:00;  11,1
02.08.2021 02:40:00;  9,67
25.09.2021 22:15:00;  1,81
06.10.2021 07:25:00;  3,11
03.11.2021 07:10:00;  2,64
31.12.2021 23:55:00;  2,47
