Messstelle:                ;Maria Luggau-Moos
HZB-Nummer:                ;212613
HD-Nummer:                 ;00342
DBMS-Nummer:               ;2001027
Gewässer:                  ;Gail
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;146,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1955              ;01086,60
   28.09.1967              ;01089,00
   01.01.1969              ;01087,33
   01.01.1976              ;01087,00
   14.04.1982              ;01090,51
   01.01.1985              ;01087,33
   24.03.2003              ;01087,41
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1951              ;404714,83 - 173911,32
   01.01.2014              ;404708,44 - 173893,95
   03.10.2019              ;404740,00 - 173863,00
Exportzeitreihe:           ;(2001027,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[10.01.1951 12:00,01.01.2022 00:00]
Werte:
10.01.1951 12:00:00;  1,64
13.02.1951 12:00:00;  12,3
14.03.1951 12:00:00;  3,88
30.04.1951 12:00:00;  22,7
28.05.1951 12:00:00;  47,3
16.06.1951 12:00:00;  37,3
16.07.1951 12:00:00;  20,4
08.08.1951 12:00:00;  8,54
18.09.1951 12:00:00;  4,44
26.10.1951 12:00:00;  3,24
12.11.1951 12:00:00;   113
03.12.1951 12:00:00;  2,88
25.01.1952 12:00:00;  1,55
17.02.1952 12:00:00;  1,33
31.03.1952 12:00:00;  2,70
28.04.1952 12:00:00;  7,16
09.05.1952 12:00:00;  9,47
16.06.1952 12:00:00;  6,70
29.07.1952 12:00:00;  7,62
22.08.1952 12:00:00;  8,54
13.09.1952 12:00:00;  7,16
26.10.1952 12:00:00;  27,9
01.11.1952 12:00:00;  7,16
02.12.1952 12:00:00;  2,70
31.01.1953 12:00:00;  1,55
28.02.1953 12:00:00;  1,55
31.03.1953 12:00:00;  1,64
28.04.1953 12:00:00;  9,00
23.05.1953 12:00:00;  6,36
10.06.1953 12:00:00;  37,3
30.07.1953 12:00:00;  27,9
03.08.1953 12:00:00;  18,5
26.09.1953 12:00:00;  9,94
28.10.1953 12:00:00;  90,0
01.11.1953 12:00:00;  19,9
05.12.1953 12:00:00;  2,70
22.01.1954 12:00:00;  1,82
17.02.1954 12:00:00;  1,40
31.03.1954 12:00:00;  1,73
08.04.1954 12:00:00;  7,16
31.05.1954 12:00:00;  18,5
07.06.1954 12:00:00;  26,0
08.07.1954 12:00:00;  11,4
10.08.1954 12:00:00;  15,9
01.09.1954 12:00:00;  4,86
25.10.1954 12:00:00;  4,26
10.11.1954 12:00:00;  2,98
11.12.1954 12:00:00;  4,86
24.01.1955 12:00:00;  1,90
01.02.1955 12:00:00;  1,74
28.03.1955 12:00:00;  4,50
30.04.1955 12:00:00;  6,30
15.05.1955 12:00:00;  14,5
11.06.1955 12:00:00;  13,7
30.07.1955 12:00:00;  3,80
02.08.1955 12:00:00;  3,59
15.09.1955 12:00:00;  13,8
22.10.1955 12:00:00;  5,72
14.11.1955 12:00:00;  3,17
16.12.1955 12:00:00;  2,05
08.01.1956 12:00:00;  1,69
03.02.1956 12:00:00;  1,69
03.03.1956 12:00:00;  2,33
25.04.1956 12:00:00;  3,80
25.05.1956 12:00:00;  16,3
09.06.1956 12:00:00;  13,2
11.07.1956 12:00:00;  5,34
23.08.1956 12:00:00;  4,44
26.09.1956 12:00:00;  17,5
07.10.1956 12:00:00;  4,44
04.11.1956 12:00:00;  2,70
13.12.1956 12:00:00;  2,28
24.01.1957 12:00:00;  2,00
28.02.1957 12:00:00;  1,91
26.03.1957 12:00:00;  4,16
30.04.1957 12:00:00;  6,70
03.05.1957 12:00:00;  9,94
12.06.1957 12:00:00;  28,0
22.07.1957 12:00:00;  10,9
19.08.1957 12:00:00;  8,54
14.09.1957 12:00:00;  3,88
02.10.1957 12:00:00;  3,60
08.11.1957 12:00:00;  8,08
14.12.1957 12:00:00;  3,42
04.01.1958 12:00:00;  2,14
28.02.1958 12:00:00;  1,91
31.03.1958 12:00:00;  1,91
30.04.1958 12:00:00;  5,34
10.05.1958 12:00:00;  33,0
27.06.1958 12:00:00;  16,6
23.07.1958 12:00:00;  10,4
05.08.1958 12:00:00;  15,1
22.09.1958 12:00:00;  6,02
01.10.1958 12:00:00;  14,2
13.11.1958 12:00:00;  7,62
01.12.1958 12:00:00;  3,42
16.01.1959 12:00:00;  2,56
28.02.1959 12:00:00;  2,42
08.03.1959 12:00:00;  3,59
19.04.1959 12:00:00;  8,36
23.05.1959 12:00:00;  16,8
29.06.1959 12:00:00;  18,5
01.07.1959 12:00:00;  13,3
12.08.1959 12:00:00;  6,98
01.09.1959 12:00:00;  2,47
28.10.1959 12:00:00;  17,3
01.11.1959 12:00:00;  3,80
01.12.1959 12:00:00;  2,33
18.01.1960 12:00:00;  1,89
03.02.1960 12:00:00;  1,27
31.03.1960 12:00:00;  2,80
14.04.1960 12:00:00;  7,70
18.05.1960 12:00:00;  26,0
01.06.1960 12:00:00;  12,3
12.07.1960 12:00:00;  12,3
19.08.1960 12:00:00;  15,1
20.09.1960 12:00:00;  53,5
29.10.1960 12:00:00;  51,3
05.11.1960 12:00:00;  16,8
06.12.1960 12:00:00;  5,43
21.01.1961 12:00:00;  2,25
28.02.1961 12:00:00;  1,68
20.03.1961 12:00:00;  3,44
15.04.1961 12:00:00;  10,2
29.05.1961 12:00:00;  12,4
27.06.1961 12:00:00;  10,2
15.07.1961 12:00:00;  7,66
16.08.1961 12:00:00;  8,44
07.09.1961 12:00:00;  5,72
08.10.1961 12:00:00;  23,0
10.11.1961 12:00:00;  4,01
