Messstelle:                ;Hannersdorf
HZB-Nummer:                ;210252
HD-Nummer:                 ;
DBMS-Nummer:               ;1001023
Gewässer:                  ;Tauchenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;175,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00246,39
   01.01.1989              ;00246,96
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1933              ;753700,00 - 232200,00
   05.10.2018              ;753697,93 - 232217,30
Exportzeitreihe:           ;(1001023,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
31.01.1951 12:00:00;  1,17
23.02.1951 12:00:00;  1,51
31.03.1951 12:00:00; 0,960
07.04.1951 12:00:00; 0,960
11.05.1951 12:00:00;  10,0
05.06.1951 12:00:00;  10,0
12.07.1951 12:00:00; 0,360
11.08.1951 12:00:00; 0,360
29.09.1951 12:00:00; 0,960
31.10.1951 12:00:00; 0,280
22.11.1951 12:00:00; 0,440
22.12.1951 12:00:00; 0,360
31.01.1952 12:00:00; 0,560
28.02.1952 12:00:00;  9,70
03.03.1952 12:00:00; 0,830
04.04.1952 12:00:00; 0,740
10.05.1952 12:00:00;  1,11
24.06.1952 12:00:00; 0,920
09.07.1952 12:00:00; 0,410
08.08.1952 12:00:00; 0,410
26.09.1952 12:00:00; 0,490
25.10.1952 12:00:00; 0,830
30.11.1952 12:00:00; 0,660
15.12.1952 12:00:00;  2,54
02.01.1953 12:00:00; 0,660
01.02.1953 12:00:00; 0,660
14.03.1953 12:00:00; 0,490
29.04.1953 12:00:00; 0,660
26.05.1953 12:00:00; 0,660
08.06.1953 12:00:00;  13,0
30.07.1953 12:00:00; 0,740
31.08.1953 12:00:00; 0,410
30.09.1953 12:00:00; 0,410
31.10.1953 12:00:00; 0,660
30.11.1953 12:00:00; 0,490
21.12.1953 12:00:00; 0,490
31.01.1954 12:00:00; 0,410
28.02.1954 12:00:00; 0,410
03.03.1954 12:00:00;  12,8
03.04.1954 12:00:00; 0,660
07.05.1954 12:00:00;  12,3
15.06.1954 12:00:00;  4,25
08.07.1954 12:00:00;  9,02
21.08.1954 12:00:00; 0,490
21.09.1954 12:00:00; 0,660
31.10.1954 12:00:00; 0,660
11.11.1954 12:00:00;  14,5
13.12.1954 12:00:00;  3,71
11.01.1955 12:00:00; 0,830
28.02.1955 12:00:00; 0,830
22.03.1955 12:00:00;  12,8
01.04.1955 12:00:00; 0,740
18.05.1955 12:00:00; 0,660
03.06.1955 12:00:00; 0,740
14.07.1955 12:00:00;  13,0
08.08.1955 12:00:00;  7,24
16.09.1955 12:00:00;  1,11
24.10.1955 12:00:00;  1,11
18.11.1955 12:00:00; 0,830
19.12.1955 12:00:00; 0,740
12.01.1956 12:00:00; 0,740
04.02.1956 12:00:00;  1,02
04.03.1956 12:00:00;  5,70
30.04.1956 12:00:00;  1,83
01.05.1956 12:00:00;  1,52
09.06.1956 12:00:00; 0,740
21.07.1956 12:00:00; 0,570
26.08.1956 12:00:00; 0,660
14.09.1956 12:00:00; 0,490
29.10.1956 12:00:00; 0,660
29.11.1956 12:00:00; 0,570
31.12.1956 12:00:00; 0,570
31.01.1957 12:00:00; 0,570
20.02.1957 12:00:00;  1,16
31.03.1957 12:00:00;  1,31
12.04.1957 12:00:00;  2,06
25.05.1957 12:00:00; 0,700
06.06.1957 12:00:00; 0,740
22.07.1957 12:00:00;  3,70
01.08.1957 12:00:00; 0,660
04.09.1957 12:00:00; 0,970
23.10.1957 12:00:00; 0,450
30.11.1957 12:00:00; 0,370
02.12.1957 12:00:00; 0,830
31.01.1958 12:00:00; 0,520
12.02.1958 12:00:00;  1,25
31.03.1958 12:00:00; 0,910
01.04.1958 12:00:00; 0,820
06.05.1958 12:00:00; 0,610
29.06.1958 12:00:00; 0,690
05.07.1958 12:00:00; 0,690
03.08.1958 12:00:00;  2,47
23.09.1958 12:00:00;  1,25
13.10.1958 12:00:00;  5,44
24.11.1958 12:00:00; 0,780
24.12.1958 12:00:00;  8,00
27.01.1959 12:00:00; 0,780
28.02.1959 12:00:00; 0,690
12.03.1959 12:00:00; 0,780
11.04.1959 12:00:00;  9,00
17.05.1959 12:00:00; 0,520
29.06.1959 12:00:00;  6,60
01.07.1959 12:00:00;  1,17
13.08.1959 12:00:00;  7,72
27.09.1959 12:00:00; 0,200
29.10.1959 12:00:00; 0,320
16.11.1959 12:00:00; 0,280
25.12.1959 12:00:00;  1,06
02.01.1960 12:00:00; 0,360
23.02.1960 12:00:00; 0,560
18.03.1960 12:00:00; 0,820
26.04.1960 12:00:00; 0,610
09.05.1960 12:00:00; 0,610
11.06.1960 12:00:00; 0,860
13.07.1960 12:00:00;  2,35
13.08.1960 12:00:00;  8,02
22.09.1960 12:00:00;  2,12
16.10.1960 12:00:00;  10,5
29.11.1960 12:00:00; 0,860
14.12.1960 12:00:00;  1,15
05.01.1961 12:00:00;  1,67
06.02.1961 12:00:00; 0,860
19.03.1961 12:00:00; 0,650
18.04.1961 12:00:00; 0,780
08.05.1961 12:00:00;  1,77
08.06.1961 12:00:00;  21,0
06.07.1961 12:00:00;  1,25
29.08.1961 12:00:00; 0,690
08.09.1961 12:00:00; 0,860
22.10.1961 12:00:00;  1,31
07.11.1961 12:00:00;  1,31
13.12.1961 12:00:00;  1,21
13.01.1962 12:00:00;  7,88
03.02.1962 12:00:00;  1,49
12.03.1962 12:00:00;  7,94
30.04.1962 12:00:00;  1,00
26.05.1962 12:00:00;  1,10
27.06.1962 12:00:00; 0,740
03.07.1962 12:00:00; 0,740
16.08.1962 12:00:00; 0,740
18.09.1962 12:00:00; 0,660
06.10.1962 12:00:00; 0,320
20.11.1962 12:00:00;  12,0
14.12.1962 12:00:00;  1,21
31.01.1963 12:00:00; 0,690
28.02.1963 12:00:00; 0,740
12.03.1963 12:00:00;  21,3
01.04.1963 12:00:00;  6,44
03.05.1963 12:00:00;  2,24
24.06.1963 12:00:00;  7,88
26.07.1963 12:00:00; 0,520
31.08.1963 12:00:00;  1,06
01.09.1963 12:00:00; 0,960
28.10.1963 12:00:00; 0,520
17.11.1963 12:00:00;  5,29
31.12.1963 12:00:00; 0,690
31.01.1964 12:00:00; 0,690
19.02.1964 12:00:00;  1,86
22.03.1964 12:00:00;  10,7
05.04.1964 12:00:00;  1,16
18.05.1964 12:00:00; 0,840
19.06.1964 12:00:00; 0,840
31.07.1964 12:00:00; 0,460
15.08.1964 12:00:00; 0,460
22.09.1964 12:00:00; 0,390
25.10.1964 12:00:00;  17,5
13.11.1964 12:00:00; 0,750
24.12.1964 12:00:00; 0,560
18.01.1965 12:00:00; 0,800
24.02.1965 12:00:00;  1,05
06.03.1965 12:00:00;  7,36
22.04.1965 12:00:00;  25,0
23.05.1965 12:00:00;  17,7
08.06.1965 12:00:00;  14,1
