Messstelle:                ;Seeboden-Seebrücke
HZB-Nummer:                ;212522
HD-Nummer:                 ;00235
DBMS-Nummer:               ;2001019
Gewässer:                  ;Seebach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;286,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1895              ;00587,97
   01.08.1935              ;00587,95
   24.01.1938              ;00587,97
   16.05.1940              ;00586,97
   10.07.1969              ;00587,06
   01.02.1976              ;00587,05
   01.09.1978              ;00586,66
   28.07.1986              ;00586,66
   19.11.1992              ;00586,64
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;463354,38 - 186044,30
   04.08.2015              ;463479,50 - 186067,30
Exportzeitreihe:           ;(2001019,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1965 12:00,01.01.2022 00:00]
Werte:
01.01.1965 12:00:00;  7,45
03.02.1965 12:00:00;  3,62
31.03.1965 12:00:00;  5,26
30.04.1965 12:00:00;  6,04
26.05.1965 12:00:00;  16,5
10.06.1965 12:00:00;  18,1
06.07.1965 12:00:00;  12,5
03.08.1965 12:00:00;  15,7
04.09.1965 12:00:00;  19,1
01.10.1965 12:00:00;  15,3
30.11.1965 12:00:00;  5,64
01.12.1965 12:00:00;  5,45
01.01.1966 12:00:00;  4,15
28.02.1966 12:00:00;  4,51
08.03.1966 12:00:00;  4,88
30.04.1966 12:00:00;  7,04
08.05.1966 12:00:00;  8,07
02.06.1966 12:00:00;  5,64
31.07.1966 12:00:00;  5,64
20.08.1966 12:00:00;  21,0
01.09.1966 12:00:00;  15,3
30.10.1966 12:00:00;  6,04
07.11.1966 12:00:00;  17,2
03.12.1966 12:00:00;  9,13
02.01.1967 12:00:00;  4,51
28.02.1967 12:00:00;  3,12
31.03.1967 12:00:00;  3,79
20.04.1967 12:00:00;  8,92
20.05.1967 12:00:00;  10,6
01.06.1967 12:00:00;  9,07
04.07.1967 12:00:00;  5,58
19.08.1967 12:00:00;  7,79
15.09.1967 12:00:00;  15,0
06.10.1967 12:00:00;  9,50
10.11.1967 12:00:00;  8,85
01.12.1967 12:00:00;  6,56
04.01.1968 12:00:00;  3,39
29.02.1968 12:00:00;  3,39
02.03.1968 12:00:00;  3,39
30.04.1968 12:00:00;  8,85
10.05.1968 12:00:00;  8,78
21.06.1968 12:00:00;  12,5
01.07.1968 12:00:00;  9,43
19.08.1968 12:00:00;  7,31
19.09.1968 12:00:00;  7,51
01.10.1968 12:00:00;  6,10
22.11.1968 12:00:00;  5,51
01.12.1968 12:00:00;  4,57
20.01.1969 12:00:00;  3,23
25.02.1969 12:00:00;  2,75
31.03.1969 12:00:00;  4,82
30.04.1969 12:00:00;  7,38
10.05.1969 12:00:00;  12,0
19.06.1969 12:00:00;  10,2
11.07.1969 12:00:00;  8,00
30.08.1969 12:00:00;  7,17
24.09.1969 12:00:00;  7,86
01.10.1969 12:00:00;  5,84
26.11.1969 12:00:00;  5,97
01.12.1969 12:00:00;  5,38
18.01.1970 12:00:00;  3,39
14.02.1970 12:00:00;  3,23
31.03.1970 12:00:00;  3,91
30.04.1970 12:00:00;  12,0
23.05.1970 12:00:00;  13,5
02.06.1970 12:00:00;  10,2
18.07.1970 12:00:00;  10,4
23.08.1970 12:00:00;  9,65
01.09.1970 12:00:00;  8,78
01.10.1970 12:00:00;  4,21
18.11.1970 12:00:00;  3,85
04.12.1970 12:00:00;  3,01
07.01.1971 12:00:00;  2,36
28.02.1971 12:00:00;  2,36
27.03.1971 12:00:00;  4,45
30.04.1971 12:00:00;  6,36
13.05.1971 12:00:00;  7,60
02.06.1971 12:00:00;  5,51
02.07.1971 12:00:00;  3,68
15.08.1971 12:00:00;  2,69
02.09.1971 12:00:00;  2,69
22.10.1971 12:00:00;  2,36
14.11.1971 12:00:00;  3,07
04.12.1971 12:00:00;  2,59
11.01.1972 12:00:00;  2,45
29.02.1972 12:00:00;  2,75
31.03.1972 12:00:00;  4,82
24.04.1972 12:00:00;  10,0
29.05.1972 12:00:00;  14,8
04.06.1972 12:00:00;  18,5
22.07.1972 12:00:00;  13,8
01.08.1972 12:00:00;  12,4
01.09.1972 12:00:00;  4,63
11.10.1972 12:00:00;  3,23
22.11.1972 12:00:00;  3,39
10.12.1972 12:00:00;  3,39
07.01.1973 12:00:00;  2,05
17.02.1973 12:00:00;  2,05
31.03.1973 12:00:00;  2,45
16.04.1973 12:00:00;  5,26
