Messstelle:                ;Güssing (Kulturzentrum)
HZB-Nummer:                ;210286
HD-Nummer:                 ;
DBMS-Nummer:               ;1001026
Gewässer:                  ;Strem
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;316,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00209,97
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1933              ;749300,00 - 213650,00
   05.10.2018              ;749328,86 - 213608,18
Exportzeitreihe:           ;(1001026,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
12.01.1976 22:00:00;  2,62
16.02.1976 22:00:00;  3,89
01.03.1976 00:00:00;  1,75
25.04.1976 02:00:00;  21,9
14.05.1976 08:00:00;  8,75
13.06.1976 18:00:00;  2,02
28.07.1976 02:00:00;  1,24
02.08.1976 00:00:00;  1,18
05.09.1976 04:00:00;  1,50
17.10.1976 20:00:00;  3,20
14.11.1976 19:00:00;  6,53
03.12.1976 01:00:00;  26,8
30.01.1977 02:00:00;  21,7
12.02.1977 13:00:00;  26,1
29.03.1977 13:00:00; 0,858
09.04.1977 11:00:00;  3,65
15.05.1977 15:00:00; 0,329
16.06.1977 17:00:00; 0,663
08.07.1977 00:00:00;  2,80
13.08.1977 22:00:00; 0,578
10.09.1977 00:00:00; 0,526
17.10.1977 15:00:00; 0,374
14.11.1977 03:00:00; 0,828
29.12.1977 18:00:00; 0,351
30.01.1978 10:00:00; 0,768
27.02.1978 07:00:00;  1,71
01.03.1978 00:00:00; 0,879
14.04.1978 06:00:00;  1,29
24.05.1978 16:00:00;  1,72
11.06.1978 11:00:00;  22,3
19.07.1978 17:00:00;  28,2
04.08.1978 06:00:00;  3,86
30.09.1978 23:59:55; 0,690
01.10.1978 04:00:00;  1,45
20.11.1978 18:00:00; 0,492
30.12.1978 15:00:00; 0,519
29.01.1979 18:00:00;  11,5
17.02.1979 06:00:00;  21,0
30.03.1979 00:00:00;  8,20
06.04.1979 15:00:00;  23,0
03.05.1979 03:00:00;  21,4
30.06.1979 23:59:55;  26,4
03.07.1979 23:00:00;  36,5
04.08.1979 02:00:00;  56,3
24.09.1979 21:00:00;  2,92
31.10.1979 02:00:00;  1,41
19.11.1979 21:00:00;  21,6
25.12.1979 10:00:00;  6,79
31.01.1980 23:59:55;  4,31
01.02.1980 15:00:00;  28,6
24.03.1980 07:00:00;  1,16
02.04.1980 20:00:00; 0,826
09.05.1980 14:00:00;  19,8
27.06.1980 10:00:00;  16,0
21.07.1980 16:00:00;  21,6
31.08.1980 17:00:00;  11,0
01.09.1980 00:00:00;  6,10
13.10.1980 18:00:00;  81,7
06.11.1980 17:00:00;  35,3
01.12.1980 00:00:00;  1,56
30.01.1981 15:00:00;  1,21
04.02.1981 17:00:00;  1,85
10.03.1981 00:00:00;  5,90
01.04.1981 18:00:00; 0,696
04.05.1981 22:00:00;  1,15
24.06.1981 17:00:00;  10,1
20.07.1981 02:00:00;  12,3
01.08.1981 00:00:00; 0,447
29.09.1981 17:00:00;  33,5
01.10.1981 00:00:00;  4,60
06.11.1981 14:00:00;  1,85
31.12.1981 20:00:00;  9,31
02.01.1982 05:00:00;  43,6
01.02.1982 04:00:00;  1,06
19.03.1982 17:00:00;  8,51
24.04.1982 06:00:00;  1,44
11.05.1982 19:00:00;  8,73
28.06.1982 03:00:00;  2,96
19.07.1982 01:00:00;  15,4
17.08.1982 20:00:00;  77,2
08.09.1982 09:00:00;  27,8
01.10.1982 21:00:00;  87,5
14.11.1982 16:00:00;  31,5
11.12.1982 11:00:00;  73,2
17.01.1983 05:00:00;  7,08
28.02.1983 23:59:55;  3,08
03.03.1983 22:00:00;  9,82
23.04.1983 02:00:00;  11,4
09.05.1983 18:00:00;  2,06
14.06.1983 11:00:00;  2,50
08.07.1983 16:00:00;  1,13
03.08.1983 14:00:00;  1,50
03.09.1983 23:00:00;  3,96
18.10.1983 04:00:00;  3,98
28.11.1983 06:00:00;  3,10
23.12.1983 05:00:00;  6,14
04.01.1984 20:00:00;  1,95
28.02.1984 01:00:00;  4,41
02.03.1984 19:00:00;  15,0
04.04.1984 15:00:00;  5,93
30.05.1984 11:00:00;  18,5
24.06.1984 04:00:00;  6,31
22.07.1984 23:00:00;  1,32
07.08.1984 16:00:00;  3,90
24.09.1984 15:00:00;  7,62
04.10.1984 19:00:00;  4,99
20.11.1984 16:00:00;  3,13
06.12.1984 19:00:00;  1,72
28.01.1985 00:01:00;  1,05
01.02.1985 00:00:00;  1,05
22.03.1985 20:00:00;  46,0
28.04.1985 09:00:00;  2,69
07.05.1985 22:00:00;  40,2
06.06.1985 19:00:00;  20,7
21.07.1985 13:00:00;  2,15
07.08.1985 15:00:00;  8,80
04.09.1985 11:00:00;  1,31
01.10.1985 16:00:00;  2,01
24.11.1985 23:00:00;  6,76
30.12.1985 02:00:00;  32,4
24.01.1986 17:30:00;  31,5
02.02.1986 15:15:00;  6,70
25.03.1986 15:00:00;  45,7
01.04.1986 00:10:00;  2,75
30.05.1986 17:15:00;  13,8
19.06.1986 22:45:00;  23,5
25.07.1986 00:30:00;  1,12
29.08.1986 12:15:00;  2,18
19.09.1986 05:00:00;  1,27
23.10.1986 21:00:00; 0,867
24.11.1986 11:15:00;  3,72
02.12.1986 10:30:00; 0,736
19.01.1987 08:30:00;  1,07
20.02.1987 21:45:00;  37,1
29.03.1987 06:15:00;  17,3
02.04.1987 23:00:00;  2,66
28.05.1987 02:45:00;  16,2
17.06.1987 22:30:00;  4,19
26.07.1987 17:30:00;  7,65
05.08.1987 01:30:00;  45,1
06.09.1987 23:00:00;  1,59
12.10.1987 17:15:00; 0,828
30.11.1987 23:59:55;  5,94
01.12.1987 03:15:00;  6,66
30.01.1988 19:45:00;  17,1
13.02.1988 02:45:00;  13,9
06.03.1988 02:00:00;  2,20
22.04.1988 04:00:00;  1,52
21.05.1988 07:15:00;  6,96
12.06.1988 02:00:00;  5,27
15.07.1988 13:45:00;  1,52
22.08.1988 12:15:00;  1,29
14.09.1988 00:00:00;  14,6
21.10.1988 10:00:00;  2,61
14.11.1988 15:15:00; 0,600
02.12.1988 22:15:00;  3,94
15.01.1989 13:30:00; 0,511
26.02.1989 20:00:00; 0,877
21.03.1989 22:30:00;  2,36
15.04.1989 13:45:00;  1,10
21.05.1989 01:45:00;  18,9
03.06.1989 03:30:00;  4,91
31.07.1989 23:59:55;  16,9
01.08.1989 02:00:00;  21,9
05.09.1989 10:45:00;  10,5
05.10.1989 18:30:00; 0,828
07.11.1989 09:45:00; 0,985
20.12.1989 03:00:00; 0,828
26.01.1990 21:15:00;  2,44
13.02.1990 22:00:00; 0,845
28.03.1990 18:15:00; 0,845
23.04.1990 18:15:00;  4,30
26.05.1990 05:00:00;  7,20
10.06.1990 08:00:00;  25,4
11.07.1990 00:45:00;  11,5
21.08.1990 21:30:00;  2,65
20.09.1990 22:30:00;  13,1
30.10.1990 06:30:00;  4,09
01.11.1990 16:30:00;  40,6
10.12.1990 18:45:00;  4,82
05.01.1991 12:45:00;  1,59
24.02.1991 18:15:00;  3,99
30.03.1991 17:45:00;  3,13
01.04.1991 00:00:00;  1,73
11.05.1991 13:15:00;  6,95
28.06.1991 02:15:00;  42,8
25.07.1991 02:15:00;  14,6
01.08.1991 20:30:00;  1,82
23.09.1991 18:15:00;  7,50
18.10.1991 22:45:00;  9,16
21.11.1991 00:30:00;  21,1
23.12.1991 17:00:00;  2,55
31.01.1992 22:15:00; 0,829
14.02.1992 15:30:00;  1,66
27.03.1992 04:15:00;  18,5
03.04.1992 01:15:00;  2,36
13.05.1992 20:15:00; 0,828
12.06.1992 19:15:00;  10,6
08.07.1992 03:15:00;  6,96
02.08.1992 17:15:00; 0,203
01.09.1992 19:45:00; 0,504
30.10.1992 19:15:00;  8,30
17.11.1992 02:45:00;  31,7
06.12.1992 03:30:00;  39,0
28.01.1993 17:45:00; 0,931
23.02.1993 11:00:00; 0,985
15.03.1993 19:45:00; 0,785
12.04.1993 11:00:00; 0,829
07.05.1993 00:00:00;  1,08
08.06.1993 08:30:00;  1,31
06.07.1993 08:15:00; 0,368
25.08.1993 21:15:00; 0,543
30.09.1993 18:15:00; 0,997
06.10.1993 17:00:00;  3,24
06.11.1993 20:30:00;  1,04
25.12.1993 05:30:00;  6,71
06.01.1994 19:00:00;  6,33
01.02.1994 14:15:00;  1,04
26.03.1994 16:30:00; 0,778
12.04.1994 12:15:00;  19,7
30.05.1994 00:45:00;  2,04
13.06.1994 11:45:00;  5,64
07.07.1994 22:15:00;  1,41
12.08.1994 07:45:00;  3,06
03.09.1994 15:45:00;  8,67
