Messstelle:                ;Kainisch
HZB-Nummer:                ;210583
HD-Nummer:                 ;ow0040
DBMS-Nummer:               ;6001011
Gewässer:                  ;Kainischtraun
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;57,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00763,53
   10.05.2010              ;00764,26
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1947              ;562455,80 - 273257,80
   01.01.2018              ;562441,10 - 273197,90
Exportzeitreihe:           ;(6001011,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[06.01.1951 12:00,01.01.2022 00:00]
Werte:
06.01.1951 12:00:00; 0,840
16.02.1951 12:00:00;  1,20
19.03.1951 12:00:00;  4,51
27.04.1951 12:00:00;  12,0
24.05.1951 12:00:00;  19,0
09.06.1951 12:00:00;  9,88
17.07.1951 12:00:00;  10,9
10.08.1951 12:00:00;  1,40
26.09.1951 12:00:00;  6,75
01.10.1951 12:00:00;  1,10
12.11.1951 12:00:00;  7,90
17.12.1951 12:00:00;  4,32
07.01.1952 12:00:00; 0,920
13.02.1952 12:00:00; 0,760
31.03.1952 12:00:00;  6,55
23.04.1952 12:00:00;  14,1
17.05.1952 12:00:00;  21,7
26.06.1952 12:00:00;  30,0
29.07.1952 12:00:00;  4,00
02.08.1952 12:00:00;  2,62
01.09.1952 12:00:00;  7,90
26.10.1952 12:00:00;  8,60
03.11.1952 12:00:00;  4,84
02.12.1952 12:00:00;  5,68
04.01.1953 12:00:00; 0,780
28.02.1953 12:00:00; 0,960
31.03.1953 12:00:00;  5,68
09.04.1953 12:00:00;  8,60
18.05.1953 12:00:00;  15,0
01.06.1953 12:00:00;  7,90
20.07.1953 12:00:00;  14,4
04.08.1953 12:00:00;  10,3
26.09.1953 12:00:00;  2,94
05.10.1953 12:00:00;  4,00
09.11.1953 12:00:00; 0,780
01.12.1953 12:00:00; 0,540
21.01.1954 12:00:00;  11,9
01.02.1954 12:00:00; 0,600
31.03.1954 12:00:00;  5,05
04.04.1954 12:00:00;  19,5
19.05.1954 12:00:00;  18,3
01.06.1954 12:00:00;  9,82
02.07.1954 12:00:00;  28,8
08.08.1954 12:00:00;  9,82
30.09.1954 12:00:00;  7,90
02.10.1954 12:00:00;  26,0
10.11.1954 12:00:00;  6,10
28.12.1954 12:00:00;  2,02
13.01.1955 12:00:00;  1,49
03.02.1955 12:00:00; 0,870
26.03.1955 12:00:00;  9,09
30.04.1955 12:00:00;  20,1
02.05.1955 12:00:00;  21,7
21.06.1955 12:00:00;  27,0
09.07.1955 12:00:00;  24,0
09.08.1955 12:00:00;  10,8
15.09.1955 12:00:00;  5,89
11.10.1955 12:00:00;  4,21
05.11.1955 12:00:00;  1,27
29.12.1955 12:00:00;  6,10
01.01.1956 12:00:00;  1,49
10.02.1956 12:00:00; 0,690
03.03.1956 12:00:00;  14,4
14.04.1956 12:00:00;  9,58
20.05.1956 12:00:00;  15,8
15.06.1956 12:00:00;  13,5
25.07.1956 12:00:00;  19,0
24.08.1956 12:00:00;  11,0
13.09.1956 12:00:00;  29,0
19.10.1956 12:00:00;  6,20
07.11.1956 12:00:00;  3,75
08.12.1956 12:00:00;  9,36
07.01.1957 12:00:00;  7,99
02.02.1957 12:00:00;  7,32
19.03.1957 12:00:00;  12,0
30.04.1957 12:00:00;  12,5
02.05.1957 12:00:00;  14,6
06.06.1957 12:00:00;  12,8
23.07.1957 12:00:00;  23,5
19.08.1957 12:00:00;  13,3
18.09.1957 12:00:00;  17,0
01.10.1957 12:00:00;  2,09
29.11.1957 12:00:00;  1,23
09.12.1957 12:00:00;  1,85
26.01.1958 12:00:00;  1,04
17.02.1958 12:00:00;  18,4
31.03.1958 12:00:00;  3,98
23.04.1958 12:00:00;  9,30
07.05.1958 12:00:00;  20,2
29.06.1958 12:00:00;  30,0
01.07.1958 12:00:00;  10,7
08.08.1958 12:00:00;  8,39
23.09.1958 12:00:00;  9,53
16.10.1958 12:00:00;  26,9
13.11.1958 12:00:00;  6,87
29.12.1958 12:00:00;  6,26
01.01.1959 12:00:00;  2,15
28.02.1959 12:00:00;  1,08
26.03.1959 12:00:00;  5,66
19.04.1959 12:00:00;  25,9
12.05.1959 12:00:00;  9,45
14.06.1959 12:00:00;  22,5
02.07.1959 12:00:00;  21,0
13.08.1959 12:00:00;  28,0
28.09.1959 12:00:00;  1,84
29.10.1959 12:00:00;  2,13
15.11.1959 12:00:00;  1,84
31.12.1959 12:00:00;  2,58
01.01.1960 12:00:00;  1,70
29.02.1960 12:00:00;  5,58
31.03.1960 12:00:00;  6,32
10.04.1960 12:00:00;  11,9
15.05.1960 12:00:00;  17,9
24.06.1960 12:00:00;  10,4
26.07.1960 12:00:00;  22,0
13.08.1960 12:00:00;  17,7
06.09.1960 12:00:00;  14,9
11.10.1960 12:00:00;  8,21
13.11.1960 12:00:00;  2,49
08.12.1960 12:00:00;  1,53
05.01.1961 12:00:00; 0,790
28.02.1961 12:00:00;  2,22
14.03.1961 12:00:00;  13,0
09.04.1961 12:00:00;  15,7
15.05.1961 12:00:00;  17,9
03.06.1961 12:00:00;  14,9
29.07.1961 12:00:00;  8,89
18.08.1961 12:00:00;  18,2
10.09.1961 12:00:00;  2,09
27.10.1961 12:00:00;  1,42
13.11.1961 12:00:00;  5,13
12.12.1961 12:00:00;  35,0
27.01.1962 12:00:00;  2,30
14.02.1962 12:00:00;  1,59
31.03.1962 12:00:00;  4,70
27.04.1962 12:00:00;  17,9
10.05.1962 12:00:00;  23,0
02.06.1962 12:00:00;  17,1
04.07.1962 12:00:00;  13,4
18.08.1962 12:00:00;  10,4
18.09.1962 12:00:00;  4,20
01.10.1962 12:00:00;  1,44
06.11.1962 12:00:00;  4,36
16.12.1962 12:00:00;  1,46
04.01.1963 12:00:00; 0,880
05.02.1963 12:00:00; 0,580
19.03.1963 12:00:00;  2,61
22.04.1963 12:00:00;  11,9
14.05.1963 12:00:00;  12,2
21.06.1963 12:00:00;  13,0
08.07.1963 12:00:00;  5,23
30.08.1963 12:00:00;  9,67
28.09.1963 12:00:00;  8,35
05.10.1963 12:00:00;  6,50
21.11.1963 12:00:00;  6,32
05.12.1963 12:00:00;  1,32
06.01.1964 12:00:00; 0,440
03.02.1964 12:00:00;  2,44
31.03.1964 12:00:00;  3,23
20.04.1964 12:00:00;  12,6
09.05.1964 12:00:00;  22,2
09.06.1964 12:00:00;  9,20
11.07.1964 12:00:00;  15,7
03.08.1964 12:00:00;  20,5
08.09.1964 12:00:00;  11,1
29.10.1964 12:00:00;  8,27
18.11.1964 12:00:00;  28,0
01.12.1964 12:00:00;  2,90
14.01.1965 12:00:00;  1,16
01.02.1965 12:00:00;  1,39
31.03.1965 12:00:00;  6,73
09.04.1965 12:00:00;  7,60
17.05.1965 12:00:00;  25,3
28.06.1965 12:00:00;  27,0
27.07.1965 12:00:00;  15,4
02.08.1965 12:00:00;  19,4
14.09.1965 12:00:00;  6,87
01.10.1965 12:00:00;  2,09
22.11.1965 12:00:00; 0,860
19.12.1965 12:00:00;  2,36
28.01.1966 12:00:00;  1,39
09.02.1966 12:00:00;  8,27
01.03.1966 12:00:00;  4,90
28.04.1966 12:00:00;  15,4
05.05.1966 12:00:00;  16,2
30.06.1966 12:00:00;  17,8
24.07.1966 12:00:00;  24,0
17.08.1966 12:00:00;  17,7
06.09.1966 12:00:00;  8,74
01.10.1966 12:00:00;  1,33
05.11.1966 12:00:00;  6,48
21.12.1966 12:00:00;  3,01
27.01.1967 12:00:00;  1,45
22.02.1967 12:00:00;  3,51
12.03.1967 12:00:00;  7,60
19.04.1967 12:00:00;  13,7
14.05.1967 12:00:00;  22,0
09.06.1967 12:00:00;  22,0
04.07.1967 12:00:00;  13,2
18.08.1967 12:00:00;  3,69
08.09.1967 12:00:00;  10,6
06.10.1967 12:00:00;  5,01
13.11.1967 12:00:00;  6,27
24.12.1967 12:00:00;  3,01
15.01.1968 12:00:00;  3,34
25.02.1968 12:00:00;  1,70
31.03.1968 12:00:00;  9,90
22.04.1968 12:00:00;  16,9
13.05.1968 12:00:00;  15,3
10.06.1968 12:00:00;  10,6
22.07.1968 12:00:00;  17,0
15.08.1968 12:00:00;  12,7
25.09.1968 12:00:00;  9,90
02.10.1968 12:00:00;  16,9
25.11.1968 12:00:00;  2,53
24.12.1968 12:00:00;  1,02
27.01.1969 12:00:00; 0,920
22.02.1969 12:00:00; 0,670
19.03.1969 12:00:00;  2,85
28.04.1969 12:00:00;  15,8
04.05.1969 12:00:00;  14,2
08.06.1969 12:00:00;  14,0
12.07.1969 12:00:00;  20,0
19.08.1969 12:00:00;  13,2
16.09.1969 12:00:00;  10,1
25.10.1969 12:00:00;  1,70
14.11.1969 12:00:00;  2,39
20.12.1969 12:00:00; 0,670
13.01.1970 12:00:00; 0,670
23.02.1970 12:00:00;  1,83
27.03.1970 12:00:00;  2,53
20.04.1970 12:00:00;  12,9
16.05.1970 12:00:00;  23,1
02.06.1970 12:00:00;  28,0
17.07.1970 12:00:00;  23,4
12.08.1970 12:00:00;  15,5
06.09.1970 12:00:00;  23,1
05.10.1970 12:00:00;  14,5
03.11.1970 12:00:00;  5,84
03.12.1970 12:00:00;  3,51
05.01.1971 12:00:00; 0,920
09.02.1971 12:00:00; 0,670
23.03.1971 12:00:00;  7,38
25.04.1971 12:00:00;  11,9
13.05.1971 12:00:00;  11,6
20.06.1971 12:00:00;  25,0
01.07.1971 12:00:00;  11,6
31.08.1971 12:00:00;  9,90
01.09.1971 12:00:00;  6,93
01.10.1971 12:00:00;  3,51
29.11.1971 12:00:00;  1,13
21.12.1971 12:00:00;  9,20
05.01.1972 12:00:00; 0,920
20.02.1972 12:00:00;  1,23
27.03.1972 12:00:00;  3,34
04.04.1972 12:00:00;  15,0
11.05.1972 12:00:00;  11,6
18.06.1972 12:00:00;  10,4
16.07.1972 12:00:00;  12,4
04.08.1972 12:00:00;  14,3
21.09.1972 12:00:00;  6,48
29.10.1972 12:00:00;  4,82
14.11.1972 12:00:00;  9,44
06.12.1972 12:00:00;  1,70
01.01.1973 12:00:00; 0,740
