Messstelle:                ;Oberkappel
HZB-Nummer:                ;204875
HD-Nummer:                 ;3060
DBMS-Nummer:               ;4001036
Gewässer:                  ;Ranna
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;132,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1926              ;00492,76
   01.01.1978              ;00491,76
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1926              ;482300,00 - 379340,00
   27.03.2020              ;482290,90 - 379344,44
Exportzeitreihe:           ;(4001036,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[18.01.1951 12:00,01.01.2022 00:00]
Werte:
18.01.1951 12:00:00;  5,66
18.02.1951 12:00:00;  5,45
18.03.1951 12:00:00;  22,0
01.04.1951 12:00:00;  5,24
05.05.1951 12:00:00;  12,1
20.06.1951 12:00:00;  2,50
18.07.1951 12:00:00;  2,88
18.08.1951 12:00:00;  2,88
29.09.1951 12:00:00;  3,26
01.10.1951 12:00:00;  1,30
26.11.1951 12:00:00;  5,03
10.12.1951 12:00:00;  6,08
12.01.1952 12:00:00;  12,4
29.02.1952 12:00:00;  2,26
26.03.1952 12:00:00;  41,9
01.04.1952 12:00:00;  18,1
27.05.1952 12:00:00;  5,45
18.06.1952 12:00:00;  16,1
10.07.1952 12:00:00;  4,61
10.08.1952 12:00:00;  2,88
09.09.1952 12:00:00;  7,75
26.10.1952 12:00:00;  12,7
07.11.1952 12:00:00;  48,0
01.12.1952 12:00:00;  11,2
30.01.1953 12:00:00;  5,24
23.02.1953 12:00:00;  6,50
05.03.1953 12:00:00;  8,00
28.04.1953 12:00:00;  4,02
10.05.1953 12:00:00;  4,40
26.06.1953 12:00:00;  7,00
19.07.1953 12:00:00;  14,0
01.08.1953 12:00:00;  8,75
29.09.1953 12:00:00;  1,78
01.10.1953 12:00:00;  1,54
13.11.1953 12:00:00;  1,42
13.12.1953 12:00:00;  1,78
16.01.1954 12:00:00;  26,1
28.02.1954 12:00:00;  1,54
25.03.1954 12:00:00;  25,7
04.04.1954 12:00:00;  21,5
08.05.1954 12:00:00;  11,8
06.06.1954 12:00:00;  10,1
08.07.1954 12:00:00;  47,0
23.08.1954 12:00:00;  13,6
27.09.1954 12:00:00;  9,84
01.10.1954 12:00:00;  18,8
04.11.1954 12:00:00;  3,26
28.12.1954 12:00:00;  35,4
12.01.1955 12:00:00;  25,8
09.02.1955 12:00:00;  18,5
27.03.1955 12:00:00;  42,0
11.04.1955 12:00:00;  33,9
29.05.1955 12:00:00;  10,5
30.06.1955 12:00:00;  13,0
08.07.1955 12:00:00;  17,1
02.08.1955 12:00:00;  17,4
15.09.1955 12:00:00;  5,60
28.10.1955 12:00:00;  2,61
24.11.1955 12:00:00;  1,81
04.12.1955 12:00:00;  18,1
19.01.1956 12:00:00;  9,68
03.02.1956 12:00:00;  3,26
03.03.1956 12:00:00;  49,0
28.04.1956 12:00:00;  7,02
01.05.1956 12:00:00;  6,25
21.06.1956 12:00:00;  6,00
20.07.1956 12:00:00;  13,3
23.08.1956 12:00:00;  17,2
13.09.1956 12:00:00;  4,32
31.10.1956 12:00:00;  4,90
07.11.1956 12:00:00;  22,6
06.12.1956 12:00:00;  20,8
07.01.1957 12:00:00;  14,0
25.02.1957 12:00:00;  28,0
18.03.1957 12:00:00;  16,5
19.04.1957 12:00:00;  5,78
16.05.1957 12:00:00;  10,7
05.06.1957 12:00:00;  5,34
23.07.1957 12:00:00;  17,5
19.08.1957 12:00:00;  7,02
25.09.1957 12:00:00;  8,10
01.10.1957 12:00:00;  3,77
30.11.1957 12:00:00;  2,82
10.12.1957 12:00:00;  11,0
07.01.1958 12:00:00;  11,4
17.02.1958 12:00:00;  43,0
30.03.1958 12:00:00;  14,7
05.04.1958 12:00:00;  34,1
07.05.1958 12:00:00;  21,1
28.06.1958 12:00:00;  26,2
05.07.1958 12:00:00;  9,34
07.08.1958 12:00:00;  11,7
25.09.1958 12:00:00;  5,02
21.10.1958 12:00:00;  19,7
04.11.1958 12:00:00;  4,28
29.12.1958 12:00:00;  21,1
07.01.1959 12:00:00;  12,0
28.02.1959 12:00:00;  3,60
08.03.1959 12:00:00;  21,0
12.04.1959 12:00:00;  6,26
02.05.1959 12:00:00;  13,7
14.06.1959 12:00:00;  8,37
02.07.1959 12:00:00;  6,25
13.08.1959 12:00:00;  16,8
05.09.1959 12:00:00;  1,65
31.10.1959 12:00:00;  1,36
17.11.1959 12:00:00;  1,46
31.12.1959 12:00:00;  15,4
04.01.1960 12:00:00;  5,78
29.02.1960 12:00:00;  8,10
01.03.1960 12:00:00;  21,1
04.04.1960 12:00:00;  5,78
23.05.1960 12:00:00;  11,0
27.06.1960 12:00:00;  5,34
16.07.1960 12:00:00;  36,0
13.08.1960 12:00:00;  22,9
06.09.1960 12:00:00;  13,0
18.10.1960 12:00:00;  33,3
05.11.1960 12:00:00;  5,12
01.12.1960 12:00:00;  2,82
31.01.1961 12:00:00;  16,1
12.02.1961 12:00:00;  25,0
31.03.1961 12:00:00;  8,83
26.04.1961 12:00:00;  11,7
14.05.1961 12:00:00;  10,7
04.06.1961 12:00:00;  18,2
19.07.1961 12:00:00;  5,40
13.08.1961 12:00:00;  12,7
07.09.1961 12:00:00;  2,63
18.10.1961 12:00:00;  7,81
10.11.1961 12:00:00;  3,94
12.12.1961 12:00:00;  17,5
26.01.1962 12:00:00;  25,8
13.02.1962 12:00:00;  50,0
31.03.1962 12:00:00;  24,0
01.04.1962 12:00:00;  22,2
14.05.1962 12:00:00;  14,0
01.06.1962 12:00:00;  9,85
03.07.1962 12:00:00;  8,06
22.08.1962 12:00:00;  2,34
17.09.1962 12:00:00;  3,94
16.10.1962 12:00:00;  1,94
19.11.1962 12:00:00;  2,20
16.12.1962 12:00:00;  48,6
02.01.1963 12:00:00;  1,72
25.02.1963 12:00:00;  1,23
19.03.1963 12:00:00;  15,4
06.04.1963 12:00:00;  8,37
26.05.1963 12:00:00;  15,4
21.06.1963 12:00:00;  20,0
02.07.1963 12:00:00;  8,37
29.08.1963 12:00:00;  3,10
