Messstelle:                ;St. Leonhard (Summenpegel)
HZB-Nummer:                ;203364
HD-Nummer:                 ;
DBMS-Nummer:               ;5001032
Gewässer:                  ;Königssee m. Almkanal
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;428,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00446,14
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1965              ;428200,00 - 287520,00
Exportzeitreihe:           ;(5001032,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[10.01.1965 12:00,01.01.2021 00:00]
Werte:
10.01.1965 12:00:00;  14,7
01.02.1965 12:00:00;  10,2
31.03.1965 12:00:00;  34,9
23.04.1965 12:00:00;  31,8
19.05.1965 12:00:00;   114
11.06.1965 12:00:00;   140
02.07.1965 12:00:00;  72,6
25.08.1965 12:00:00;  79,7
19.09.1965 12:00:00;  49,7
01.10.1965 12:00:00;  17,4
21.11.1965 12:00:00;  8,96
18.12.1965 12:00:00;  34,3
19.01.1966 12:00:00;  16,5
09.02.1966 12:00:00;  67,9
01.03.1966 12:00:00;  17,9
29.04.1966 12:00:00;  55,2
28.05.1966 12:00:00;   132
25.06.1966 12:00:00;   102
23.07.1966 12:00:00;   185
16.08.1966 12:00:00;   126
01.09.1966 12:00:00;  61,8
17.10.1966 12:00:00;  11,7
05.11.1966 12:00:00;  52,8
20.12.1966 12:00:00;  33,4
27.01.1967 12:00:00;  39,2
22.02.1967 12:00:00;  46,2
11.03.1967 12:00:00;  31,5
11.04.1967 12:00:00;  46,9
31.05.1967 12:00:00;  69,1
09.06.1967 12:00:00;  92,0
26.07.1967 12:00:00;  55,0
04.08.1967 12:00:00;  43,7
11.09.1967 12:00:00;  32,4
06.10.1967 12:00:00;  25,5
17.11.1967 12:00:00;  10,4
23.12.1967 12:00:00;  20,4
16.01.1968 12:00:00;  30,6
23.02.1968 12:00:00;  14,6
31.03.1968 12:00:00;  30,0
25.04.1968 12:00:00;  41,0
31.05.1968 12:00:00;  53,6
21.06.1968 12:00:00;  62,6
18.07.1968 12:00:00;   155
15.08.1968 12:00:00;  75,8
19.09.1968 12:00:00;  39,9
02.10.1968 12:00:00;   122
25.11.1968 12:00:00;  13,0
23.12.1968 12:00:00;  14,8
24.01.1969 12:00:00;  10,5
21.02.1969 12:00:00;  8,24
16.03.1969 12:00:00;  13,6
27.04.1969 12:00:00;  37,3
05.05.1969 12:00:00;  38,5
08.06.1969 12:00:00;  53,6
12.07.1969 12:00:00;  55,8
18.08.1969 12:00:00;   105
16.09.1969 12:00:00;  21,7
01.10.1969 12:00:00;  13,6
14.11.1969 12:00:00;  8,15
23.12.1969 12:00:00;  8,90
12.01.1970 12:00:00;  13,0
23.02.1970 12:00:00;  51,1
26.03.1970 12:00:00;  23,0
19.04.1970 12:00:00;  53,1
11.05.1970 12:00:00;  59,9
02.06.1970 12:00:00;   134
17.07.1970 12:00:00;   122
10.08.1970 12:00:00;   175
06.09.1970 12:00:00;   135
03.10.1970 12:00:00;  62,6
23.11.1970 12:00:00;  29,8
03.12.1970 12:00:00;  22,5
28.01.1971 12:00:00;  8,85
01.02.1971 12:00:00;  7,92
23.03.1971 12:00:00;  35,9
25.04.1971 12:00:00;  33,4
10.05.1971 12:00:00;  35,5
20.06.1971 12:00:00;   115
01.07.1971 12:00:00;  44,4
31.08.1971 12:00:00;  83,1
01.09.1971 12:00:00;  60,6
01.10.1971 12:00:00;  22,2
19.11.1971 12:00:00;  9,39
21.12.1971 12:00:00;  56,5
01.01.1972 12:00:00;  7,79
20.02.1972 12:00:00;  9,43
28.03.1972 12:00:00;  6,83
05.04.1972 12:00:00;  34,9
27.05.1972 12:00:00;  50,9
13.06.1972 12:00:00;  53,2
25.07.1972 12:00:00;  51,9
04.08.1972 12:00:00;  54,5
11.09.1972 12:00:00;  17,9
29.10.1972 12:00:00;  29,0
17.11.1972 12:00:00;  59,0
05.12.1972 12:00:00;  16,1
30.01.1973 12:00:00;  8,88
22.02.1973 12:00:00;  6,66
28.03.1973 12:00:00;  23,7
30.04.1973 12:00:00;  40,5
06.05.1973 12:00:00;  80,7
18.06.1973 12:00:00;   150
27.07.1973 12:00:00;  46,5
08.08.1973 12:00:00;  26,9
01.09.1973 12:00:00;  28,7
24.10.1973 12:00:00;  33,1
16.11.1973 12:00:00;  64,2
05.12.1973 12:00:00;  35,4
19.01.1974 12:00:00;  75,0
10.02.1974 12:00:00;  16,2
22.03.1974 12:00:00;  27,5
30.04.1974 12:00:00;  29,5
23.05.1974 12:00:00;  62,3
30.06.1974 12:00:00;   108
21.07.1974 12:00:00;   190
28.08.1974 12:00:00;  59,5
26.09.1974 12:00:00;  42,2
26.10.1974 12:00:00;  27,2
28.11.1974 12:00:00;  16,3
08.12.1974 12:00:00;   114
30.01.1975 12:00:00;  52,5
01.02.1975 12:00:00;  28,1
28.03.1975 12:00:00;  14,3
20.04.1975 12:00:00;  36,8
23.05.1975 12:00:00;  75,7
25.06.1975 12:00:00;   129
01.07.1975 12:00:00;   155
23.08.1975 12:00:00;  78,2
03.09.1975 12:00:00;  27,4
19.10.1975 12:00:00;  8,40
20.11.1975 12:00:00;  15,6
02.12.1975 12:00:00;  7,00
12.01.1976 14:00:00;  22,4
01.02.1976 14:00:00;  7,24
31.03.1976 04:00:00;  8,28
25.04.1976 04:00:00;  17,0
27.05.1976 12:00:00;  49,1
01.06.1976 10:00:00;  99,3
28.07.1976 14:00:00;  56,6
21.08.1976 18:00:00;  61,4
02.09.1976 08:00:00;  62,1
17.10.1976 06:00:00;  19,6
15.11.1976 10:00:00;  15,2
10.12.1976 12:00:00;  13,7
27.01.1977 04:00:00;  12,0
06.02.1977 10:00:00;  34,8
04.03.1977 14:00:00;  44,6
30.04.1977 22:00:00;  60,9
01.05.1977 22:00:00;  68,9
27.06.1977 10:00:00;  75,3
31.07.1977 22:00:00;   276
01.08.1977 04:00:00;   280
09.09.1977 14:00:00;  93,1
11.10.1977 08:00:00;  21,5
15.11.1977 14:00:00;  16,0
26.12.1977 04:00:00;  41,9
01.01.1978 04:00:00;  12,6
26.02.1978 10:00:00;  12,5
21.03.1978 10:00:00;  23,4
01.04.1978 04:00:00;  23,2
23.05.1978 04:00:00;  49,8
24.06.1978 18:00:00;  83,6
05.07.1978 14:00:00;  88,7
08.08.1978 12:00:00;  58,4
08.09.1978 22:00:00;   146
26.10.1978 08:00:00;  79,2
01.11.1978 10:00:00;  14,4
13.12.1978 08:00:00;  10,5
06.01.1979 12:00:00;  16,5
13.02.1979 20:00:00;  8,35
13.03.1979 10:00:00;  86,0
13.04.1979 22:00:00;  17,3
20.05.1979 22:00:00;  79,0
18.06.1979 04:00:00;   109
10.07.1979 04:00:00;   152
04.08.1979 16:00:00;   105
25.09.1979 16:00:00;  61,8
15.10.1979 22:00:00;  23,4
27.11.1979 22:00:00;  97,6
12.12.1979 12:00:00;  28,6
05.01.1980 20:00:00;  8,67
05.02.1980 08:00:00;  30,8
29.03.1980 20:00:00;  25,0
01.04.1980 22:00:00;  66,0
09.05.1980 08:00:00;  62,6
10.06.1980 04:00:00;  79,7
22.07.1980 04:00:00;   100
17.08.1980 10:00:00;   104
01.09.1980 20:00:00;  85,7
17.10.1980 04:00:00;  51,9
20.11.1980 04:00:00;  16,1
24.12.1980 04:00:00;  24,2
04.01.1981 04:00:00;  33,3
08.02.1981 20:00:00;  15,4
12.03.1981 06:00:00;  87,6
01.04.1981 06:00:00;  49,5
23.05.1981 04:00:00;  76,6
10.06.1981 04:00:00;  70,5
20.07.1981 10:00:00;   195
23.08.1981 18:00:00;   129
14.09.1981 10:00:00;  75,3
15.10.1981 16:00:00;  67,9
01.11.1981 10:00:00;  44,2
01.12.1981 06:00:00;  28,3
30.01.1982 18:00:00;  70,0
01.02.1982 00:00:00;  50,8
30.03.1982 20:00:00;  36,2
03.04.1982 12:00:00;  33,4
24.05.1982 12:00:00;   101
27.06.1982 16:00:00;  87,3
27.07.1982 04:00:00;   132
01.08.1982 04:00:00;  93,9
01.09.1982 04:00:00;  26,7
06.10.1982 22:00:00;  32,3
19.11.1982 02:00:00;  8,27
28.12.1982 10:00:00;  16,7
05.01.1983 12:00:00;  73,4
01.02.1983 12:00:00;  24,1
20.03.1983 12:00:00;  17,5
22.04.1983 12:00:00;  55,5
17.05.1983 12:00:00;  68,0
14.06.1983 12:00:00;   164
01.07.1983 12:00:00;  70,8
06.08.1983 12:00:00;   104
25.09.1983 12:00:00;  42,7
11.10.1983 12:00:00;  76,7
29.11.1983 12:00:00;  21,8
24.12.1983 12:00:00;  68,9
15.01.1984 20:00:00;  12,3
07.02.1984 20:00:00;  18,3
30.03.1984 22:00:00;  13,5
17.04.1984 20:00:00;  44,6
21.05.1984 22:00:00;  66,1
26.06.1984 18:00:00;  81,4
29.07.1984 20:00:00;  72,7
07.08.1984 18:00:00;   102
17.09.1984 20:00:00;   103
02.10.1984 20:00:00;  51,8
02.11.1984 20:00:00;  13,0
15.12.1984 22:00:00;  10,0
16.01.1985 18:00:00;  56,3
02.02.1985 20:00:00;  76,2
27.03.1985 18:00:00;  9,93
10.04.1985 22:00:00;  29,6
14.05.1985 20:00:00;  67,7
23.06.1985 22:00:00;  81,9
21.07.1985 18:00:00;  84,7
06.08.1985 20:00:00;   214
04.09.1985 18:00:00;  72,1
15.10.1985 18:00:00;  28,4
11.11.1985 20:00:00;  12,2
01.12.1985 22:00:00;  20,5
20.01.1986 16:00:00;  55,0
02.02.1986 20:00:00;  13,8
24.03.1986 20:00:00;  21,3
30.04.1986 20:00:00;  44,6
29.05.1986 18:00:00;  72,2
21.06.1986 20:00:00;  58,9
24.07.1986 16:00:00;  71,6
13.08.1986 20:00:00;  75,7
04.09.1986 20:00:00;  32,2
23.10.1986 20:00:00;  26,1
01.11.1986 00:00:00;  12,7
30.12.1986 20:00:00;  14,2
02.01.1987 02:00:00;  27,0
28.02.1987 20:00:00;  49,3
02.03.1987 16:00:00;  82,2
11.04.1987 20:00:00;  53,6
03.05.1987 20:00:00;  60,9
05.06.1987 18:00:00;  81,4
09.07.1987 20:00:00;   106
03.08.1987 20:00:00;   116
06.09.1987 18:00:00;  70,8
25.10.1987 18:00:00;  20,5
22.11.1987 18:00:00;  20,7
19.12.1987 20:00:00;  80,8
01.01.1988 00:00:00;  13,5
01.02.1988 00:00:00;  9,33
22.03.1988 20:00:00;  53,9
13.04.1988 20:00:00;  58,7
21.05.1988 20:00:00;  74,2
05.06.1988 20:00:00;  82,3
14.07.1988 20:00:00;   128
21.08.1988 20:00:00;  82,2
06.09.1988 20:00:00;  90,7
30.10.1988 20:00:00;  31,9
15.11.1988 20:00:00;  52,1
05.12.1988 20:00:00;   103
07.01.1989 18:00:00;  35,7
19.02.1989 20:00:00;  35,7
14.03.1989 20:00:00;  38,2
13.04.1989 20:00:00;  41,1
13.05.1989 18:00:00;  58,7
19.06.1989 22:00:00;  90,4
27.07.1989 20:00:00;   133
09.08.1989 20:00:00;  95,1
03.09.1989 20:00:00;  62,4
07.10.1989 20:00:00;  35,3
01.11.1989 18:00:00;  33,6
19.12.1989 20:00:00;  24,7
26.01.1990 20:00:00;  16,0
15.02.1990 20:00:00;   116
01.03.1990 20:00:00;  26,4
25.04.1990 20:00:00;  20,3
26.05.1990 20:00:00;  47,9
11.06.1990 20:00:00;  64,8
10.07.1990 22:00:00;   119
22.08.1990 20:00:00;  26,3
24.09.1990 20:00:00;  41,4
02.10.1990 20:00:00;  38,3
20.11.1990 20:00:00;  24,9
31.12.1990 20:00:00;  10,9
05.01.1991 20:00:00;  24,4
25.02.1991 20:00:00;  7,72
20.03.1991 20:00:00;  33,5
17.04.1991 16:00:00;  23,7
23.05.1991 20:00:00;  72,4
17.06.1991 20:00:00;   106
31.07.1991 20:00:00;   121
03.08.1991 18:00:00;   216
25.09.1991 02:00:00;  13,0
02.10.1991 16:00:00;  17,6
08.11.1991 20:00:00;  12,8
22.12.1991 16:00:00;   183
07.01.1992 18:00:00;  10,5
14.02.1992 18:00:00;  17,2
23.03.1992 18:00:00;  58,5
29.04.1992 18:00:00;  58,8
11.05.1992 18:00:00;  54,9
13.06.1992 18:00:00;  84,7
13.07.1992 18:00:00;  44,7
22.08.1992 18:00:00;  45,2
05.09.1992 18:00:00;  60,9
01.10.1992 00:00:00;  26,5
23.11.1992 18:00:00;   123
04.12.1992 18:00:00;  31,2
09.01.1993 20:00:00;  31,8
01.02.1993 00:00:00;  9,15
18.03.1993 20:00:00;  45,1
28.04.1993 20:00:00;  49,8
31.05.1993 20:00:00;  44,9
28.06.1993 20:00:00;   111
28.07.1993 20:00:00;   131
29.08.1993 16:00:00;  59,6
14.09.1993 20:00:00;  53,6
24.10.1993 02:00:00;  27,8
14.11.1993 18:00:00;  11,6
21.12.1993 20:00:00;  43,8
26.01.1994 18:00:00;  27,2
01.02.1994 20:00:00;  13,3
26.03.1994 20:00:00;  60,7
18.04.1994 20:00:00;  94,1
19.05.1994 20:00:00;  84,9
10.06.1994 20:00:00;  66,6
07.07.1994 20:00:00;  43,3
20.08.1994 18:00:00;  74,8
03.09.1994 18:00:00;  26,0
04.10.1994 20:00:00;  17,3
20.11.1994 18:00:00;  76,7
20.12.1994 20:00:00;  51,8
26.01.1995 18:00:00;  36,5
18.02.1995 20:00:00;  19,3
26.03.1995 20:00:00;  26,4
02.04.1995 20:00:00;  75,0
30.05.1995 20:00:00;  68,7
26.06.1995 20:00:00;   276
04.07.1995 20:00:00;  66,6
29.08.1995 16:00:00;   130
01.09.1995 20:00:00;  66,5
02.10.1995 16:00:00;  39,5
17.11.1995 22:00:00;  27,8
21.12.1995 20:00:00;  28,5
09.01.1996 16:00:00;  10,2
01.02.1996 16:00:00;  7,64
24.03.1996 20:00:00;  25,7
24.04.1996 16:00:00;  44,0
28.05.1996 20:00:00;   138
30.06.1996 20:00:00;  93,1
09.07.1996 20:00:00;   101
04.08.1996 20:00:00;  69,5
14.09.1996 16:00:00;   143
22.10.1996 18:00:00;   135
01.11.1996 20:00:00;  43,1
04.12.1996 16:00:00;  10,5
01.01.1997 00:10:00;  8,92
26.02.1997 17:44:45;  11,9
19.03.1997 08:09:25;  45,8
06.04.1997 09:05:10;  66,3
18.05.1997 20:30:50;   126
13.06.1997 06:45:15;  67,5
06.07.1997 05:45:15;   214
02.08.1997 03:33:50;  89,6
01.09.1997 00:00:00;  32,3
01.10.1997 22:13:00;  95,5
09.11.1997 07:14:10;  21,0
13.12.1997 10:51:10;  46,1
07.01.1998 14:25:15;  10,2
25.02.1998 13:12:40;  5,92
17.03.1998 17:50:35;  60,3
02.04.1998 12:08:45;  40,1
05.05.1998 04:32:10;  61,9
26.06.1998 20:45:20;   167
08.07.1998 16:26:30;  81,3
23.08.1998 08:24:15;  48,8
05.09.1998 22:51:20;   106
15.10.1998 07:48:30;  50,1
10.11.1998 18:29:00;  96,6
15.12.1998 00:10:00;  39,6
09.01.1999 00:20:55;  15,9
22.02.1999 08:08:55;  48,9
02.03.1999 17:27:05;  37,4
30.04.1999 06:11:25;  57,3
21.05.1999 12:03:15;   102
01.06.1999 00:11:40;  68,9
08.07.1999 13:44:35;  83,7
20.08.1999 10:42:10;  41,1
01.09.1999 21:25:00;  75,2
01.10.1999 08:08:25;  32,2
09.11.1999 06:53:00;  19,1
03.12.1999 02:47:40;  22,1
31.01.2000 02:30:00;  47,4
09.02.2000 05:15:00;  51,3
10.03.2000 09:45:00;  88,2
24.04.2000 01:15:00;  52,3
13.05.2000 00:15:00;  73,3
07.06.2000 10:00:00;  58,3
12.07.2000 10:00:00;  61,5
08.08.2000 01:15:00;  54,9
07.09.2000 23:45:00;  79,0
03.10.2000 11:30:00;  28,2
10.11.2000 06:45:00;  20,9
19.12.2000 16:00:00;  8,55
12.01.2001 15:18:05;  7,46
04.02.2001 16:20:00;  13,5
24.03.2001 04:36:25;  71,6
30.04.2001 17:15:00;  36,4
02.05.2001 07:45:00;  49,3
19.06.2001 10:45:00;   132
21.07.2001 01:45:00;   103
11.08.2001 01:30:00;  63,1
09.09.2001 05:00:00;   128
04.10.2001 10:54:10;  20,3
30.11.2001 14:07:55;  20,6
06.12.2001 20:15:00;  76,7
28.01.2002 02:15:00;  66,1
25.02.2002 21:45:00;  20,4
22.03.2002 02:45:00;   165
24.04.2002 09:30:00;  77,3
19.05.2002 05:00:00;  84,8
07.06.2002 12:30:00;   104
07.07.2002 06:14:05;  68,2
12.08.2002 06:03:15;   369
01.09.2002 09:15:00;  86,6
18.10.2002 07:15:00;  48,0
04.11.2002 12:15:00;  47,6
23.12.2002 13:30:05;  41,3
01.01.2003 16:45:00;  20,3
01.02.2003 00:00:00;  8,56
31.03.2003 12:45:00;  30,6
30.04.2003 23:59:55;  46,1
01.05.2003 04:00:00;  59,6
18.06.2003 12:30:00;  43,2
28.07.2003 23:15:00;  33,0
31.08.2003 17:15:00;  31,3
12.09.2003 15:15:00;   113
09.10.2003 07:00:00;  76,9
02.11.2003 08:45:00;  20,7
14.12.2003 18:15:00;  13,1
14.01.2004 04:00:00;  34,6
03.02.2004 03:30:00;  33,7
22.03.2004 05:45:00;  35,4
24.04.2004 19:15:00;  35,1
16.05.2004 08:30:00;  88,9
04.06.2004 06:00:00;   117
25.07.2004 19:00:00;  80,7
15.08.2004 11:30:00;  86,8
24.09.2004 02:45:00;   138
01.10.2004 00:30:00;  37,1
23.11.2004 22:00:00;  27,6
15.12.2004 16:30:00;  12,2
21.01.2005 12:00:00;  27,5
13.02.2005 04:45:00;  21,6
20.03.2005 01:15:00;  75,0
26.04.2005 09:45:00;  56,3
18.05.2005 21:30:00;  84,8
01.06.2005 00:30:00;  51,5
11.07.2005 14:30:00;   229
16.08.2005 11:15:00;   175
02.09.2005 15:45:00;   127
02.10.2005 20:00:00;  39,6
04.11.2005 14:00:00;  10,4
16.12.2005 21:45:00;  17,0
25.01.2006 11:45:00;  9,31
21.02.2006 14:00:00;  11,3
28.03.2006 22:15:00;  66,7
28.04.2006 08:45:00;  55,9
27.05.2006 12:00:00;   107
23.06.2006 07:30:00;  68,1
06.07.2006 20:45:00;  90,2
07.08.2006 07:00:00;   236
19.09.2006 07:45:00;  95,5
04.10.2006 11:45:05;  28,4
15.11.2006 00:30:00;  65,0
09.12.2006 20:45:00;  14,4
20.01.2007 03:15:00;  57,2
01.02.2007 00:00:00;  22,4
02.03.2007 10:30:00;  26,5
14.04.2007 09:00:00;  29,3
09.05.2007 14:30:00;   157
21.06.2007 05:45:00;  46,6
10.07.2007 10:00:00;   110
30.08.2007 15:00:00;  70,4
07.09.2007 03:15:00;   155
05.10.2007 14:15:00;  21,0
11.11.2007 22:30:00;  59,5
