Messstelle:                ;Löbenau
HZB-Nummer:                ;203737
HD-Nummer:                 ;
DBMS-Nummer:               ;5001068
Gewässer:                  ;Taurach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;86,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00835,80
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1908              ;461290,00 - 247850,00
Exportzeitreihe:           ;(5001068,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[21.01.1951 12:00,01.01.2022 00:00]
Werte:
21.01.1951 12:00:00;  3,12
19.02.1951 12:00:00;  3,12
26.03.1951 12:00:00;  3,12
28.04.1951 12:00:00;  8,20
05.05.1951 12:00:00;  22,0
17.06.1951 12:00:00;  11,8
25.07.1951 12:00:00;  9,90
03.08.1951 12:00:00;  6,44
27.09.1951 12:00:00;  5,18
02.10.1951 12:00:00;  4,10
12.11.1951 12:00:00;  16,3
18.12.1951 12:00:00;  4,10
21.01.1952 12:00:00;  2,61
21.02.1952 12:00:00;  2,45
31.03.1952 12:00:00;  4,15
24.04.1952 12:00:00;  13,2
17.05.1952 12:00:00;  25,0
26.06.1952 12:00:00;  20,0
29.07.1952 12:00:00;  7,11
22.08.1952 12:00:00;  7,90
01.09.1952 12:00:00;  7,11
27.10.1952 12:00:00;  8,56
20.11.1952 12:00:00;  5,78
02.12.1952 12:00:00;  3,97
05.01.1953 12:00:00;  2,77
13.02.1953 12:00:00;  2,61
31.03.1953 12:00:00;  2,61
28.04.1953 12:00:00;  6,84
28.05.1953 12:00:00;  12,4
16.06.1953 12:00:00;  22,8
19.07.1953 12:00:00;  45,0
03.08.1953 12:00:00;  32,4
11.09.1953 12:00:00;  5,40
05.10.1953 12:00:00;  4,30
13.11.1953 12:00:00;  3,12
18.12.1953 12:00:00;  2,76
22.01.1954 12:00:00;  3,50
28.02.1954 12:00:00;  2,30
27.03.1954 12:00:00;  3,12
04.04.1954 12:00:00;  5,92
19.05.1954 12:00:00;  11,8
25.06.1954 12:00:00;  22,0
02.07.1954 12:00:00;  37,7
10.08.1954 12:00:00;  40,0
21.09.1954 12:00:00;  8,88
07.10.1954 12:00:00;  13,1
11.11.1954 12:00:00;  5,40
11.12.1954 12:00:00;  8,54
29.01.1955 12:00:00;  3,30
11.02.1955 12:00:00;  3,12
28.03.1955 12:00:00;  7,00
30.04.1955 12:00:00;  20,8
07.05.1955 12:00:00;  27,8
