Messstelle:                ;Trausdorf an der Wulka
HZB-Nummer:                ;210328
HD-Nummer:                 ;
DBMS-Nummer:               ;1001029
Gewässer:                  ;Wulka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;235,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1976              ;00145,25
   01.04.1992              ;00142,68
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.06.1976              ;767528,00 - 297565,00
   03.02.2012              ;767510,00 - 297589,00
   05.10.2018              ;767509,98 - 297558,51
Exportzeitreihe:           ;(1001029,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1977 00:00,01.01.2022 00:00]
Werte:
30.01.1977 10:00:00;  1,72
11.02.1977 09:00:00;  2,54
04.03.1977 16:00:00;  2,03
09.04.1977 17:00:00;  1,97
14.05.1977 14:00:00;  1,81
14.06.1977 21:00:00;  3,80
21.07.1977 16:00:00;  1,67
19.08.1977 20:00:00;  2,73
09.09.1977 14:00:00; 0,813
31.10.1977 17:00:00; 0,453
07.11.1977 16:00:00; 0,510
05.12.1977 13:00:00; 0,349
30.01.1978 02:00:00; 0,332
26.02.1978 02:00:00; 0,435
17.03.1978 02:00:00; 0,435
04.04.1978 02:00:00; 0,332
14.05.1978 02:00:00; 0,618
25.06.1978 02:00:00;  2,01
21.07.1978 02:00:00; 0,337
31.08.1978 02:00:00; 0,231
01.09.1978 00:00:00; 0,231
26.10.1978 02:00:00; 0,400
30.11.1978 02:00:00; 0,470
10.12.1978 02:00:00; 0,547
25.01.1979 08:00:00;  1,44
17.02.1979 10:00:00;  3,86
30.03.1979 08:00:00;  1,44
07.04.1979 08:00:00;  11,0
03.05.1979 08:00:00;  12,0
19.06.1979 08:00:00;  7,18
31.07.1979 08:00:00;  9,21
01.08.1979 08:00:00;  16,1
24.09.1979 08:00:00;  4,18
31.10.1979 08:00:00;  1,86
20.11.1979 08:00:00;  8,74
25.12.1979 08:00:00;  3,11
28.01.1980 11:00:00; 0,952
05.02.1980 02:00:00;  1,37
30.03.1980 03:00:00; 0,700
22.04.1980 20:00:00;  1,64
08.05.1980 21:00:00;  1,84
24.06.1980 08:00:00;  7,04
07.07.1980 03:00:00;  1,69
08.08.1980 22:00:00;  2,80
10.09.1980 17:00:00; 0,889
13.10.1980 10:00:00;  4,76
27.11.1980 13:00:00;  2,07
20.12.1980 09:00:00;  1,68
06.01.1981 22:00:00;  1,63
24.02.1981 00:20:00; 0,468
22.03.1981 14:00:00; 0,833
27.04.1981 21:00:00;  1,11
30.05.1981 20:00:00;  3,76
24.06.1981 12:00:00;  6,53
19.07.1981 17:00:00;  1,27
17.08.1981 10:00:00;  1,59
29.09.1981 05:00:00;  4,04
23.10.1981 01:00:00;  5,10
28.11.1981 08:00:00; 0,833
29.12.1981 14:00:00; 0,842
02.01.1982 03:00:00;  3,90
24.02.1982 19:00:00; 0,373
19.03.1982 10:00:00;  1,80
12.04.1982 14:00:00; 0,379
11.05.1982 13:00:00;  2,73
23.06.1982 21:00:00;  6,74
22.07.1982 23:00:00;  2,06
05.08.1982 18:00:00;  23,3
24.09.1982 09:00:00;  1,55
02.10.1982 06:00:00;  17,0
14.11.1982 12:00:00;  4,50
19.12.1982 00:00:00;  7,84
06.01.1983 04:00:00;  5,09
28.02.1983 23:59:55;  1,73
01.03.1983 01:00:00;  1,76
12.04.1983 18:00:00;  1,41
23.05.1983 19:00:00;  3,98
03.06.1983 08:00:00; 0,843
29.07.1983 14:00:00; 0,334
03.08.1983 22:00:00; 0,758
04.09.1983 09:00:00; 0,758
17.10.1983 14:40:00; 0,144
28.11.1983 16:00:00; 0,251
31.12.1983 23:59:55; 0,237
31.01.1984 23:59:55; 0,623
27.02.1984 23:00:00; 0,767
30.03.1984 15:00:00; 0,780
04.04.1984 09:00:00;  2,38
15.05.1984 11:00:00;  1,76
01.06.1984 00:00:00;  1,04
16.07.1984 10:00:00; 0,887
10.08.1984 15:00:00; 0,622
24.09.1984 14:00:00;  1,70
05.10.1984 00:00:00; 0,802
18.11.1984 11:00:00;  1,13
03.12.1984 12:00:00; 0,722
24.01.1985 19:00:00; 0,469
03.02.1985 01:00:00; 0,882
23.03.1985 06:00:00;  6,92
28.04.1985 19:00:00;  1,22
07.05.1985 23:00:00;  3,83
08.06.1985 08:00:00;  6,61
16.07.1985 02:00:00;  2,80
07.08.1985 08:00:00;  5,91
09.09.1985 19:00:00;  1,49
31.10.1985 16:00:00; 0,808
02.11.1985 06:00:00;  2,13
13.12.1985 03:00:00;  5,16
15.01.1986 03:30:00;  3,94
01.02.1986 21:15:00;  1,87
11.03.1986 22:45:00;  5,13
29.04.1986 04:30:00;  2,12
