Messstelle:                ;Bad Aussee (Hadeksteg)
HZB-Nummer:                ;210591
HD-Nummer:                 ;ow0050
DBMS-Nummer:               ;6001012
Gewässer:                  ;Koppentraun
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;305,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00631,98
   01.01.1992              ;00632,64
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1948              ;557918,40 - 276672,50
   01.01.2018              ;557894,00 - 276662,00
Exportzeitreihe:           ;(6001012,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[10.04.2014 00:15,01.01.2022 00:00]
Werte:
17.04.2014 13:00:00;   290
05.05.2014 10:30:00;   278
01.06.2014 00:00:00;  41,6
31.07.2014 23:59:55;  33,1
01.08.2014 01:45:00;  34,6
03.09.2014 00:00:00;  59,8
02.10.2014 07:00:00;  19,6
06.11.2014 20:45:00;  28,2
19.12.2014 08:30:00;  19,1
11.01.2015 10:15:00;  74,7
24.02.2015 13:00:00;  6,79
31.03.2015 21:30:00;  36,9
18.04.2015 02:00:00;  49,4
15.05.2015 01:00:00;  64,9
23.06.2015 14:15:00;  38,4
01.07.2015 12:45:00;  20,8
02.08.2015 13:45:00;  18,6
06.09.2015 16:45:00;  25,5
08.10.2015 03:15:00;  28,8
30.11.2015 15:30:00;  12,5
02.12.2015 02:15:00;  49,6
29.01.2016 15:00:00;  17,1
01.02.2016 12:15:00;  93,2
31.03.2016 23:15:00;  18,7
06.04.2016 07:00:00;  37,8
14.05.2016 13:45:00;  80,1
20.06.2016 18:00:00;  36,1
14.07.2016 02:30:00;  66,9
10.08.2016 11:00:00;  47,7
06.09.2016 06:30:00;  74,5
04.10.2016 21:15:00;  21,5
18.11.2016 03:30:00;  15,5
27.12.2016 01:45:00;  20,2
05.01.2017 08:15:00;  7,86
22.02.2017 09:15:00;  42,5
19.03.2017 08:45:00;  82,4
02.04.2017 08:00:00;  33,3
09.05.2017 03:15:00;  61,8
01.06.2017 12:00:00;  32,6
27.07.2017 05:45:00;  75,6
06.08.2017 19:15:00;  48,6
03.09.2017 12:00:00;  57,9
29.10.2017 17:00:00;  63,3
03.11.2017 13:30:00;  28,8
31.12.2017 07:45:00;  20,6
05.01.2018 09:30:00;  40,1
04.02.2018 08:30:00;  11,2
12.03.2018 19:45:00;  23,1
24.04.2018 18:45:00;  68,0
01.05.2018 03:45:00;  52,2
29.06.2018 23:45:00;  50,4
01.07.2018 00:00:00;  40,2
26.08.2018 08:15:00;  18,6
24.09.2018 12:45:00;  25,0
25.10.2018 01:00:00;  69,2
01.11.2018 00:30:00;  14,1
24.12.2018 08:45:00;  93,8
08.01.2019 12:30:00;  18,6
22.02.2019 15:00:00;  35,5
16.03.2019 11:30:00;  56,9
25.04.2019 16:15:00;  63,9
23.05.2019 06:15:00;  78,9
06.06.2019 21:45:00;  75,6
14.07.2019 10:30:00;  41,0
04.08.2019 06:45:00;  32,6
09.09.2019 11:15:00;  33,8
10.10.2019 02:15:00;  33,8
16.11.2019 06:30:00;  24,8
25.12.2019 16:00:00;  30,2
31.01.2020 22:15:00;  14,8
03.02.2020 11:15:00;  86,3
13.03.2020 08:45:00;  36,9
21.04.2020 01:15:00;  51,3
25.05.2020 22:45:00;  71,2
29.06.2020 17:45:00;  38,8
03.07.2020 08:30:00;  47,2
04.08.2020 10:30:00;  52,8
30.09.2020 18:00:00;  38,4
30.10.2020 21:45:00;  47,8
01.11.2020 00:15:00;  33,1
24.12.2020 17:45:00;  13,8
29.01.2021 07:15:00;  25,5
08.02.2021 01:00:00;  15,4
31.03.2021 23:59:55;  23,1
30.04.2021 23:59:55;  34,6
12.05.2021 11:00:00;  68,1
06.06.2021 08:30:00;  49,4
18.07.2021 02:00:00;  58,9
31.08.2021 23:30:00;  31,6
01.09.2021 07:45:00;  35,3
08.10.2021 07:00:00;  13,1
04.11.2021 09:15:00;  16,1
31.12.2021 04:15:00;  66,4
