Messstelle:                ;Wöllersdorf (Hydro)
HZB-Nummer:                ;208280
HD-Nummer:                 ;no495
DBMS-Nummer:               ;3001065
Gewässer:                  ;Piesting
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;284,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1926              ;00313,56
   01.01.1941              ;00312,56
   01.01.1951              ;00312,01
   01.01.1961              ;00312,44
   23.03.1977              ;00312,22
   04.08.1981              ;00307,06
   22.11.2017              ;00307,04
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.06.1924              ;737942,00 - 303055,00
   01.01.1961              ;738391,00 - 302883,00
   04.08.1981              ;738592,00 - 302898,00
Exportzeitreihe:           ;(3001065,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1967 12:00,01.01.2022 00:00]
Werte:
31.01.1967 12:00:00;  7,26
04.02.1967 12:00:00;  14,5
28.03.1967 12:00:00;  8,70
07.04.1967 12:00:00;  7,74
31.05.1967 12:00:00;  26,4
01.06.1967 12:00:00;  29,0
09.07.1967 12:00:00;  7,50
26.08.1967 12:00:00;  4,11
17.09.1967 12:00:00;  8,70
22.10.1967 12:00:00;  6,54
05.11.1967 12:00:00;  7,74
24.12.1967 12:00:00;  8,46
15.01.1968 12:00:00;  24,6
21.02.1968 12:00:00;  4,60
25.03.1968 12:00:00;  6,54
01.04.1968 12:00:00;  6,54
25.05.1968 12:00:00;  3,22
27.06.1968 12:00:00;  3,08
22.07.1968 12:00:00;  3,64
08.08.1968 12:00:00;  28,0
05.09.1968 12:00:00;  4,60
05.10.1968 12:00:00;  8,46
20.11.1968 12:00:00;  5,70
25.12.1968 12:00:00;  6,30
12.01.1969 12:00:00;  4,77
07.02.1969 12:00:00;  5,70
16.03.1969 12:00:00;  10,2
13.04.1969 12:00:00;  7,98
08.05.1969 12:00:00;  6,30
08.06.1969 12:00:00;  40,0
04.07.1969 12:00:00;  6,30
07.08.1969 12:00:00;  8,46
27.09.1969 12:00:00;  7,02
18.10.1969 12:00:00;  5,50
26.11.1969 12:00:00;  6,78
12.12.1969 12:00:00;  4,26
17.01.1970 12:00:00;  4,26
23.02.1970 12:00:00;  15,1
27.03.1970 12:00:00;  13,4
20.04.1970 12:00:00;  11,5
31.05.1970 12:00:00;  6,30
17.06.1970 12:00:00;  6,78
18.07.1970 12:00:00;  48,0
22.08.1970 12:00:00;  6,10
01.09.1970 12:00:00;  4,42
05.10.1970 12:00:00;  9,95
23.11.1970 12:00:00;  29,5
06.12.1970 12:00:00;  5,90
26.01.1971 12:00:00;  4,11
28.02.1971 12:00:00;  5,30
23.03.1971 12:00:00;  12,3
04.04.1971 12:00:00;  8,46
21.05.1971 12:00:00;  6,78
12.06.1971 12:00:00;  9,45
19.07.1971 12:00:00;  7,74
03.08.1971 12:00:00;  2,94
29.09.1971 12:00:00;  4,42
21.10.1971 12:00:00;  4,26
17.11.1971 12:00:00;  4,95
21.12.1971 12:00:00;  19,5
03.01.1972 12:00:00;  2,07
21.02.1972 12:00:00;  5,30
04.03.1972 12:00:00;  5,38
23.04.1972 12:00:00;  15,9
21.05.1972 12:00:00;  12,6
04.06.1972 12:00:00;  9,13
15.07.1972 12:00:00;  55,0
02.08.1972 12:00:00;  11,5
11.09.1972 12:00:00;  5,96
24.10.1972 12:00:00;  5,57
02.11.1972 12:00:00;  4,29
13.12.1972 12:00:00;  4,99
31.01.1973 12:00:00;  7,92
22.02.1973 12:00:00;  5,38
29.03.1973 12:00:00;  11,7
28.04.1973 12:00:00;  12,3
03.05.1973 12:00:00;  12,3
23.06.1973 12:00:00;  20,0
03.07.1973 12:00:00;  6,30
11.08.1973 12:00:00;  4,95
25.09.1973 12:00:00;  5,70
15.10.1973 12:00:00;  4,26
16.11.1973 12:00:00;  11,2
26.12.1973 12:00:00;  5,06
20.01.1974 12:00:00;  41,0
13.02.1974 12:00:00;  7,01
25.03.1974 12:00:00;  6,80
25.04.1974 12:00:00;  6,30
07.05.1974 12:00:00;  8,95
13.06.1974 12:00:00;  8,22
18.07.1974 12:00:00;  7,98
01.08.1974 12:00:00;  5,70
27.09.1974 12:00:00;  3,50
30.10.1974 12:00:00;  4,81
11.11.1974 12:00:00;  4,99
09.12.1974 12:00:00;  31,4
02.01.1975 12:00:00;  8,15
07.02.1975 12:00:00;  4,99
20.03.1975 12:00:00;  5,96
15.04.1975 12:00:00;  9,45
28.05.1975 12:00:00;  4,11
30.06.1975 12:00:00;  7,26
02.07.1975 12:00:00;  56,0
14.08.1975 12:00:00;  5,50
05.09.1975 12:00:00;  4,11
18.10.1975 12:00:00;  5,50
11.11.1975 12:00:00;  8,70
07.12.1975 12:00:00;  5,50
01.01.1976 00:00:00; Lücke
12.01.1976 17:00:00;  22,3
03.02.1976 16:30:00;  4,98
01.03.1976 15:00:00;  3,83
26.04.1976 12:00:00;  5,72
07.05.1976 15:30:00;  7,13
04.06.1976 23:30:00;  4,44
28.07.1976 07:30:00;  4,57
21.08.1976 23:30:00;  2,89
06.09.1976 07:00:00;  4,04
01.10.1976 00:00:00; Lücke
25.10.1976 07:30:00;  6,27
02.11.1976 13:30:00;  4,15
03.12.1976 07:00:00;  10,8
30.01.1977 00:30:00;  4,74
11.02.1977 15:30:00;  9,45
04.03.1977 15:00:00;  32,4
15.04.1977 10:30:00;  9,10
14.05.1977 10:00:00;  8,08
17.06.1977 15:00:00;  6,96
22.07.1977 17:00:00;  4,60
02.08.1977 19:30:00;  12,6
09.09.1977 12:30:00;  3,30
21.10.1977 12:00:00;  4,48
13.11.1977 11:00:00;  2,98
25.12.1977 14:00:00;  5,22
01.01.1978 00:30:00;  2,50
27.02.1978 16:00:00;  4,54
24.03.1978 12:30:00;  4,33
02.04.1978 11:00:00;  4,00
03.05.1978 13:30:00;  6,01
04.06.1978 09:00:00;  5,30
05.07.1978 21:00:00;  5,71
13.08.1978 10:30:00;  3,42
29.09.1978 15:00:00;  3,38
21.10.1978 13:30:00;  2,85
11.11.1978 11:30:00;  2,65
10.12.1978 14:30:00;  2,91
29.01.1979 15:00:00;  2,21
17.02.1979 11:00:00;  4,92
13.03.1979 08:30:00;  13,4
29.04.1979 13:00:00;  7,51
02.05.1979 07:30:00;  8,08
17.06.1979 11:30:00;  4,96
04.07.1979 08:00:00;  5,04
04.08.1979 14:00:00;  3,09
24.09.1979 21:00:00;  4,14
13.10.1979 16:00:00;  2,92
29.11.1979 08:30:00;  6,73
01.12.1979 00:00:00;  5,03
14.01.1980 09:00:00;  4,29
07.02.1980 11:30:00;  7,19
30.03.1980 12:00:00;  5,30
30.04.1980 23:59:55;  14,1
02.05.1980 09:00:00;  18,8
02.06.1980 07:30:00;  4,43
23.07.1980 09:30:00;  5,06
08.08.1980 22:00:00;  6,38
01.09.1980 18:30:00;  3,91
13.10.1980 11:00:00;  7,46
13.11.1980 19:30:00;  5,38
24.12.1980 11:00:00;  7,39
05.01.1981 10:30:00;  7,91
09.02.1981 19:30:00;  6,64
12.03.1981 14:00:00;  7,51
26.04.1981 09:00:00;  2,54
05.05.1981 18:00:00;  2,61
24.06.1981 12:00:00;  2,88
20.07.1981 19:00:00;  2,95
28.08.1981 22:30:00;  2,96
14.09.1981 10:30:00;  2,46
23.10.1981 05:30:00;  3,07
21.11.1981 08:30:00;  5,63
05.12.1981 17:00:00;  4,25
31.01.1982 16:00:00;  21,5
01.02.1982 02:30:00;  14,4
01.03.1982 18:00:00;  6,87
05.04.1982 14:30:00;  5,43
29.05.1982 11:30:00;  11,2
01.06.1982 18:30:00;  5,56
23.07.1982 20:00:00;  9,21
19.08.1982 17:00:00;  14,8
26.09.1982 08:30:00;  5,03
06.10.1982 23:30:00;  12,4
19.11.1982 12:30:00;  3,72
31.12.1982 17:30:00;  5,20
06.01.1983 12:30:00;  13,2
04.02.1983 15:00:00;  8,79
10.03.1983 06:00:00;  5,23
29.04.1983 21:30:00;  4,07
26.05.1983 06:00:00;  5,54
04.06.1983 12:30:00;  3,51
10.07.1983 21:00:00;  4,23
19.08.1983 10:30:00;  2,45
03.09.1983 22:00:00;  2,76
09.10.1983 12:00:00;  2,87
27.11.1983 22:00:00;  2,90
24.12.1983 14:30:00;  6,28
02.01.1984 11:30:00;  2,55
04.02.1984 17:30:00;  3,19
31.03.1984 11:00:00;  3,09
18.04.1984 16:30:00;  4,83
15.05.1984 05:30:00;  5,86
16.06.1984 07:30:00;  3,76
23.07.1984 09:00:00;  2,74
10.08.1984 07:00:00;  3,74
24.09.1984 11:30:00;  3,32
04.10.1984 11:30:00;  3,33
15.11.1984 06:00:00;  2,23
22.12.1984 11:00:00;  2,54
01.01.1985 11:30:00;  1,80
02.02.1985 23:30:00;  5,94
28.03.1985 10:00:00;  7,02
02.04.1985 21:00:00;  6,89
08.05.1985 06:00:00;  4,22
07.06.1985 20:30:00;  6,29
16.07.1985 09:30:00;  3,00
07.08.1985 09:00:00;  7,78
