Messstelle:                ;Schwanberg
HZB-Nummer:                ;211383
HD-Nummer:                 ;ow3770
DBMS-Nummer:               ;6001088
Gewässer:                  ;Schwarze Sulm
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;75,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00405,80
   01.01.1988              ;00402,48
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1960              ;00000,00 - 00000,00
   01.01.1988              ;663830,60 - 180234,30
   01.01.2018              ;663830,80 - 180236,60
Exportzeitreihe:           ;(6001088,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[10.01.1951 12:00,01.01.2022 00:00]
Werte:
10.01.1951 12:00:00;  1,85
07.02.1951 12:00:00;  1,95
14.03.1951 12:00:00;  4,46
30.04.1951 12:00:00;  4,46
10.05.1951 12:00:00;  8,70
01.06.1951 12:00:00;  7,14
24.07.1951 12:00:00;  4,46
01.08.1951 12:00:00;  1,75
17.09.1951 12:00:00;  8,18
03.10.1951 12:00:00;  8,70
10.11.1951 12:00:00;  3,46
06.12.1951 12:00:00;  2,60
31.01.1952 12:00:00;  3,46
05.02.1952 12:00:00;  3,78
31.03.1952 12:00:00;  2,60
27.04.1952 12:00:00;  4,10
17.05.1952 12:00:00;  3,78
19.06.1952 12:00:00;  3,16
29.07.1952 12:00:00;  4,46
18.08.1952 12:00:00;  3,46
11.09.1952 12:00:00;  3,46
26.10.1952 12:00:00;  5,00
08.11.1952 12:00:00;  3,16
31.12.1952 12:00:00;  1,55
04.01.1953 12:00:00;  1,55
23.02.1953 12:00:00;  1,39
31.03.1953 12:00:00;  1,75
29.04.1953 12:00:00;  4,46
28.05.1953 12:00:00;  6,60
15.06.1953 12:00:00;  4,46
02.07.1953 12:00:00;  4,10
23.08.1953 12:00:00;  4,82
29.09.1953 12:00:00;  4,10
30.10.1953 12:00:00;  2,88
01.11.1953 12:00:00;  1,95
06.12.1953 12:00:00;  1,31
02.01.1954 12:00:00;  1,15
28.02.1954 12:00:00;  1,08
31.03.1954 12:00:00;  1,47
29.04.1954 12:00:00;  3,78
10.05.1954 12:00:00;  5,66
29.06.1954 12:00:00;  11,7
02.07.1954 12:00:00;  18,5
28.08.1954 12:00:00;  3,94
22.09.1954 12:00:00;  6,10
05.10.1954 12:00:00;  3,78
11.11.1954 12:00:00;  26,0
07.12.1954 12:00:00;  1,75
28.01.1955 12:00:00;  1,39
19.02.1955 12:00:00;  3,16
27.03.1955 12:00:00;  2,38
04.04.1955 12:00:00;  2,16
12.05.1955 12:00:00;  5,70
03.06.1955 12:00:00;  3,46
23.07.1955 12:00:00;  4,10
07.08.1955 12:00:00;  5,00
15.09.1955 12:00:00;  3,16
19.10.1955 12:00:00;  5,00
09.11.1955 12:00:00;  2,38
11.12.1955 12:00:00;  1,75
10.01.1956 12:00:00;  1,55
09.02.1956 12:00:00;  1,31
04.03.1956 12:00:00;  4,28
30.04.1956 12:00:00;  10,5
25.05.1956 12:00:00;  16,5
09.06.1956 12:00:00;  10,5
03.07.1956 12:00:00;  5,20
23.08.1956 12:00:00;  3,78
22.09.1956 12:00:00;  1,55
31.10.1956 12:00:00;  2,60
17.11.1956 12:00:00;  1,65
03.12.1956 12:00:00;  1,47
31.01.1957 12:00:00;  1,23
17.02.1957 12:00:00;  1,55
31.03.1957 12:00:00;  1,55
04.04.1957 12:00:00;  5,22
24.05.1957 12:00:00;  8,70
01.06.1957 12:00:00;  3,16
09.07.1957 12:00:00;  31,0
10.08.1957 12:00:00;  2,60
11.09.1957 12:00:00;  2,38
01.10.1957 12:00:00;  2,05
11.11.1957 12:00:00;  3,78
16.12.1957 12:00:00;  1,65
30.01.1958 12:00:00;  6,10
13.02.1958 12:00:00;  5,22
30.03.1958 12:00:00;  3,16
23.04.1958 12:00:00;  2,38
08.05.1958 12:00:00;  4,10
26.06.1958 12:00:00;  4,10
23.07.1958 12:00:00;  9,00
20.08.1958 12:00:00;  4,10
10.09.1958 12:00:00;  3,46
13.10.1958 12:00:00;  9,00
19.11.1958 12:00:00;  5,22
14.12.1958 12:00:00;  2,60
09.01.1959 12:00:00;  2,10
08.02.1959 12:00:00;  1,69
27.03.1959 12:00:00;  2,55
18.04.1959 12:00:00;  16,2
23.05.1959 12:00:00;  16,2
18.06.1959 12:00:00;  21,0
04.07.1959 12:00:00;  11,2
20.08.1959 12:00:00;  19,1
04.09.1959 12:00:00;  4,55
29.10.1959 12:00:00;  20,1
16.11.1959 12:00:00;  2,75
28.12.1959 12:00:00;  2,95
29.01.1960 12:00:00;  2,76
02.02.1960 12:00:00;  2,76
17.03.1960 12:00:00;  11,3
20.04.1960 12:00:00;  6,78
12.05.1960 12:00:00;  10,5
19.06.1960 12:00:00;  6,78
16.07.1960 12:00:00;  13,5
30.08.1960 12:00:00;  5,12
06.09.1960 12:00:00;  13,5
07.10.1960 12:00:00;  12,5
05.11.1960 12:00:00;  7,88
07.12.1960 12:00:00;  11,2
04.01.1961 12:00:00;  2,76
23.02.1961 12:00:00;  2,12
20.03.1961 12:00:00;  6,46
30.04.1961 12:00:00;  11,7
16.05.1961 12:00:00;  4,20
08.06.1961 12:00:00;  14,8
05.07.1961 12:00:00;  32,0
16.08.1961 12:00:00;  3,98
08.09.1961 12:00:00;  3,54
18.10.1961 12:00:00;  25,0
13.11.1961 12:00:00;  12,2
08.12.1961 12:00:00;  4,70
01.01.1962 12:00:00;  2,60
16.02.1962 12:00:00;  1,57
06.03.1962 12:00:00;  3,14
20.04.1962 12:00:00;  4,22
20.05.1962 12:00:00;  10,3
20.06.1962 12:00:00;  31,0
29.07.1962 12:00:00;  13,9
04.08.1962 12:00:00;  4,30
08.09.1962 12:00:00;  14,8
31.10.1962 12:00:00;  6,08
16.11.1962 12:00:00;  3,35
01.12.1962 12:00:00;  1,69
08.01.1963 12:00:00;  1,47
16.02.1963 12:00:00;  1,95
12.03.1963 12:00:00;  7,51
24.04.1963 12:00:00;  8,25
29.05.1963 12:00:00;  14,4
15.06.1963 12:00:00;  12,5
02.07.1963 12:00:00;  13,9
29.08.1963 12:00:00;  16,5
09.09.1963 12:00:00;  13,4
04.10.1963 12:00:00;  7,92
17.11.1963 12:00:00;  11,3
01.12.1963 12:00:00;  2,55
07.01.1964 12:00:00;  1,26
24.02.1964 12:00:00;  2,21
29.03.1964 12:00:00;  9,38
04.04.1964 12:00:00;  6,22
26.05.1964 12:00:00;  5,88
19.06.1964 12:00:00;  13,4
10.07.1964 12:00:00;  10,7
08.08.1964 12:00:00;  18,2
17.09.1964 12:00:00;  13,0
27.10.1964 12:00:00;  19,0
02.11.1964 12:00:00;  7,10
31.12.1964 12:00:00;  3,98
31.01.1965 12:00:00;  3,76
01.02.1965 12:00:00;  3,76
31.03.1965 12:00:00;  2,42
22.04.1965 12:00:00;  6,46
31.05.1965 12:00:00;  18,7
27.06.1965 12:00:00;  15,2
05.07.1965 12:00:00;  22,0
01.08.1965 12:00:00;  28,0
28.09.1965 12:00:00;  15,6
30.10.1965 12:00:00;  4,20
21.11.1965 12:00:00;  7,46
01.12.1965 12:00:00;  2,42
04.01.1966 12:00:00;  1,60
22.02.1966 12:00:00;  3,76
29.03.1966 12:00:00;  2,76
12.04.1966 12:00:00;  4,20
11.05.1966 12:00:00;  7,24
08.06.1966 12:00:00;  5,54
15.07.1966 12:00:00;  14,3
18.08.1966 12:00:00;  46,0
06.09.1966 12:00:00;  33,1
18.10.1966 12:00:00;  4,80
05.11.1966 12:00:00;  4,80
03.12.1966 12:00:00;  10,7
27.01.1967 12:00:00;  1,80
07.02.1967 12:00:00;  3,55
28.03.1967 12:00:00;  3,15
09.04.1967 12:00:00;  6,00
30.05.1967 12:00:00;  7,20
29.06.1967 12:00:00;  4,80
09.07.1967 12:00:00;  6,77
31.08.1967 12:00:00;  9,89
09.09.1967 12:00:00;  21,0
05.10.1967 12:00:00;  5,13
05.11.1967 12:00:00;  7,08
03.12.1967 12:00:00;  4,02
17.01.1968 12:00:00;  1,54
19.02.1968 12:00:00;  1,41
28.03.1968 12:00:00;  1,68
06.04.1968 12:00:00;  1,98
28.05.1968 12:00:00;  9,32
06.06.1968 12:00:00;  41,0
17.07.1968 12:00:00;  9,46
26.08.1968 12:00:00;  18,7
05.09.1968 12:00:00;  13,9
07.10.1968 12:00:00;  3,46
16.11.1968 12:00:00;  8,64
04.12.1968 12:00:00;  1,54
17.01.1969 12:00:00;  1,15
24.02.1969 12:00:00;  1,46
16.03.1969 12:00:00;  4,03
29.04.1969 12:00:00;  7,87
19.05.1969 12:00:00;  7,10
06.06.1969 12:00:00;  22,0
08.07.1969 12:00:00;  12,9
22.08.1969 12:00:00;  19,0
05.09.1969 12:00:00;  4,79
02.10.1969 12:00:00;  2,44
15.11.1969 12:00:00;  7,30
05.12.1969 12:00:00;  2,57
14.01.1970 12:00:00;  1,72
06.02.1970 12:00:00;  1,72
24.03.1970 12:00:00;  2,60
26.04.1970 12:00:00;  7,11
16.05.1970 12:00:00;  10,3
17.06.1970 12:00:00;  14,5
01.07.1970 12:00:00;  12,1
09.08.1970 12:00:00;  36,0
16.09.1970 12:00:00;  3,05
20.10.1970 12:00:00;  2,45
22.11.1970 12:00:00;  2,75
01.12.1970 12:00:00;  1,35
01.01.1971 12:00:00;  1,35
17.02.1971 12:00:00;  1,46
18.03.1971 12:00:00;  4,42
24.04.1971 12:00:00;  3,13
03.05.1971 12:00:00;  2,90
07.06.1971 12:00:00;  2,90
