Messstelle:                ;Zwettl an der Rodl (Gemeindeamt)
HZB-Nummer:                ;206664
HD-Nummer:                 ;3855
DBMS-Nummer:               ;4001207
Gewässer:                  ;Diestlbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;27,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   18.04.1984              ;00611,01
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   18.04.1984              ;519320,00 - 370198,00
   27.03.2020              ;519327,11 - 370202,54
Exportzeitreihe:           ;(4001207,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1985 00:00,01.01.2022 00:00]
Werte:
24.01.1985 00:01:00; 0,823
02.02.1985 06:15:00;  11,9
24.03.1985 16:15:00;  2,11
07.04.1985 01:15:00;  1,26
21.05.1985 12:30:00;  2,53
23.06.1985 11:45:00;  2,12
31.07.1985 09:45:00; 0,933
06.08.1985 22:30:00;  7,46
06.09.1985 06:45:00;  2,28
15.10.1985 13:45:00; 0,808
11.11.1985 00:45:00;  1,12
18.12.1985 11:00:00;  1,46
14.01.1986 22:30:00;  3,42
05.02.1986 10:00:00; 0,761
31.03.1986 20:30:00;  2,76
01.04.1986 00:00:00;  2,29
30.05.1986 03:00:00;  2,43
13.06.1986 08:00:00; 0,693
19.07.1986 19:30:00; 0,444
14.08.1986 21:15:00; 0,708
10.09.1986 09:30:00; 0,291
23.10.1986 18:00:00;  1,20
02.11.1986 23:00:00; 0,614
30.12.1986 02:15:00;  14,6
02.01.1987 07:45:00;  5,03
09.02.1987 00:01:00; 0,745
28.03.1987 18:15:00;  2,84
05.04.1987 18:15:00;  3,17
20.05.1987 09:30:00;  2,53
05.06.1987 02:30:00;  1,98
01.07.1987 21:30:00;  90,8
03.08.1987 04:15:00;  1,32
27.09.1987 13:45:00;  1,24
01.10.1987 00:00:00; 0,258
20.11.1987 12:15:00; 0,632
17.12.1987 13:30:00;  4,03
05.01.1988 11:45:00; 0,632
10.02.1988 08:00:00; 0,632
26.03.1988 04:30:00;  5,16
07.04.1988 17:45:00;  7,80
20.05.1988 05:45:00; 0,632
06.06.1988 09:15:00;  1,58
27.07.1988 19:15:00; 0,585
21.08.1988 01:15:00; 0,964
05.09.1988 23:45:00; 0,964
21.10.1988 13:30:00; 0,349
30.11.1988 02:15:00;  1,17
05.12.1988 03:45:00;  6,04
09.01.1989 15:45:00;  1,17
19.02.1989 10:30:00;  2,07
04.03.1989 20:45:00; 0,732
17.04.1989 23:45:00;  2,80
01.05.1989 13:45:00;  1,00
26.06.1989 17:45:00; 0,473
26.07.1989 19:30:00;  2,78
09.08.1989 15:15:00;  2,52
27.09.1989 19:15:00; 0,875
08.10.1989 06:00:00; 0,515
01.11.1989 04:45:00; 0,515
16.12.1989 07:15:00;  3,06
26.01.1990 08:15:00;  1,00
27.02.1990 16:00:00;  3,20
01.03.1990 07:00:00;  5,59
26.04.1990 01:15:00; 0,500
25.05.1990 20:00:00; 0,585
15.06.1990 16:45:00; 0,964
04.07.1990 17:15:00;  1,03
17.08.1990 15:15:00;  1,03
24.09.1990 15:15:00; 0,585
05.10.1990 04:00:00; 0,632
19.11.1990 20:30:00;  1,24
30.12.1990 23:00:00; 0,785
03.01.1991 11:45:00;  2,07
18.02.1991 09:30:00;  1,32
20.03.1991 10:15:00; 0,964
01.04.1991 07:15:00; 0,286
04.05.1991 00:30:00; 0,585
27.06.1991 22:45:00;  2,67
26.07.1991 13:00:00; 0,541
02.08.1991 20:45:00;  10,3
23.09.1991 04:45:00; 0,286
18.10.1991 06:30:00; 0,230
09.11.1991 15:30:00; 0,317
23.12.1991 03:00:00;  3,53
07.01.1992 00:15:00; 0,785
16.02.1992 06:45:00;  1,58
20.03.1992 21:15:00;  2,07
01.04.1992 00:00:00; 0,870
01.05.1992 00:00:00; 0,340
13.06.1992 03:00:00;  1,55
03.07.1992 07:45:00; 0,300
22.08.1992 03:15:00; 0,653
06.09.1992 02:45:00; 0,473
26.10.1992 15:15:00;  3,35
23.11.1992 13:15:00;  2,65
04.12.1992 08:00:00; 0,604
09.01.1993 00:00:05;  1,98
01.02.1993 00:00:00; 0,434
18.03.1993 18:15:00;  5,37
07.04.1993 17:15:00; 0,842
22.05.1993 10:00:00; 0,680
12.06.1993 00:30:00;  1,10
16.07.1993 19:15:00;  4,57
31.08.1993 08:30:00; 0,815
26.09.1993 13:00:00;  1,46
24.10.1993 06:00:00;  1,94
01.11.1993 00:00:00; 0,265
20.12.1993 11:00:00;  7,71
25.01.1994 21:45:00;  1,46
26.02.1994 20:45:00; 0,687
19.03.1994 22:15:00;  1,87
17.04.1994 14:00:00;  3,06
19.05.1994 21:30:00;  1,55
04.06.1994 08:45:00; 0,653
19.07.1994 01:30:00;  3,35
25.08.1994 18:45:00; 0,515
27.09.1994 10:15:00; 0,220
