Messstelle:                ;Furth (Feuerwehrhaus)
HZB-Nummer:                ;214304
HD-Nummer:                 ;no179
DBMS-Nummer:               ;3003128
Gewässer:                  ;Fladnitz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;162,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.2010              ;00209,23
   01.06.2023              ;00209,28
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   29.07.2010              ;696711,00 - 359692,00
Exportzeitreihe:           ;(3003128,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[06.09.2010 09:40:20,01.01.2022 00:00]
Werte:
27.09.2010 05:11:20;  2,15
25.10.2010 16:11:50; 0,823
19.11.2010 15:57:15; 0,728
12.12.2010 18:30:30;  1,03
14.01.2011 16:06:40;  1,75
12.02.2011 13:21:55; 0,569
18.03.2011 21:05:00;  2,08
15.04.2011 17:00:40; 0,539
27.05.2011 21:12:00;  2,44
23.06.2011 21:21:15;  2,90
28.07.2011 19:43:55;  2,08
08.08.2011 16:05:10; 0,540
19.09.2011 22:33:20; 0,766
13.10.2011 06:30:00;  2,05
25.11.2011 21:16:45; 0,364
16.12.2011 19:57:45; 0,365
22.01.2012 17:03:30; 0,680
24.02.2012 21:02:45; 0,609
16.03.2012 17:57:05; 0,490
20.04.2012 18:50:55; 0,896
04.05.2012 00:30:40;  2,70
13.06.2012 05:48:00;  7,43
26.07.2012 20:49:50;  2,12
05.08.2012 03:51:15;  1,60
13.09.2012 06:53:30;  1,02
30.10.2012 08:22:35; 0,249
05.11.2012 12:53:20; 0,347
24.12.2012 08:47:15; 0,991
31.01.2013 03:45:00;  3,60
01.02.2013 00:05:00;  2,12
10.03.2013 01:05:00;  1,22
19.04.2013 12:23:35;  8,63
03.05.2013 07:37:20;  2,40
25.06.2013 09:03:45;  7,67
05.07.2013 22:03:10;  4,07
09.08.2013 23:20:00;  3,87
17.09.2013 07:40:00;  2,67
11.10.2013 20:20:00; 0,541
24.11.2013 19:40:00;  1,39
07.12.2013 16:40:00; 0,390
22.01.2014 11:35:00; 0,697
10.02.2014 10:15:00; 0,548
21.03.2014 14:40:00; 0,356
29.04.2014 16:30:00;  3,88
17.05.2014 09:50:00;  3,81
30.06.2014 17:00:00;  2,01
31.07.2014 17:05:00;  3,98
09.08.2014 16:00:00;  2,45
13.09.2014 13:40:00;  7,02
23.10.2014 20:50:00;  2,34
07.11.2014 15:00:00; 0,618
08.12.2014 01:25:00;  1,91
10.01.2015 07:40:00;  2,31
24.02.2015 21:05:00; 0,837
02.03.2015 16:55:00;  1,12
18.04.2015 02:45:00;  1,68
23.05.2015 22:25:00;  3,94
19.06.2015 20:15:00; 0,825
23.07.2015 12:12:20; 0,978
17.08.2015 08:35:10;  3,83
04.09.2015 02:35:15;  2,00
20.10.2015 06:45:00;  4,89
21.11.2015 09:20:00; 0,701
10.12.2015 00:05:00; 0,415
29.01.2016 12:40:00; 0,374
19.02.2016 11:20:00; 0,685
01.03.2016 00:00:00; 0,643
14.04.2016 02:30:00; 0,889
13.05.2016 17:00:00;  7,98
12.06.2016 17:45:00;  1,99
24.07.2016 01:15:00;  5,94
05.08.2016 22:30:00; 0,935
02.09.2016 17:35:00; 0,501
04.10.2016 17:05:00;  2,41
06.11.2016 21:10:00; 0,901
28.12.2016 18:10:00; 0,609
27.01.2017 09:40:00; 0,606
21.02.2017 19:35:00;  1,13
19.03.2017 04:35:00; 0,507
27.04.2017 11:15:00; 0,460
15.05.2017 20:00:00;  2,04
01.06.2017 00:00:00; 0,337
19.07.2017 14:55:50;  1,83
06.08.2017 22:50:00; 0,359
20.09.2017 06:05:00;  1,80
03.10.2017 19:35:00; 0,776
