Messstelle:                ;Baden (Schloßgasse)
HZB-Nummer:                ;209783
HD-Nummer:                 ;no406
DBMS-Nummer:               ;3001194
Gewässer:                  ;Badener Mühlbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;0
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1992              ;00236,30
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1992              ;741282,90 - 318721,40
Exportzeitreihe:           ;(3001194,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.12.1999 23:59:55,01.01.2022 00:00]
Werte:
31.12.1999 23:59:55; 0,536
17.01.2000 21:06:50; 0,695
25.02.2000 07:48:35;  1,15
10.03.2000 07:29:45; 0,659
27.04.2000 12:10:30; 0,697
01.05.2000 00:00:00; 0,604
26.06.2000 03:05:25; 0,738
12.07.2000 08:59:40; 0,612
17.08.2000 09:46:50; 0,428
17.09.2000 00:59:55; 0,963
08.10.2000 04:54:40; 0,722
05.11.2000 20:42:20; 0,684
12.12.2000 13:13:20; 0,703
31.01.2001 13:11:50; 0,583
06.02.2001 04:51:30; 0,721
24.03.2001 20:23:50; 0,491
09.04.2001 09:09:30; 0,740
04.05.2001 05:39:05; 0,583
11.06.2001 21:34:00; 0,447
02.07.2001 07:12:40; 0,766
21.08.2001 02:29:20; 0,650
06.09.2001 23:58:05; 0,672
01.10.2001 00:00:00; 0,587
27.11.2001 01:22:25; 0,780
29.12.2001 12:53:20; 0,782
21.01.2002 14:09:15; 0,563
14.02.2002 03:38:30; 0,586
17.03.2002 13:10:05; 0,533
24.04.2002 07:39:00; 0,794
13.05.2002 19:38:40; 0,674
13.06.2002 11:48:30; 0,932
26.07.2002 10:45:45; 0,923
01.08.2002 11:11:30; 0,837
25.09.2002 13:24:15; 0,751
24.10.2002 10:48:15; 0,745
20.11.2002 12:39:35; 0,719
21.12.2002 21:22:00; 0,945
29.01.2003 20:51:40; 0,750
01.02.2003 00:00:00; 0,669
03.03.2003 13:09:15; 0,810
01.04.2003 13:03:10; 0,740
28.05.2003 14:39:15; 0,614
16.06.2003 00:06:50; 0,564
18.07.2003 10:34:45; 0,455
26.08.2003 14:06:05; 0,291
23.09.2003 21:08:25; 0,288
30.10.2003 12:32:00; 0,443
11.11.2003 11:18:25; 0,496
30.12.2003 10:17:25; 0,552
07.01.2004 17:03:50; 0,512
05.02.2004 09:30:35; 0,765
17.03.2004 18:28:55; 0,693
24.04.2004 13:52:55; 0,704
28.05.2004 18:56:05; 0,842
24.06.2004 08:23:55; 0,698
22.07.2004 18:56:25; 0,785
01.08.2004 00:00:00; 0,743
24.09.2004 09:16:55; 0,904
10.10.2004 13:03:35; 0,659
22.11.2004 09:06:25; 0,910
01.12.2004 00:00:00; 0,675
21.01.2005 15:40:30; 0,748
14.02.2005 13:25:30; 0,587
16.03.2005 05:11:30; 0,657
19.04.2005 04:36:00; 0,765
19.05.2005 05:06:15;  1,00
30.06.2005 17:08:30; 0,746
10.07.2005 03:59:45;  1,02
15.08.2005 07:06:30; 0,663
21.09.2005 16:00:45; 0,563
01.10.2005 10:16:40; 0,497
