Messstelle:                ;Klausenleopoldsdorf
HZB-Nummer:                ;209478
HD-Nummer:                 ;no400
DBMS-Nummer:               ;3001163
Gewässer:                  ;Schwechat
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;56,3
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;00369,53
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;726477,00 - 327740,00
Exportzeitreihe:           ;(3001163,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1982 01:00,01.01.2022 00:00]
Werte:
02.01.1982 05:00:00;  14,2
01.02.1982 00:00:00;  3,17
01.03.1982 11:00:00;  5,16
12.04.1982 19:00:00; 0,934
29.05.1982 08:00:00;  4,59
27.06.1982 19:00:00;  1,34
26.07.1982 18:00:00;  3,25
08.08.1982 22:00:00;  20,8
24.09.1982 04:00:00; 0,756
06.10.1982 20:00:00;  5,38
07.11.1982 08:00:00; 0,422
29.12.1982 13:00:00;  2,91
04.01.1983 15:00:00;  10,2
28.02.1983 02:00:00;  9,75
01.03.1983 00:00:00;  3,55
30.04.1983 05:00:00; 0,710
09.05.1983 14:00:00;  4,85
19.06.1983 22:00:00; 0,993
21.07.1983 02:00:00; 0,098
05.08.1983 18:00:00; 0,245
04.09.1983 02:00:00; 0,320
03.10.1983 14:00:00; 0,499
26.11.1983 19:00:00; 0,220
24.12.1983 16:00:00;  1,87
19.01.1984 10:00:00; 0,408
12.02.1984 11:00:00; 0,723
30.03.1984 20:00:00;  4,03
10.04.1984 05:00:00;  6,98
15.05.1984 05:00:00;  13,1
15.06.1984 08:00:00; 0,633
13.07.1984 22:00:00; 0,640
13.08.1984 02:00:00;  1,95
24.09.1984 09:00:00;  1,87
04.10.1984 07:00:00;  2,40
27.11.1984 11:00:00; 0,851
25.12.1984 11:00:00; 0,759
31.01.1985 00:01:00;  1,15
02.02.1985 04:00:00;  6,05
28.03.1985 07:00:00;  7,29
01.04.1985 00:00:00;  3,21
17.05.1985 16:00:00;  5,11
23.06.1985 09:00:00;  2,38
02.07.1985 14:00:00; 0,909
07.08.1985 15:00:00;  11,6
09.09.1985 17:00:00;  2,03
15.10.1985 19:00:00; 0,289
30.11.1985 23:59:55; 0,696
18.12.1985 13:00:00;  8,65
14.01.1986 22:30:00;  10,8
23.02.1986 11:00:00; 0,967
16.03.1986 18:15:00;  4,25
01.04.1986 00:00:00;  1,29
28.05.1986 22:45:00;  1,53
14.06.1986 07:15:00;  3,00
19.07.1986 14:00:00;  1,01
05.08.1986 06:30:00;  3,54
10.09.1986 13:45:00;  1,20
27.10.1986 11:15:00;  2,26
24.11.1986 09:15:00;  2,65
30.12.1986 01:00:00;  3,93
02.01.1987 08:15:00;  2,29
09.02.1987 03:15:00;  19,8
25.03.1987 16:30:00;  6,03
04.04.1987 19:00:00;  6,21
22.05.1987 13:15:00;  12,0
22.06.1987 09:45:00;  20,2
24.07.1987 00:00:00;  6,39
03.08.1987 08:30:00;  3,74
27.09.1987 14:15:00;  1,07
24.10.1987 06:15:00; 0,422
27.11.1987 16:30:00; 0,604
18.12.1987 16:00:00;  10,0
30.01.1988 16:15:00;  1,71
28.02.1988 00:45:00;  1,71
22.03.1988 16:45:00;  13,6
