Messstelle:                ;Wies
HZB-Nummer:                ;211391
HD-Nummer:                 ;ow3790
DBMS-Nummer:               ;6001089
Gewässer:                  ;Weiße Sulm
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;69,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00325,30
   25.11.2009              ;00328,30
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1934              ;669064,30 - 176131,50
   25.11.2009              ;668972,50 - 176005,00
   01.01.2018              ;668981,70 - 175999,90
Exportzeitreihe:           ;(6001089,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1951 12:00,01.01.2022 00:00]
Werte:
01.01.1951 12:00:00;  2,12
14.02.1951 12:00:00;  2,66
12.03.1951 12:00:00;  3,80
01.04.1951 12:00:00;  4,00
11.05.1951 12:00:00;  12,1
09.06.1951 12:00:00;  3,42
24.07.1951 12:00:00;  6,09
29.08.1951 12:00:00; 0,730
18.09.1951 12:00:00;  5,80
03.10.1951 12:00:00;  15,5
04.11.1951 12:00:00;  3,23
27.12.1951 12:00:00;  1,76
04.01.1952 12:00:00;  1,58
29.02.1952 12:00:00;  1,32
22.03.1952 12:00:00;  3,42
02.04.1952 12:00:00;  2,48
08.05.1952 12:00:00;  1,24
21.06.1952 12:00:00;  1,24
29.07.1952 12:00:00;  5,20
19.08.1952 12:00:00;  1,58
09.09.1952 12:00:00;  2,12
27.10.1952 12:00:00;  10,0
03.11.1952 12:00:00;  3,52
15.12.1952 12:00:00;  2,30
02.01.1953 12:00:00;  2,12
06.02.1953 12:00:00;  1,94
01.03.1953 12:00:00;  1,07
11.04.1953 12:00:00;  2,66
28.05.1953 12:00:00;  6,00
12.06.1953 12:00:00;  2,48
01.07.1953 12:00:00;  3,42
23.08.1953 12:00:00;  7,00
11.09.1953 12:00:00;  4,40
01.10.1953 12:00:00;  1,58
05.11.1953 12:00:00;  1,49
31.12.1953 12:00:00; 0,980
08.01.1954 12:00:00; 0,730
28.02.1954 12:00:00; 0,610
31.03.1954 12:00:00;  1,24
29.04.1954 12:00:00;  3,23
10.05.1954 12:00:00;  4,50
29.06.1954 12:00:00;  7,77
02.07.1954 12:00:00;  11,8
28.08.1954 12:00:00;  3,42
21.09.1954 12:00:00;  21,7
07.10.1954 12:00:00;  3,26
11.11.1954 12:00:00;  27,0
13.12.1954 12:00:00;  2,59
17.01.1955 12:00:00;  1,08
19.02.1955 12:00:00;  1,33
26.03.1955 12:00:00;  11,5
01.04.1955 12:00:00;  2,40
18.05.1955 12:00:00;  11,2
17.06.1955 12:00:00;  3,35
23.07.1955 12:00:00;  3,77
08.08.1955 12:00:00;  5,55
13.09.1955 12:00:00;  1,33
19.10.1955 12:00:00;  5,55
15.11.1955 12:00:00;  3,88
13.12.1955 12:00:00;  2,22
20.01.1956 12:00:00;  1,50
06.02.1956 12:00:00;  1,33
04.03.1956 12:00:00;  5,55
30.04.1956 12:00:00;  15,6
25.05.1956 12:00:00;  19,6
02.06.1956 12:00:00;  66,0
17.07.1956 12:00:00;  5,55
05.08.1956 12:00:00;  3,77
06.09.1956 12:00:00;  1,16
06.10.1956 12:00:00;  1,86
16.11.1956 12:00:00;  5,55
15.12.1956 12:00:00;  1,16
07.01.1957 12:00:00;  1,50
18.02.1957 12:00:00;  5,55
31.03.1957 12:00:00;  1,50
21.04.1957 12:00:00;  5,55
25.05.1957 12:00:00;  8,50
01.06.1957 12:00:00;  2,78
28.07.1957 12:00:00;  12,0
19.08.1957 12:00:00;  2,22
15.09.1957 12:00:00;  3,35
22.10.1957 12:00:00;  1,68
11.11.1957 12:00:00;  3,35
09.12.1957 12:00:00;  1,16
14.01.1958 12:00:00;  3,35
27.02.1958 12:00:00;  10,5
31.03.1958 12:00:00;  5,96
23.04.1958 12:00:00;  6,09
29.05.1958 12:00:00;  1,68
27.06.1958 12:00:00;  7,54
23.07.1958 12:00:00;  10,5
08.08.1958 12:00:00;  7,06
22.09.1958 12:00:00;  24,0
13.10.1958 12:00:00;  37,0
01.11.1958 12:00:00;  15,6
14.12.1958 12:00:00;  26,7
03.01.1959 12:00:00;  2,22
06.02.1959 12:00:00;  1,16
27.03.1959 12:00:00;  2,40
30.04.1959 12:00:00;  10,2
23.05.1959 12:00:00;  13,5
18.06.1959 12:00:00;  9,15
13.07.1959 12:00:00;  4,52
20.08.1959 12:00:00;  21,0
27.09.1959 12:00:00;  2,97
29.10.1959 12:00:00;  11,6
16.11.1959 12:00:00;  8,34
28.12.1959 12:00:00;  12,2
29.01.1960 12:00:00;  3,07
20.02.1960 12:00:00;  1,95
17.03.1960 12:00:00;  13,0
01.04.1960 12:00:00;  7,22
05.05.1960 12:00:00;  6,09
30.06.1960 12:00:00;  2,69
21.07.1960 12:00:00;  9,52
31.08.1960 12:00:00;  3,77
06.09.1960 12:00:00;  10,5
12.10.1960 12:00:00;  5,09
29.11.1960 12:00:00;  6,50
21.12.1960 12:00:00;  5,55
04.01.1961 12:00:00;  3,56
28.02.1961 12:00:00;  1,50
19.03.1961 12:00:00;  1,59
30.04.1961 12:00:00;  3,56
16.05.1961 12:00:00;  9,01
08.06.1961 12:00:00;  18,5
29.07.1961 12:00:00;  12,7
16.08.1961 12:00:00;  2,40
08.09.1961 12:00:00;  2,50
18.10.1961 12:00:00;  9,69
13.11.1961 12:00:00;  12,5
06.12.1961 12:00:00;  3,56
01.01.1962 12:00:00;  5,55
13.02.1962 12:00:00;  4,63
06.03.1962 12:00:00;  4,19
11.04.1962 12:00:00;  3,98
14.05.1962 12:00:00;  9,01
21.06.1962 12:00:00;  25,0
29.07.1962 12:00:00;  17,2
26.08.1962 12:00:00;  2,78
08.09.1962 12:00:00;  23,1
31.10.1962 12:00:00;  5,82
01.11.1962 12:00:00;  7,86
23.12.1962 12:00:00;  3,16
25.01.1963 12:00:00;  3,22
20.02.1963 12:00:00;  1,57
12.03.1963 12:00:00;  20,2
01.04.1963 12:00:00;  4,83
29.05.1963 12:00:00;  32,0
15.06.1963 12:00:00;  8,84
03.07.1963 12:00:00;  4,35
21.08.1963 12:00:00;  8,18
09.09.1963 12:00:00;  11,9
05.10.1963 12:00:00;  2,22
29.11.1963 12:00:00;  7,86
01.12.1963 12:00:00;  2,60
17.01.1964 12:00:00; 0,450
04.02.1964 12:00:00; 0,550
28.03.1964 12:00:00;  14,3
08.04.1964 12:00:00;  5,19
05.05.1964 12:00:00;  4,83
16.06.1964 12:00:00;  3,89
10.07.1964 12:00:00;  4,83
23.08.1964 12:00:00;  3,44
21.09.1964 12:00:00;  8,50
25.10.1964 12:00:00;  26,0
09.11.1964 12:00:00;  3,22
19.12.1964 12:00:00;  3,44
31.01.1965 12:00:00;  9,18
01.02.1965 12:00:00;  5,82
24.03.1965 12:00:00;  3,55
22.04.1965 12:00:00;  20,9
31.05.1965 12:00:00;  15,0
27.06.1965 12:00:00;  11,1
05.07.1965 12:00:00;  29,1
02.08.1965 12:00:00;  43,0
19.09.1965 12:00:00;  8,20
17.10.1965 12:00:00;  2,09
28.11.1965 12:00:00;  11,9
02.12.1965 12:00:00;  4,05
07.01.1966 12:00:00;  2,36
14.02.1966 12:00:00;  4,05
12.03.1966 12:00:00;  1,75
12.04.1966 12:00:00;  3,32
11.05.1966 12:00:00;  11,9
08.06.1966 12:00:00;  14,8
18.07.1966 12:00:00;  15,2
18.08.1966 12:00:00;  30,0
05.09.1966 12:00:00;  13,9
17.10.1966 12:00:00;  7,11
11.11.1966 12:00:00;  5,19
03.12.1966 12:00:00;  26,2
03.01.1967 12:00:00;  1,13
05.02.1967 12:00:00;  2,51
28.03.1967 12:00:00;  3,31
06.04.1967 12:00:00;  3,07
30.05.1967 12:00:00;  5,11
28.06.1967 12:00:00;  8,53
08.07.1967 12:00:00;  3,21
03.08.1967 12:00:00;  3,71
09.09.1967 12:00:00;  20,0
05.10.1967 12:00:00;  18,0
06.11.1967 12:00:00;  7,73
01.12.1967 12:00:00;  1,06
17.01.1968 12:00:00;  1,62
28.02.1968 12:00:00;  1,21
22.03.1968 12:00:00; 0,780
17.04.1968 12:00:00;  1,06
26.05.1968 12:00:00;  4,71
16.06.1968 12:00:00;  12,9
17.07.1968 12:00:00;  4,65
03.08.1968 12:00:00;  12,5
05.09.1968 12:00:00;  17,5
15.10.1968 12:00:00;  1,91
05.11.1968 12:00:00;  3,71
27.12.1968 12:00:00;  1,37
17.01.1969 12:00:00;  1,06
22.02.1969 12:00:00;  2,63
16.03.1969 12:00:00;  12,5
01.04.1969 12:00:00;  4,10
20.05.1969 12:00:00;  5,33
07.06.1969 12:00:00;  12,9
08.07.1969 12:00:00;  22,6
22.08.1969 12:00:00;  28,0
19.09.1969 12:00:00;  3,96
02.10.1969 12:00:00;  1,45
14.11.1969 12:00:00;  11,9
17.12.1969 12:00:00;  1,62
06.01.1970 12:00:00;  3,96
06.02.1970 12:00:00;  4,23
24.03.1970 12:00:00;  7,58
21.04.1970 12:00:00;  5,77
22.05.1970 12:00:00;  5,06
30.06.1970 12:00:00;  10,1
15.07.1970 12:00:00;  40,0
09.08.1970 12:00:00;  39,8
04.09.1970 12:00:00;  2,77
20.10.1970 12:00:00;  6,56
22.11.1970 12:00:00;  9,11
01.12.1970 12:00:00; 0,580
22.01.1971 12:00:00;  2,40
17.02.1971 12:00:00;  14,0
27.03.1971 12:00:00;  1,45
02.04.1971 12:00:00;  2,89
01.05.1971 12:00:00;  2,06
01.06.1971 12:00:00;  1,07
18.07.1971 12:00:00;  2,05
31.08.1971 12:00:00;  2,70
29.09.1971 12:00:00;  1,65
15.10.1971 12:00:00;  2,26
12.11.1971 12:00:00;  2,47
03.12.1971 12:00:00;  2,47
01.01.1972 12:00:00;  1,28
12.02.1972 12:00:00;  8,19
06.03.1972 12:00:00;  2,96
22.04.1972 12:00:00;  38,2
28.05.1972 12:00:00;  13,3
01.06.1972 12:00:00;  16,2
16.07.1972 12:00:00;  48,0
18.08.1972 12:00:00;  9,10
09.09.1972 12:00:00;  42,8
09.10.1972 12:00:00;  3,64
18.11.1972 12:00:00;  14,3
10.12.1972 12:00:00;  4,78
17.01.1973 12:00:00;  1,20
10.02.1973 12:00:00;  3,54
27.03.1973 12:00:00;  3,66
10.04.1973 12:00:00;  4,78
03.05.1973 12:00:00;  2,36
23.06.1973 12:00:00;  48,0
07.07.1973 12:00:00;  4,36
02.08.1973 12:00:00;  9,43
25.09.1973 12:00:00;  36,6
01.10.1973 12:00:00;  7,89
06.11.1973 12:00:00;  9,43
09.12.1973 12:00:00;  2,81
22.01.1974 12:00:00;  1,75
07.02.1974 12:00:00;  1,94
06.03.1974 12:00:00;  6,36
01.04.1974 12:00:00;  1,71
22.05.1974 12:00:00;  1,45
29.06.1974 12:00:00;  4,34
18.07.1974 12:00:00;  5,65
28.08.1974 12:00:00;  11,4
23.09.1974 12:00:00;  19,0
21.10.1974 12:00:00;  7,21
07.11.1974 12:00:00;  1,52
03.12.1974 12:00:00;  1,05
04.01.1975 12:00:00; 0,800
18.02.1975 12:00:00;  1,73
21.03.1975 12:00:00;  17,4
16.04.1975 12:00:00;  3,01
27.05.1975 12:00:00;  4,48
30.06.1975 12:00:00;  21,0
01.07.1975 12:00:00;  9,27
24.08.1975 12:00:00;  6,40
07.09.1975 12:00:00;  7,49
17.10.1975 12:00:00;  8,12
17.11.1975 12:00:00;  6,71
01.12.1975 12:00:00;  2,17
05.01.1976 08:30:00;  1,55
29.02.1976 23:59:55;  1,26
12.03.1976 08:30:00;  1,55
26.04.1976 14:30:00;  13,6
14.05.1976 01:30:00;  10,6
03.06.1976 07:30:00;  1,69
27.07.1976 12:00:00;  7,95
15.08.1976 21:00:00;  3,94
11.09.1976 03:30:00;  5,87
30.10.1976 19:30:00;  26,3
14.11.1976 15:30:00;  3,54
02.12.1976 17:30:00;  17,3
27.01.1977 04:00:00;  6,34
23.02.1977 05:00:00;  4,28
08.03.1977 12:30:00;  2,37
09.04.1977 03:30:00;  10,2
23.05.1977 14:00:00;  4,12
22.06.1977 07:30:00;  4,50
26.07.1977 15:00:00;  7,53
14.08.1977 12:30:00;  2,22
20.09.1977 05:00:00;  3,38
02.10.1977 08:00:00;  1,15
16.11.1977 00:00:05; 0,945
06.12.1977 13:30:00;  1,42
29.01.1978 17:30:00;  1,76
25.02.1978 17:00:00;  5,25
06.03.1978 03:00:00;  7,42
21.04.1978 19:30:00;  5,50
13.05.1978 17:00:00;  3,19
11.06.1978 07:30:00;  11,1
14.07.1978 20:00:00;  13,1
17.08.1978 21:30:00;  3,78
30.09.1978 23:59:55;  10,3
01.10.1978 02:00:00;  12,0
22.11.1978 13:30:00;  1,50
13.12.1978 11:00:00;  3,64
24.01.1979 14:00:00;  4,60
17.02.1979 01:00:00;  9,04
29.03.1979 14:30:00;  4,75
27.04.1979 06:30:00;  6,51
04.05.1979 16:00:00;  6,63
16.06.1979 22:00:00;  8,09
13.07.1979 22:00:00;  37,6
19.08.1979 18:30:00;  20,7
24.09.1979 12:00:00;  28,0
30.10.1979 22:30:00;  5,18
15.11.1979 18:30:00;  26,8
23.12.1979 06:30:00;  2,70
31.01.1980 15:00:00;  5,92
01.02.1980 13:00:00;  4,62
30.03.1980 05:00:00;  2,43
20.04.1980 05:30:00;  3,10
01.05.1980 19:30:00;  4,72
24.06.1980 04:30:00;  5,80
