Messstelle:                ;Isperdorf
HZB-Nummer:                ;207613
HD-Nummer:                 ;no015
DBMS-Nummer:               ;3001001
Gewässer:                  ;Isper
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;164,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   18.06.1973              ;00230,00
   01.01.1977              ;00232,77
   01.01.2014              ;00232,74
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;651177,00 - 341364,80
Exportzeitreihe:           ;(3001001,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[19.01.1951 12:00,01.01.2022 00:00]
Werte:
19.01.1951 12:00:00;  3,64
14.02.1951 12:00:00;  3,28
20.03.1951 12:00:00;  5,12
01.04.1951 12:00:00;  5,12
11.05.1951 12:00:00;  13,0
17.06.1951 12:00:00;  3,04
18.07.1951 12:00:00;  2,50
07.08.1951 12:00:00;  4,00
15.09.1951 12:00:00;  3,52
11.10.1951 12:00:00; 0,820
04.11.1951 12:00:00;  2,20
17.12.1951 12:00:00;  2,60
30.01.1952 12:00:00;  5,72
29.02.1952 12:00:00;  4,42
23.03.1952 12:00:00;  15,5
14.04.1952 12:00:00;  7,00
25.05.1952 12:00:00;  7,00
20.06.1952 12:00:00;  19,0
22.07.1952 12:00:00;  3,28
16.08.1952 12:00:00;  4,84
09.09.1952 12:00:00;  7,00
26.10.1952 12:00:00;  4,98
03.11.1952 12:00:00;  4,70
01.12.1952 12:00:00;  4,98
29.01.1953 12:00:00;  5,88
22.02.1953 12:00:00;  6,20
03.03.1953 12:00:00;  4,70
01.04.1953 12:00:00;  3,88
10.05.1953 12:00:00;  4,42
13.06.1953 12:00:00;  12,0
30.07.1953 12:00:00;  8,32
05.08.1953 12:00:00;  4,98
14.09.1953 12:00:00;  2,20
12.10.1953 12:00:00;  1,42
23.11.1953 12:00:00;  1,80
07.12.1953 12:00:00;  1,90
15.01.1954 12:00:00;  9,86
28.02.1954 12:00:00;  1,80
25.03.1954 12:00:00;  5,12
03.04.1954 12:00:00;  5,56
07.05.1954 12:00:00;  14,5
18.06.1954 12:00:00;  2,93
02.07.1954 12:00:00;  12,3
24.08.1954 12:00:00;  2,82
30.09.1954 12:00:00;  3,04
07.10.1954 12:00:00;  6,36
20.11.1954 12:00:00;  2,00
22.12.1954 12:00:00;  3,28
03.01.1955 12:00:00;  2,20
14.02.1955 12:00:00;  2,60
29.03.1955 12:00:00;  5,12
11.04.1955 12:00:00;  7,32
09.05.1955 12:00:00;  3,28
25.06.1955 12:00:00;  2,60
09.07.1955 12:00:00;  7,48
11.08.1955 12:00:00;  11,5
15.09.1955 12:00:00;  6,68
03.10.1955 12:00:00;  2,20
01.11.1955 12:00:00;  2,00
04.12.1955 12:00:00;  4,28
02.01.1956 12:00:00;  2,60
06.02.1956 12:00:00;  2,20
04.03.1956 12:00:00;  10,3
02.04.1956 12:00:00;  3,76
01.05.1956 12:00:00;  7,00
09.06.1956 12:00:00;  5,72
25.07.1956 12:00:00;  5,12
20.08.1956 12:00:00;  4,00
17.09.1956 12:00:00;  1,60
06.10.1956 12:00:00;  3,76
07.11.1956 12:00:00;  16,0
14.12.1956 12:00:00;  5,12
07.01.1957 12:00:00;  5,40
26.02.1957 12:00:00;  7,98
17.03.1957 12:00:00;  6,36
02.04.1957 12:00:00;  3,76
19.05.1957 12:00:00;  2,82
20.06.1957 12:00:00;  8,32
24.07.1957 12:00:00;   130
03.08.1957 12:00:00;  6,68
18.09.1957 12:00:00;  5,12
02.10.1957 12:00:00;  3,28
12.11.1957 12:00:00;  4,28
11.12.1957 12:00:00;  4,28
07.01.1958 12:00:00;  8,32
17.02.1958 12:00:00;  16,5
27.03.1958 12:00:00;  12,3
17.04.1958 12:00:00;  6,68
07.05.1958 12:00:00;  6,36
28.06.1958 12:00:00;  26,0
02.07.1958 12:00:00;  10,3
21.08.1958 12:00:00;  6,68
25.09.1958 12:00:00;  2,60
24.10.1958 12:00:00;  6,68
17.11.1958 12:00:00;  4,84
28.12.1958 12:00:00;  4,28
08.01.1959 12:00:00;  3,88
22.02.1959 12:00:00;  2,60
08.03.1959 12:00:00;  10,3
07.04.1959 12:00:00;  6,36
03.05.1959 12:00:00;  8,32
13.06.1959 12:00:00;  19,0
21.07.1959 12:00:00;  67,0
14.08.1959 12:00:00;  28,5
01.09.1959 12:00:00;  5,12
02.10.1959 12:00:00;  2,60
12.11.1959 12:00:00;  2,60
30.12.1959 12:00:00;  7,32
01.01.1960 12:00:00;  5,72
29.02.1960 12:00:00;  6,68
