Messstelle:                ;Woppendorf
HZB-Nummer:                ;210237
HD-Nummer:                 ;
DBMS-Nummer:               ;1001021
Gewässer:                  ;Pinka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;416,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00242,00
   01.01.1984              ;00242,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1939              ;754550,00 - 229400,00
   03.02.2012              ;754510,00 - 229404,00
   05.10.2018              ;754500,17 - 229420,08
Exportzeitreihe:           ;(1001021,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[28.01.1951 12:00,01.01.2022 00:00]
Werte:
28.01.1951 12:00:00;  4,35
22.02.1951 12:00:00;  20,7
08.03.1951 12:00:00;  8,15
01.04.1951 12:00:00;  28,9
12.05.1951 12:00:00;  29,1
07.06.1951 12:00:00;  33,0
25.07.1951 12:00:00;  17,4
17.08.1951 12:00:00;  6,55
19.09.1951 12:00:00;  2,37
14.10.1951 12:00:00;  1,22
23.11.1951 12:00:00;  17,4
27.12.1951 12:00:00;  2,18
07.01.1952 12:00:00;  1,99
29.02.1952 12:00:00;  16,0
01.03.1952 12:00:00;  12,8
22.04.1952 12:00:00;  4,95
13.05.1952 12:00:00;  5,55
24.06.1952 12:00:00;  14,0
18.07.1952 12:00:00;  1,27
28.08.1952 12:00:00;  1,00
10.09.1952 12:00:00;  1,81
27.10.1952 12:00:00;  5,39
28.11.1952 12:00:00;  1,63
16.12.1952 12:00:00;  4,06
03.01.1953 12:00:00;  7,35
09.02.1953 12:00:00;  3,15
16.03.1953 12:00:00;  1,60
29.04.1953 12:00:00;  2,18
29.05.1953 12:00:00;  1,60
09.06.1953 12:00:00;  22,5
28.07.1953 12:00:00;  14,0
