Messstelle:                ;Nötsch
HZB-Nummer:                ;212753
HD-Nummer:                 ;00419
DBMS-Nummer:               ;2001038
Gewässer:                  ;Gail
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;908,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1891              ;00549,15
   26.04.1929              ;00548,74
   15.07.1940              ;00545,74
   01.01.1954              ;00545,95
   01.01.1976              ;00545,95
   18.03.2003              ;00546,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1882              ;471650,10 - 160286,80
   04.08.2015              ;471573,00 - 160408,00
Exportzeitreihe:           ;(2001038,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[13.01.1951 12:00,01.01.2022 00:00]
Werte:
13.01.1951 12:00:00;  20,7
14.02.1951 12:00:00;   138
14.03.1951 12:00:00;   112
29.04.1951 12:00:00;   217
29.05.1951 12:00:00;   291
01.06.1951 12:00:00;   203
25.07.1951 12:00:00;  99,0
09.08.1951 12:00:00;  59,8
18.09.1951 12:00:00;  70,5
26.10.1951 12:00:00;  20,9
13.11.1951 12:00:00;   490
01.12.1951 12:00:00;  50,3
08.01.1952 12:00:00;  16,2
29.02.1952 12:00:00;  10,9
30.03.1952 12:00:00;  67,4
02.04.1952 12:00:00;   140
05.05.1952 12:00:00;  99,0
17.06.1952 12:00:00;  46,2
29.07.1952 12:00:00;  77,9
25.08.1952 12:00:00;  61,5
09.09.1952 12:00:00;   149
27.10.1952 12:00:00;   350
20.11.1952 12:00:00;   135
02.12.1952 12:00:00;  25,4
01.01.1953 12:00:00;  14,0
28.02.1953 12:00:00;  10,5
31.03.1953 12:00:00;  17,5
28.04.1953 12:00:00;   101
01.05.1953 12:00:00;  53,7
09.06.1953 12:00:00;   115
31.07.1953 12:00:00;   120
03.08.1953 12:00:00;   232
26.09.1953 12:00:00;   109
29.10.1953 12:00:00;   380
01.11.1953 12:00:00;   134
01.12.1953 12:00:00;  24,7
10.01.1954 12:00:00;  14,7
16.02.1954 12:00:00;  11,2
22.03.1954 12:00:00;  37,0
06.04.1954 12:00:00;  87,3
04.05.1954 12:00:00;   175
01.06.1954 12:00:00;   169
02.07.1954 12:00:00;   116
16.08.1954 12:00:00;   143
22.09.1954 12:00:00;  72,6
25.10.1954 12:00:00;  87,0
11.11.1954 12:00:00;  48,5
11.12.1954 12:00:00;   390
17.01.1955 12:00:00;  32,5
02.02.1955 12:00:00;  24,8
27.03.1955 12:00:00;  83,4
30.04.1955 12:00:00;  45,0
16.05.1955 12:00:00;   145
11.06.1955 12:00:00;  68,1
04.07.1955 12:00:00;  44,4
08.08.1955 12:00:00;  22,6
15.09.1955 12:00:00;   185
22.10.1955 12:00:00;   118
11.11.1955 12:00:00;  45,7
03.12.1955 12:00:00;  18,2
01.01.1956 12:00:00;  12,7
19.02.1956 12:00:00;  9,62
24.03.1956 12:00:00;  34,9
18.04.1956 12:00:00;   109
25.05.1956 12:00:00;   125
09.06.1956 12:00:00;   185
03.07.1956 12:00:00;  52,8
23.08.1956 12:00:00;  46,9
26.09.1956 12:00:00;  79,8
27.10.1956 12:00:00;  64,2
16.11.1956 12:00:00;  29,5
01.12.1956 12:00:00;  12,6
03.01.1957 12:00:00;  13,3
15.02.1957 12:00:00;  9,50
25.03.1957 12:00:00;  33,6
12.04.1957 12:00:00;  56,7
01.05.1957 12:00:00;  66,5
25.06.1957 12:00:00;   119
28.07.1957 12:00:00;   140
20.08.1957 12:00:00;  58,9
14.09.1957 12:00:00;  76,9
01.10.1957 12:00:00;  33,1
07.11.1957 12:00:00;   170
14.12.1957 12:00:00;   116
01.01.1958 12:00:00;  15,1
27.02.1958 12:00:00;  43,0
31.03.1958 12:00:00;  27,7
05.04.1958 12:00:00;  67,7
12.05.1958 12:00:00;   134
27.06.1958 12:00:00;   140
03.07.1958 12:00:00;   109
22.08.1958 12:00:00;   125
22.09.1958 12:00:00;   129
02.10.1958 12:00:00;   290
13.11.1958 12:00:00;   126
24.12.1958 12:00:00;   106
01.01.1959 12:00:00;  32,9
01.02.1959 12:00:00;  14,0
08.03.1959 12:00:00;  78,8
18.04.1959 12:00:00;  97,0
01.05.1959 12:00:00;  92,1
30.06.1959 12:00:00;   145
01.07.1959 12:00:00;  92,1
13.08.1959 12:00:00;  44,4
01.09.1959 12:00:00;  16,2
28.10.1959 12:00:00;   250
16.11.1959 12:00:00;   102
01.12.1959 12:00:00;  80,7
29.01.1960 12:00:00;  43,4
01.02.1960 12:00:00;  27,1
31.03.1960 12:00:00;  67,7
15.04.1960 12:00:00;  87,3
17.05.1960 12:00:00;   137
30.06.1960 12:00:00;  73,2
23.07.1960 12:00:00;   146
19.08.1960 12:00:00;   163
20.09.1960 12:00:00;   341
30.10.1960 12:00:00;   281
05.11.1960 12:00:00;   296
07.12.1960 12:00:00;   470
04.01.1961 12:00:00;  45,5
28.02.1961 12:00:00;  22,5
19.03.1961 12:00:00;  58,8
15.04.1961 12:00:00;  91,1
30.05.1961 12:00:00;  94,1
01.06.1961 12:00:00;  47,8
13.07.1961 12:00:00;  81,6
16.08.1961 12:00:00;  29,2
09.09.1961 12:00:00;  22,6
08.10.1961 12:00:00;   220
13.11.1961 12:00:00;   107
06.12.1961 12:00:00;  58,0
02.01.1962 12:00:00;  73,4
26.02.1962 12:00:00;  16,3
05.03.1962 12:00:00;  97,0
27.04.1962 12:00:00;  96,0
14.05.1962 12:00:00;   279
02.06.1962 12:00:00;   279
29.07.1962 12:00:00;   126
01.08.1962 12:00:00;  42,4
18.09.1962 12:00:00;  37,3
29.10.1962 12:00:00;  22,6
09.11.1962 12:00:00;   300
01.12.1962 12:00:00;  22,6
04.01.1963 12:00:00;  13,6
20.02.1963 12:00:00;  8,50
31.03.1963 12:00:00;  27,0
11.04.1963 12:00:00;   126
04.05.1963 12:00:00;  87,2
15.06.1963 12:00:00;   107
03.07.1963 12:00:00;  39,7
21.08.1963 12:00:00;   128
05.09.1963 12:00:00;   167
04.10.1963 12:00:00;  94,1
17.11.1963 12:00:00;   250
01.12.1963 12:00:00;  58,8
01.01.1964 12:00:00;  25,7
27.02.1964 12:00:00;  14,9
31.03.1964 12:00:00;  16,7
24.04.1964 12:00:00;  29,1
15.05.1964 12:00:00;  36,8
09.06.1964 12:00:00;  46,2
10.07.1964 12:00:00;  76,1
19.08.1964 12:00:00;  16,3
21.09.1964 12:00:00;  12,1
13.10.1964 12:00:00;   175
30.11.1964 12:00:00;   146
01.12.1964 12:00:00;  71,6
03.01.1965 12:00:00;  19,7
01.02.1965 12:00:00;  17,1
31.03.1965 12:00:00;  55,5
09.04.1965 12:00:00;  50,0
19.05.1965 12:00:00;   162
01.06.1965 12:00:00;   153
05.07.1965 12:00:00;  90,1
01.08.1965 12:00:00;   178
04.09.1965 12:00:00;   590
01.10.1965 12:00:00;   126
21.11.1965 12:00:00;  86,0
01.12.1965 12:00:00;  32,8
01.01.1966 12:00:00;  19,9
22.02.1966 12:00:00;   110
01.03.1966 12:00:00;  27,6
21.04.1966 12:00:00;  69,8
07.05.1966 12:00:00;   198
25.06.1966 12:00:00;  44,3
19.07.1966 12:00:00;  79,5
19.08.1966 12:00:00;   511
01.09.1966 12:00:00;  76,8
17.10.1966 12:00:00;   157
05.11.1966 12:00:00;   700
03.12.1966 12:00:00;  96,5
01.01.1967 12:00:00;  22,1
28.02.1967 12:00:00;  15,0
12.03.1967 12:00:00;  56,4
10.04.1967 12:00:00;   243
17.05.1967 12:00:00;   198
10.06.1967 12:00:00;   134
22.07.1967 12:00:00;  71,5
13.08.1967 12:00:00;  47,2
08.09.1967 12:00:00;   310
05.10.1967 12:00:00;   146
05.11.1967 12:00:00;   390
01.12.1967 12:00:00;  29,7
01.01.1968 12:00:00;  16,1
25.02.1968 12:00:00;  63,4
31.03.1968 12:00:00;  42,9
08.04.1968 12:00:00;   150
07.05.1968 12:00:00;   233
15.06.1968 12:00:00;   110
17.07.1968 12:00:00;  58,8
