Messstelle:                ;Engelhartstetten
HZB-Nummer:                ;209262
HD-Nummer:                 ;no600
DBMS-Nummer:               ;3001143
Gewässer:                  ;Rußbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;497,8
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1979              ;00139,00
   01.01.1981              ;00138,32
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;791904,00 - 338987,00
Exportzeitreihe:           ;(3001143,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1979 01:00,01.01.2022 00:00]
Werte:
01.01.1979 01:00:00; 0,552
18.02.1979 04:00:00;  1,43
31.03.1979 23:59:55;  1,23
07.04.1979 23:00:00;  1,36
16.05.1979 10:00:00; 0,859
22.06.1979 08:00:00;  1,28
12.07.1979 08:00:00;  1,07
20.08.1979 18:00:00; 0,941
01.09.1979 22:00:00; 0,814
29.10.1979 14:00:00; 0,526
21.11.1979 07:00:00;  1,41
19.12.1979 05:00:00;  1,26
01.01.1980 00:00:00; 0,927
07.02.1980 02:00:00;  1,46
30.03.1980 21:00:00; 0,837
24.04.1980 01:00:00;  1,28
01.05.1980 00:00:00;  1,02
28.06.1980 21:00:00;  1,93
05.07.1980 13:11:45;  2,36
01.08.1980 00:00:00;  1,66
01.09.1980 00:00:00; 0,705
24.10.1980 16:00:00; 0,789
30.11.1980 03:00:00;  2,38
01.12.1980 00:00:00;  1,59
07.01.1981 00:00:00;  1,08
11.02.1981 13:00:00; 0,752
28.03.1981 03:00:00;  1,57
02.04.1981 05:00:00; 0,755
31.05.1981 23:59:55; 0,693
28.06.1981 20:00:00;  1,18
01.07.1981 00:00:00; 0,920
01.08.1981 00:00:00; 0,638
30.09.1981 23:59:55; 0,498
24.10.1981 11:00:00;  1,18
15.11.1981 19:00:00;  1,07
05.12.1981 22:00:00;  1,08
31.01.1982 23:59:55;  33,2
01.02.1982 02:00:00;  37,4
03.03.1982 20:00:00;  1,07
01.04.1982 00:00:00; 0,723
25.05.1982 16:00:00;  2,81
28.06.1982 21:00:00;  2,13
18.07.1982 20:00:00;  1,21
11.08.1982 00:00:00;  1,30
02.09.1982 21:00:00; 0,886
23.10.1982 01:00:00; 0,813
16.11.1982 21:00:00; 0,879
23.12.1982 09:00:00;  1,09
06.01.1983 22:00:00;  1,87
21.02.1983 12:00:00;  1,08
08.03.1983 07:00:00; 0,984
24.04.1983 01:00:00; 0,987
25.05.1983 16:00:00; 0,734
23.06.1983 22:00:00;  1,17
01.07.1983 00:00:00; 0,878
28.08.1983 19:00:00; 0,439
16.09.1983 00:00:00; 0,515
30.10.1983 17:00:00;  2,14
29.11.1983 14:00:00;  1,21
01.12.1983 13:00:00; 0,954
31.01.1984 23:59:55; 0,375
27.02.1984 14:00:00; 0,564
31.03.1984 23:59:55; 0,594
