Messstelle:                ;St. Veit
HZB-Nummer:                ;213827
HD-Nummer:                 ;01853
DBMS-Nummer:               ;2002486
Gewässer:                  ;Glan
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;380,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   18.07.2007              ;00462,66
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2007              ;529778,65 - 180930,71
   04.08.2015              ;529848,50 - 180972,00
Exportzeitreihe:           ;(2002486,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[09.05.2007 14:15,01.01.2022 00:00]
Werte:
29.05.2007 10:22:30;  6,84
05.06.2007 17:37:30;  5,65
09.07.2007 22:07:30;  5,79
28.08.2007 17:07:30;  7,80
27.09.2007 08:52:30;  9,06
06.10.2007 20:22:30;  4,15
13.11.2007 14:52:30;  2,12
08.12.2007 07:22:30;  1,81
17.01.2008 23:37:30;  2,04
05.02.2008 21:37:30;  1,56
13.03.2008 06:52:30;  1,93
12.04.2008 23:07:30;  2,55
20.05.2008 14:37:30;  3,57
23.06.2008 19:07:30;  9,24
14.07.2008 13:37:30;  7,06
16.08.2008 07:37:30;  13,8
12.09.2008 20:07:30;  12,7
04.10.2008 03:52:30;  9,43
30.11.2008 18:52:30;  4,53
12.12.2008 14:37:30;  15,6
22.01.2009 03:52:30;  5,49
08.02.2009 18:22:30;  5,34
30.03.2009 03:22:30;  15,6
01.04.2009 00:37:30;  8,30
27.05.2009 19:22:30;  6,23
20.06.2009 15:22:30;  12,6
30.07.2009 20:37:30;  14,7
14.08.2009 05:37:30;  10,6
14.09.2009 11:22:30;  13,2
11.10.2009 05:30:00;  7,97
07.11.2009 00:15:00;  6,08
25.12.2009 21:30:00;  12,6
01.01.2010 00:00:00;  5,37
28.02.2010 23:59:55;  4,86
01.03.2010 22:00:00;  5,93
02.04.2010 21:15:00;  4,79
06.05.2010 11:37:30;  7,58
20.06.2010 09:22:30;  7,76
04.07.2010 12:07:30;  10,0
15.08.2010 10:07:30;  7,94
18.09.2010 10:37:30;  17,3
25.10.2010 23:00:00;  11,0
08.11.2010 19:52:30;  15,4
24.12.2010 17:52:30;  11,4
11.01.2011 17:52:30;  10,2
18.02.2011 19:52:30;  4,53
17.03.2011 08:52:30;  12,1
04.04.2011 17:22:30;  3,35
28.05.2011 10:15:00;  6,71
19.06.2011 10:45:00;  12,9
24.07.2011 15:00:00;  10,8
09.08.2011 01:15:00;  13,1
19.09.2011 19:15:00;  17,3
07.10.2011 15:30:00;  10,8
01.11.2011 00:00:00;  3,14
17.12.2011 00:15:00;  3,03
03.01.2012 20:30:05;  2,72
25.02.2012 21:00:00;  3,13
01.03.2012 00:15:00;  2,93
08.04.2012 00:30:00;  4,69
13.05.2012 05:00:00;  5,23
12.06.2012 21:15:00;  5,50
21.07.2012 17:45:00;  20,6
01.08.2012 00:00:00;  10,8
13.09.2012 07:15:00;  16,1
16.10.2012 09:00:00;  18,2
06.11.2012 19:30:05;  26,6
26.12.2012 22:15:00;  9,63
01.01.2013 00:00:00;  4,79
02.02.2013 17:00:00;  5,78
14.03.2013 00:30:00;  14,5
13.04.2013 07:36:10;  14,4
31.05.2013 18:00:00;  13,9
02.06.2013 08:00:00;  13,4
30.07.2013 01:00:00;  6,08
28.08.2013 06:00:00;  8,30
11.09.2013 06:00:00;  5,50
30.10.2013 06:45:00;  8,99
10.11.2013 01:00:00;  16,1
27.12.2013 07:00:00;  6,19
05.01.2014 16:45:00;  15,5
21.02.2014 04:00:00;  23,3
01.03.2014 05:45:00;  14,0
01.04.2014 00:30:00;  7,56
12.05.2014 02:45:00;  9,19
30.06.2014 11:45:00;  8,36
26.07.2014 15:45:00;  5,94
31.08.2014 23:59:55;  11,7
01.09.2014 07:00:00;  25,2
01.10.2014 22:00:00;  6,51
