Messstelle:                ;Altaussee (Seeklause)
HZB-Nummer:                ;210534
HD-Nummer:                 ;ow0020
DBMS-Nummer:               ;6001006
Gewässer:                  ;Altausseer See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;48,17

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;710,36

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1908              ;557398,80 - 280618,30
   01.01.2018              ;557323,60 - 280596,50

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1895              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1998              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1909              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1998              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/durch Fischrechen beeinflusst
   01.01.1997    31.12.1997;OWF-WT/Im Jän,Feb,Apr,Mai,Jun,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-W/am 25. Sep Einbau eines Fischrechens
   01.01.1997    31.12.1997;OWF-Q/am 25. Sep Einbau eines Fischrechens
   01.01.1998    31.12.1998;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jul,Aug,Sep,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-WT/Im Jän,Mrz,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2016;OWF-Q/durch Fischrechen beeinflusst
   01.01.2000    31.12.2000;OWF-WT/durch Fischrechen beeinflusst
   01.01.2001    31.12.2001;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-WT/Im Mrz,Apr,Mai,Jun,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Mrz,Nov nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Mrz,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Mrz,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jun,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Feb,Apr,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez trocken
   01.01.2014    31.12.2014;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-W/Seefläche 2,1 km²
   01.01.2017              ;OWF-WT/Seefläche 2,1 km²
   01.01.2017    31.12.2017;OWF-Q/Seefläche 2,1 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2018    31.12.2018;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-W/Einzugsgebiet Neuberechnung durch den HD
   01.01.2018    31.12.2018;OWF-Q/Einzugsgebiet Neuberechnung durch den HD
   01.01.2019    31.12.2019;OWF-Q/Im Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Feb,Mrz,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Feb,Mrz,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt

