Messstelle:                ;Hainburg Straßenbrücke
HZB-Nummer:                ;207480
HD-Nummer:                 ;2HD10872
DBMS-Nummer:               ;10001199
Gewässer:                  ;Donau
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;104177,7

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1996              ;137,00
   03.12.2008              ;136,00

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2010              ;792932,80 - 334206,40

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   06.04.2007              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   24.10.2015              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   24.10.2015              ;2111005310-6/OWF-W/Drucksonde (direkt)-Fernübertragung (DFÜ)
   06.04.2007              ;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   06.04.2007              ;2111006410-6/OWF-W/Pneumatic (direkt)-Fernübertragung (DFÜ)
   24.10.2015              ;2161004310-4/OWF-WT/Thermoelement-Datensammler
   24.10.2015              ;2161004310-6/OWF-WT/Thermoelement-Fernübertragung (DFÜ)
   01.01.2015              ;2161009000-1/OWF-WT/ unbestimmt-händische Messung
   06.04.2007              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-händische Messung
   06.04.2007              ;2281004610-4/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler
   01.01.2008              ;2381002310-1/OWF-FS/Geschiebe (E.-Waage)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2008              ;OWF-Q/Q aus Hainburg an der Donau
   01.01.2009    31.12.2009;OWF-W/am 13. Jän durch Eisabgang beeinflusst
   01.01.2009    31.12.2009;OWF-Q/im Jän, Feb, Mrz, Apr, Jul, Aug und Sep nach ergänzten Daten erm.
   01.01.2010    31.12.2010;OWF-Q/im Jän, Feb, Mrz, Aug, Sep, Okt und Nov nach erg. Daten erm.
   01.01.2011              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2011    31.12.2011;OWF-Q/im Jun und Jul nach ergänzten Daten ermittelt | am 15. Jän Spitze durch Tauwetter und starke Niederschläge
   01.01.2012    31.12.2012;OWF-Q/im Okt und Nov nach ergänzten Daten ermittelt
   01.01.2013    31.12.2013;OWF-Q/im Jän, Mrz, Apr, Nov, Dez zeitw nach ergänzten Daten ermittelt | von Mai bis Aug nach ergänzten Daten ermittelt
   01.01.2014    31.12.2014;OWF-Q/im Mrz, Jun und Jul zeitweise nach ergänzten Daten ermittelt
   01.01.2015    31.12.2015;OWF-Q/im Jun, Aug, Sep, Okt und Dez zw. nach ergänzten Daten ermittelt
   01.01.2017    31.12.2017;OWF-Q/im Jul, Aug zeitweise nach ergänzten Daten ermittelt
   01.01.2018              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2018              ;OWF-Q/Q aus Hainburg an der Donau
   01.01.2018    31.12.2018;OWF-Q/im Apr, Mai, Jun, Jul und Sep zeitweise nach ergänzten Daten ermittelt
   01.01.2018    31.12.2018;OWF-Q/Geschiebetransportberechnung mittels Durchfluss-Geschiebetransport-Beziehung
   01.01.2019              ;OWF-Q/Geschiebedaten nach Erhebungen des Institutes für Wasserbau, Hydraulik und Fließgewässerforschung (IWA) BOKU
   01.01.2019              ;OWF-Q/Geschiebetransportberechnung mittels Durchfluß-Geschiebetransport-Beziehung
   01.01.2021    31.12.2021;OWF-Q/Im Mrz,Aug nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/im Aug, Okt Nov und Dez zeitweise nach ergänzten Daten ermittelt | am 20./21. Jul Spitze durch Hochwasser

