Messstelle:                ;Kühtai
HZB-Nummer:                ;202093
HD-Nummer:                 ;
DBMS-Nummer:               ;7001100
Gewässer:                  ;Längentalbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;9,2

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1981              ;1902,00
   19.10.1982              ;1902,36

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1981              ;200842,00 - 229951,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1981              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1981              ;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   01.01.1986              ;2111006410-6/OWF-W/Pneumatic (direkt)-Fernübertragung (DFÜ)
   01.01.1981              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-Q/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Okt nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz,Apr,Nov,Dez durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Apr,Mai,Jun,Jul,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2012    31.12.2012;OWF-W/im Jän NW und HW durch Lawine beeinflusst
   01.01.2012    31.12.2012;OWF-Q/im Jän NQ und HQ durch Lawine beeinflusst
   01.01.2017    31.12.2017;OWF-W/im Mrz NW durch Lawine beeinflusst
   01.01.2017    31.12.2017;OWF-Q/im Mrz NQ durch Lawine beeinflusst
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mai,Jun,Sep nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-W/am 31. Jän NW und HW durch Lawine beeinflusst
   01.01.2020    31.12.2020;OWF-Q/am 31. Jän NQ und HQ durch Lawine beeinflusst
   01.01.2021    31.12.2021;OWF-W/ab 9. Dez Bauarbeiten für den Speicher Finstertal

