Messstelle:                ;Bregenz (Seepegel)
HZB-Nummer:                ;200337
HD-Nummer:                 ;
DBMS-Nummer:               ;8001033
Gewässer:                  ;Bodensee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;10907

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;394,28
   01.01.1978              ;394,27
   01.01.1980              ;394,26
   01.01.1981              ;394,25
   01.01.1983              ;394,37
   01.01.1985              ;394,36
   01.01.1987              ;394,37
   01.01.1994              ;394,36
   01.01.1996              ;394,35
   01.01.1998              ;394,37
   01.01.1999              ;394,36
   01.01.2000              ;392,14
   01.01.2004              ;392,13
   01.01.2007              ;392,14
   01.01.2017              ;392,12
   13.12.2018              ;392,14
   01.01.2023              ;392,13

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1855              ;105900,00 - 263179,00
   28.04.1994              ;105916,00 - 263207,00
   06.10.2009              ;105884,00 - 263409,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1855              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1855    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.1995              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.08.1895              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1995              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   01.01.1979    01.01.1998;2161004310-2/OWF-WT/Thermoelement-Schreibstreifen manuell
   01.01.1998              ;2161004310-3/OWF-WT/Thermoelement-digitalisiert

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1999    31.12.1999;OWF-WT/Im Jän,Mrz,Apr,Mai,Jun,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jul,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-WT/Im Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-WT/Im Mrz,Apr,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-W/Seefläche gesamt 536 km²
   01.01.2017              ;OWF-W/Seefläche Obersee 473 km²
   01.01.2017              ;OWF-WT/Seefläche gesamt 536 km²
   01.01.2017              ;OWF-WT/Seefläche Obersee 473 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

