Messstelle:                ;Feldbach
HZB-Nummer:                ;210989
HD-Nummer:                 ;ow4240
DBMS-Nummer:               ;6001049
Gewässer:                  ;Raab
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;689,4

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;275,45
   27.09.2013              ;276,22

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1930              ;716142,50 - 202085,90
   01.01.2018              ;715893,50 - 201879,40

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1920              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1931    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    14.05.1998;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   14.05.1998              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1991              ;2111006440-6/OWF-W/Pneumatic (Winkelcod.)-Fernübertragung (DFÜ)
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1962              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   22.12.1997              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   01.01.1991    22.12.1997;2161003320-6/OWF-WT/Hleiter-Fernübertragung (DFÜ)

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/Extremwerte beeinflusst
   01.01.1996              ;OWF-Q/Extremwerte beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-W/am 25. September Einbau einer Sohlschwelle und Buhne
   01.01.1997    31.12.1997;OWF-Q/am 25. September Einbau einer Sohlschwelle und Buhne
   01.01.1998    31.12.1998;OWF-WT/Im Feb,Mrz,Apr,Mai,Jun,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.1999              ;OWF-W/durch Wasserentnahme (Bewässerung) beeinflusst
   01.01.1999              ;OWF-Q/durch Wasserentnahme (Bewässerung) beeinflusst
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
