Messstelle:                ;Dandelmühle
HZB-Nummer:                ;205872
HD-Nummer:                 ;8670
DBMS-Nummer:               ;4001130
Gewässer:                  ;Paltenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;43

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1978              ;400,00
   01.01.1984              ;398,98
   06.10.1992              ;398,72

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1978              ;515310,00 - 303455,00
   01.01.2020              ;515296,18 - 303456,56

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1978              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1978    17.02.2022;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.2011    17.02.2022;2111002240-3/OWF-W/Schwimmer (Winkelcod.)-digitalisiert
   01.01.2011              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   13.03.2003    17.02.2022;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   17.02.2022              ;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   17.02.2022              ;2111009300-8/OWF-W/Radarsonde-DFÜ -> Datensammler
   01.01.1978              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Mai,Jun,Aug nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Jän,Mai,Jun,Aug nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2006    31.12.2006;OWF-Q/Im Apr,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Mai,Jun,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt

