Messstelle:                ;Vent (oberh. Niedertalbach)
HZB-Nummer:                ;201350
HD-Nummer:                 ;
DBMS-Nummer:               ;7001033
Gew‰sser:                  ;Rofenache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km≤]: ;98,1

Pegelnullpunkt:
  g¸ltig seit:             ;Hˆhe [m ¸.A.]:
   01.08.1963              ;1905,00
   01.01.1981              ;1890,49
   09.06.1999              ;1891,01

Bundesmeldenetz(BMN)-Koordinaten:
  g¸ltig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1963              ;194069,00 - 191045,00

Messgrˆﬂen/Messart:
  g¸ltig seit:  g¸ltig bis:;MessCode/Parameter/Messart:
   01.01.1936              ;2111001110-1/OWF-W/Pegellatte-h‰ndische Messung
   01.01.1936    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   09.06.1999    13.11.2001;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DF‹
   12.08.2003              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DF‹
   01.01.1976              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.1936              ;2111009000-1/OWF-W/unbestimmt-h‰ndische Messung
   01.01.1936              ;2111009000-3/OWF-W/unbestimmt-digitalisiert
   07.11.2000              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DF‹
   01.01.1967              ;2141004810-1/OWF-Q/Pegelschl¸ssel-h‰ndische Messung
   09.06.1999              ;2161001110-1/OWF-WT/Fl (normal)-h‰ndische Messung
   09.06.1999              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DF‹
   01.04.2005              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-h‰ndische Messung
   28.08.2018              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-h‰ndische Messung
   29.08.2018              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-h‰ndische Messung
   01.04.2005              ;2281004610-9/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler -> DF‹
   06.05.2014              ;2281004610-9/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler -> DF‹
   01.06.1999              ;2381002210-1/OWF-FS/Geschiebe (M.-Waage)-h‰ndische Messung
   01.06.1999              ;2381003510-4/OWF-FS/Geschiebe (Akust.)-Datensammler

Anmerkungen:
  g¸ltig seit:  g¸ltig bis:;Parameter/Fuﬂnote:
   01.01.1996    31.12.2003;OWF-W/durch Kolkverlandungen und Fliesswechsel beeinflusst
   01.01.1996    31.12.2003;OWF-Q/durch Kolkverlandungen und Fliesswechsel beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im J‰n,Feb,Apr,Aug,Okt,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im J‰n,Apr,Mai,Jun,Jul nach erg‰nzten Wasserst‰nden ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im J‰n,Feb,Mai,Jun,Aug,Sep nach erg‰nzten Wasserst‰nden ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im J‰n,Feb,Mrz,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jun,Sep,Okt,Nov,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Apr,Aug,Sep,Okt,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Apr,Aug,Sep,Okt,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im J‰n,Apr,Mai,Jun,Jul nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im J‰n,Apr,Mai,Jun,Jul nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im J‰n,Feb,Apr,Mai,Jun,Aug,Sep,Dez nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im J‰n,Feb,Mrz,Apr,Mai,Jun,Aug,Okt,Nov nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2001    31.12.2001;OWF-WT/Im Feb,Mrz,Apr,Jun,Jul,Aug nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Feb,Mrz,Apr,Jun,Jul,Aug nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2002    31.12.2002;OWF-WT/Im Feb,Mrz,Apr,Jun,Jul,Aug nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Feb,Mrz,Apr,Jun,Jul,Aug nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im J‰n,Feb,Mrz,Jul nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im J‰n,Feb,Mrz,Apr,Mai,Jun,Aug,Okt,Nov nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Jul,Aug,Sep,Okt,Nov nach erg‰nzten Wasserst‰nden ermittelt
   01.01.2004    31.12.2004;OWF-W/im Mai NW durch Lawine beeinflusst
   01.01.2004    31.12.2004;OWF-Q/im Mai NQ durch Lawine beeinflusst
   01.01.2005    31.12.2005;OWF-Q/Im Mai nach erg‰nzten Wasserst‰nden ermittelt
