Messstelle:                ;Wattens
HZB-Nummer:                ;201657
HD-Nummer:                 ;
DBMS-Nummer:               ;7001059
Gewässer:                  ;Wattenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;73,9

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1929              ;550,50
   01.01.1972              ;551,58
   01.01.1978              ;550,86

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1929              ;245129,47 - 240334,04
   01.01.1978              ;245119,02 - 240453,90

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1929              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1972    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    31.08.2016;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   18.11.1997    31.08.2016;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.01.1972              ;2111009000-1/OWF-W/unbestimmt-händische Messung
   02.04.2012              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   21.09.2016              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   01.01.1973              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1996              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.1996;OWF-W/im Jahrbuch nicht veröffentlicht
   01.01.1996    31.12.1996;OWF-Q/im Jahrbuch nicht veröffentlicht
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Mai,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Jän,Mrz,Apr,Mai,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Feb,Mrz,Jul nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Feb,Mrz,Jul nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Feb,Mrz,Jul nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Feb,Mrz,Apr,Mai,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Feb,Mrz,Apr,Mai,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Mrz,Apr,Mai,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Mrz,Apr,Mai,Aug,Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Apr,Mai,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Apr,Mai,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Apr,Mai,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2020    31.12.2020;OWF-Q/Im Okt nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Sep,Okt nach ergänzten Wasserständen ermittelt

