Messstelle:                ;Plosdorf
HZB-Nummer:                ;215541
HD-Nummer:                 ;no301
DBMS-Nummer:               ;3003186
Gewässer:                  ;Michelbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;98

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   19.10.2016              ;238,45

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   19.10.2016              ;707385,00 - 338540,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   19.10.2016              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   19.10.2016              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   19.10.2016              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   19.10.2016              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   19.10.2016              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2016    31.12.2016;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-W/Beobachtungsbeginn 19. Okt | ab 19. Okt Datensammler
   01.01.2016    31.12.2016;OWF-Q/Beobachtungsbeginn 19. Okt
   01.01.2016    31.12.2016;OWF-WT/Beobachtungsbeginn 19. Okt | ab 19. Okt Datensammler
   01.01.2017    31.12.2017;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-W/Umbau der Sohlschwelle 16. bis 18. Aug
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt

