Messstelle:                ;Kaiserwerk
HZB-Nummer:                ;201897
HD-Nummer:                 ;
DBMS-Nummer:               ;7001082
Gewässer:                  ;Weißache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;94

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   24.07.1946              ;570,00
   01.01.1982              ;556,01
   15.04.2010              ;555,98
   15.03.2021              ;554,97

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1946              ;363065,00 - 267717,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   24.07.1946              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   25.06.1956    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    07.10.2003;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   23.01.1997    03.04.2012;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.01.1957              ;2111009000-1/OWF-W/unbestimmt-händische Messung
   03.04.2012              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   01.01.1982              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1977              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   23.01.1997    01.01.1998;2161003320-5/OWF-WT/Hleiter-manuelle Eing. v. DS-Werten
   01.01.1998              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996    31.12.1996;OWF-Q/Im Dez durch Eis beeinflusst
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2003    31.12.2003;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2005    31.12.2005;OWF-WT/Im Jän,Dez durch Eis beeinflusst
   01.01.2006              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.2006              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2006    31.12.2006;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Mrz,Apr,Sep nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Mrz,Apr,Sep nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Jän,Feb,Apr,Aug,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Apr,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Feb,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Feb,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-W/im Jän NW durch Schneebrett beeinflusst
   01.01.2018    31.12.2018;OWF-Q/im Jän NQ durch Schneebrett beeinflusst
   01.01.2019    31.12.2019;OWF-Q/Im Feb,Mrz,Apr,Mai,Nov nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Mrz,Apr,Mai,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Mrz,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-W/am 15. Mrz PNP im 100 cm gesenkt | am 25. Feb und am 17. Mrz Rückstau durch Lawine
   01.01.2021    31.12.2021;OWF-Q/am 25. Feb und am 17. Mrz Rückstau durch Lawine

