Messstelle:                ;Bad Schallerbach
HZB-Nummer:                ;205021
HD-Nummer:                 ;3690
DBMS-Nummer:               ;4001051
Gewässer:                  ;Trattnach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;184

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1935              ;301,19
   01.01.2003              ;300,62

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1935              ;493510,00 - 343515,00
   03.03.2020              ;493661,26 - 343298,17
   31.03.2020              ;493661,26 - 343298,17

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1935              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1972    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    01.01.2003;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   13.08.2013              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.01.2003    28.11.2023;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   02.01.2003    28.11.2023;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   28.11.2023              ;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   01.01.2003    28.11.2023;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   13.08.2013    28.11.2023;2111009300-8/OWF-W/Radarsonde-DFÜ -> Datensammler
   01.01.1976              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.2016              ;2161003310-1/OWF-WT/Metal-händische Messung
   01.05.2003    28.11.2023;2161003310-4/OWF-WT/Metal-Datensammler
   28.11.2023              ;2161003310-8/OWF-WT/Metal-DFÜ -> Datensammler
   28.11.2023              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Mrz,Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Mrz,Apr,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
