Messstelle:                ;Spittal-Fasan
HZB-Nummer:                ;212530
HD-Nummer:                 ;00240
DBMS-Nummer:               ;2001020
Gewässer:                  ;Lieser
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1035,5

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1877              ;557,05
   01.01.1904              ;567,12
   16.02.1905              ;572,84
   19.03.1959              ;557,22
   03.04.1967              ;557,22
   14.06.1972              ;556,18
   01.01.1976              ;556,19
   13.12.1995              ;556,19
   02.06.2003              ;556,21

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1925              ;462380,70 - 185363,14
   30.05.2005              ;462380,30 - 185362,24
   04.08.2015              ;462487,70 - 185453,00
   01.01.2018              ;462491,66 - 185381,12

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.07.1877              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1925    01.01.1965;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1965              ;2111006410-3/OWF-W/Pneumatic (direkt)-digitalisiert
   01.01.1975              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.2004              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1925              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1950              ;2161004310-3/OWF-WT/Thermoelement-digitalisiert
   01.01.2004              ;2161004310-9/OWF-WT/Thermoelement-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz,Apr,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mai,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Mai,Jun,Jul,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jän,Feb,Mai,Jun,Jul,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
