Messstelle:                ;Keutschach-See
HZB-Nummer:                ;213488
HD-Nummer:                 ;00924
DBMS-Nummer:               ;2002201
Gewässer:                  ;Keutschacher See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;29,8

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   13.09.1984              ;505,88
   10.06.1994              ;505,84
   02.02.2010              ;504,74
   29.11.2019              ;504,64

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   22.03.2001              ;00000,00 - 00000,00
   01.01.2005              ;513853,36 - 161635,65
   01.01.2019              ;514028,00 - 161345,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1993              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1995    01.01.2008;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.08.2008              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.1993              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1995    01.01.2008;2161004310-4/OWF-WT/Thermoelement-Datensammler
   01.08.2008              ;2161004310-9/OWF-WT/Thermoelement-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2000    31.12.2000;OWF-WT/Im Mrz,Apr nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-WT/Im Mrz,Apr nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-WT/Im Mrz,Apr nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im Mrz,Apr nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-W/Seefläche 1,3 km²
   01.01.2017              ;OWF-WT/Seefläche 1,3 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

