Messstelle:                ;Platz-Loch
HZB-Nummer:                ;202119
HD-Nummer:                 ;
DBMS-Nummer:               ;7001102
Gewässer:                  ;Fagge
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;191,5

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1982              ;1220,00
   01.01.1986              ;1220,96

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1982              ;181640,00 - 213200,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1983              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1983              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   07.10.1992              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1983              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1986              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1986    01.01.1998;2161004310-2/OWF-WT/Thermoelement-Schreibstreifen manuell
   01.01.1998              ;2161004310-3/OWF-WT/Thermoelement-digitalisiert

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-W/durch Kraftwerksrückgabe beeinflusst
   01.01.1996              ;OWF-Q/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/durch Kraftwerksrückgabe beeinflusst
   01.01.1996              ;OWF-WT/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996    31.12.1996;OWF-Q/im Jahrbuch nicht veröffentlicht
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Apr,Mai,Jun,Jul,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-W/im Jan Maximum und Minimum durch Lawine beeinflusst  | am 22. Apr durch Lawine beeinflusst   | 
   01.01.2000    31.12.2000;OWF-Q/im Jan Maximum und Minimum durch Lawine beeinflusst  | am 22. Apr durch Lawine beeinflusst 
   01.01.2002    31.12.2002;OWF-WT/Im Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-W/im Feb NW und HW durch Lawine beeinflusst
   01.01.2009    31.12.2009;OWF-Q/im Feb NQ und HQ durch Lawine beeinflusst
   01.01.2013              ;OWF-W/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.2014    31.12.2014;OWF-WT/Im Jän,Mrz,Apr,Mai,Jun,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Mrz,Apr,Mai,Jun,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-W/von 2.Sep bis 20.Nov W rekonstruiert aufgrund Holzarbeiten

