Messstelle:                ;Au
HZB-Nummer:                ;200253
HD-Nummer:                 ;
DBMS-Nummer:               ;8001025
Gewässer:                  ;Bregenzerach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;147,07

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;772,90
   01.01.1989              ;772,92
   01.01.2000              ;772,92
   01.01.2006              ;773,66

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1928              ;122715,54 - 243448,47
   01.01.2006              ;122815,71 - 243266,46

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1928              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1928    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   28.02.2006              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   15.04.2010              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.1976              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Feb,Mrz,Dez durch Eis beeinflusst
   01.01.1999    31.12.1999;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-W/vom 16. bis 27. Okt Sohlrampe erneuert
   01.01.2000    31.12.2000;OWF-Q/vom 16. bis 27. Okt Sohlrampe erneuert
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Feb,Mai,Jun,Jul,Aug,Sep,Nov nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Feb,Mai,Jun,Jul,Aug,Sep,Nov nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Jän,Feb,Mai,Jun,Jul,Aug,Sep,Nov nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Feb,Mai,Jun,Jul,Aug,Sep,Nov nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb,Mai,Jun,Jul,Aug,Sep,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-W/am 19. Nov Bauarbeiten im Gerinne
   01.01.2008    31.12.2008;OWF-Q/am 19. Nov Bauarbeiten im Gerinne
   01.01.2009    31.12.2009;OWF-Q/Im Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
