Messstelle:                ;Koflerkreuz
HZB-Nummer:                ;202077
HD-Nummer:                 ;
DBMS-Nummer:               ;7001098
Gewässer:                  ;Zirmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;64,4

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1978              ;1370,00
   03.05.1983              ;1383,55

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1973              ;210448,31 - 229472,79

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.06.1978              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1988              ;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   01.06.1978              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.06.1978              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-Q/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996    31.12.2009;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Mrz,Apr,Mai,Jun,Jul,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Mrz,Mai,Jun,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-W/NW und HW im Februar durch Lawine beeinflußt
   01.01.2001    31.12.2001;OWF-Q/NQ und HQ im Februar durch Lawine beeinflußt
   01.01.2002    31.12.2002;OWF-W/am 10. Okt Kolkräumung
   01.01.2003    31.12.2003;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Mai,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2009    31.12.2009;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-W/im Mrz NW und HW durch Lawine beeinflusst
   01.01.2009    31.12.2009;OWF-Q/im Mrz NQ und HQ durch Lawine beeinflusst | am 19. Nov Kolkräumung
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2010    31.12.2010;OWF-W/im Mrz NW und HW durch Lawine beeinflusst | am 6. Okt Kolkräumung
   01.01.2010    31.12.2010;OWF-Q/im Mrz NQ und HQ durch Lawine beeinflusst
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-W/am 18. Nov Kolkräumung
   01.01.2012    31.12.2012;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-W/am 14. Nov Kolkräumung
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-W/am 4. Nov Profilräumung
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-W/am 3. Nov Profilräumung
   01.01.2015    31.12.2015;OWF-W/am 28. Okt Profilräumung
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-W/am 15. Nov Kolkräumung
   01.01.2017    31.12.2017;OWF-W/vom 10. bis 24. Nov Wasserfassung geschlossen
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-W/im Jän NW durch Lawine beeinflusst
   01.01.2019    31.12.2019;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-W/im Feb NW durch Lawine beeinflusst | am 5. Dez Profilräumung
   01.01.2021    31.12.2021;OWF-W/im Jän NW und HW durch Lawinenrückstau beeinflusst
   01.01.2021    31.12.2021;OWF-Q/im Jän NW und HW durch Lawinenrückstau beeinflusst

