Messstelle:                ;Koblmühle
HZB-Nummer:                ;206771
HD-Nummer:                 ;3130
DBMS-Nummer:               ;4001218
Gewässer:                  ;Kleine Mühl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;43,7

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1988              ;482,00

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1986              ;494370,00 - 381900,00
   27.03.2020              ;494359,60 - 381870,22

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.06.1988              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.06.1988    14.03.2006;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   16.09.2019              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   16.09.2019              ;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   14.03.2006    16.09.2019;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   14.03.2006    16.09.2019;2111006440-4/OWF-W/Pneumatic (Winkelcod.)-Datensammler
   16.09.2019              ;2111009300-8/OWF-W/Radarsonde-DFÜ -> Datensammler
   01.01.1988              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1989              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.07.2007    16.09.2019;2161003320-4/OWF-WT/Hleiter-Datensammler
   16.09.2019              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-WT/Im Jän durch Eis beeinflusst
