Messstelle:                ;Garsella
HZB-Nummer:                ;200105
HD-Nummer:                 ;
DBMS-Nummer:               ;8001010
Gewässer:                  ;Lutz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;95,66

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;729,49
   01.12.2000              ;729,19
   25.04.2013              ;729,17
   13.04.2014              ;730,09

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1963              ;115377,00 - 232085,00
   13.04.2014              ;115380,00 - 232079,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.09.1963              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.09.1963    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   22.03.2012              ;2111006440-9/OWF-W/Pneumatic (Winkelcod.)-Datensammler -> DFÜ
   20.10.2007              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   01.01.1964              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
