Messstelle:                ;Spital am Pyhrn
HZB-Nummer:                ;205807
HD-Nummer:                 ;8350
DBMS-Nummer:               ;4001123
Gewässer:                  ;Teichl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;40,2

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1961              ;626,58
   01.07.1984              ;626,65
   14.08.2014              ;625,50

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1961              ;525200,00 - 281585,00
   27.07.2011              ;525190,00 - 281580,00
   01.01.2018              ;525189,58 - 281571,85

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1929              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1971    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    15.11.2018;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   15.01.2001    15.11.2018;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.01.2011    15.11.2018;2111005310-3/OWF-W/Drucksonde (direkt)-digitalisiert
   01.12.2013    15.11.2018;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   08.11.2018              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.01.2011    15.11.2018;2111006410-4/OWF-W/Pneumatic (direkt)-Datensammler
   01.01.2010              ;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   01.01.1966              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   08.11.2018              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler
   08.11.2018              ;2161003323-1/OWF-WT/Hleiter (mobil)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1999;OWF-W/ausgewertet nach Erhebungen der EKW u. d. HD Oberösterreich
   01.01.1996    31.12.1999;OWF-Q/ausgewertet nach Erhebungen der EKW u. d. HD Oberösterreich
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Apr,Jul,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Aug,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Mrz,Jul,Sep nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-W/am 1. Jul von den EKW an den HD Oberösterreich übertragen
   01.01.1999    31.12.1999;OWF-Q/am 1. Jul von den EKW an den HD Oberösterreich übertragen
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2003    31.12.2003;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Mai,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Aug,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Aug,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Aug,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Aug,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-W/am 25. Sep und 13. Okt Baggerarbeiten
   01.01.2009    31.12.2009;OWF-Q/am 25. Sep und 13. Okt Baggerarbeiten
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-W/ab 5. Mai Bauarbeiten | am 14. Aug PNP um 115 cm gesenkt
   01.01.2014    31.12.2014;OWF-Q/ab 5. Mai Bauarbeiten
   01.01.2015    31.12.2015;OWF-W/bis 15. Aug Bauarbeiten
   01.01.2015    31.12.2015;OWF-Q/bis 15. Aug Bauarbeiten
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Mai,Jun,Jul,Aug,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Aug nach ergänzten Wasserständen ermittelt

