Messstelle:                ;Kirchbichl-Bichlwang
HZB-Nummer:                ;201889
HD-Nummer:                 ;
DBMS-Nummer:               ;7001081
Gewässer:                  ;Inn
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;9310

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1952              ;484,78
   01.01.1988              ;484,68
   01.01.1994              ;484,00

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;356669,19 - 265637,28

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1895    01.01.1999;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1951    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    01.01.1999;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.01.1951    01.01.1999;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1999              ;2141005810-8/OWF-Q/KW (Turbine)-DFÜ -> Datensammler
   01.01.1979    01.07.1997;2161001110-1/OWF-WT/Fl (normal)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1996              ;OWF-Q/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.1996              ;OWF-WT/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-WT/HHT 15,0 Grad C am 5.Aug 1958 aus Beob.Zeitr.Jän 1954-Dez 1962
   01.01.1997              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1997    31.12.1998;OWF-Q/Abflusswerte durch Summenbildung ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.1999              ;OWF-Q/Abfluss: Turbinendurchfluss + Überwasser in der Innschleife
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

