Messstelle:                ;Oetz-Badeanstalt (Seepegel)
HZB-Nummer:                ;202358
HD-Nummer:                 ;
DBMS-Nummer:               ;7001171
Gewässer:                  ;Piburger See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1,3

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   27.11.1991              ;912,22
   16.04.2009              ;912,23

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   27.11.1991              ;192449,00 - 228497,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   27.11.1991              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   04.11.1992              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   17.03.2010              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   17.03.2010              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1997              ;OWF-W/Seefläche 0,138 km²
   01.01.1997              ;OWF-W/Extremwerte durch Wellengang beeinflusst
   01.01.2010    31.12.2010;OWF-WT/Im Feb,Apr,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Feb,Apr,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-WT/Seefläche 0,138 km²

