Messstelle:                ;See
HZB-Nummer:                ;201236
HD-Nummer:                 ;
DBMS-Nummer:               ;7001021
Gewässer:                  ;Trisanna
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Vorarlberger Illwerke-AG.
orogr.Einzugsgebiet [km²]: ;385,4

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.10.1949              ;1018,81
   01.01.1972              ;1017,00

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1972              ;160584,39 - 216717,77

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.10.1949              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1951              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   01.09.1994              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.01.1972              ;2111009000-1/OWF-W/unbestimmt-händische Messung
   01.10.1949              ;2141004810-3/OWF-Q/Pegelschlüssel-digitalisiert

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/ausgewertet nach Erhebungen der Vorarlberger Illwerke-AG
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/ausgewertet nach Erhebungen der Vorarlberger Illwerke-AG
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2006    31.12.2006;OWF-Q/Im Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2019    31.12.2019;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-W/im Mrz NW und HW durch Lawine beeinflusst
   01.01.2019    31.12.2019;OWF-Q/im Mrz NQ und HQ durch Lawine beeinflusst

