Messstelle:                ;Obergäu
HZB-Nummer:                ;203307
HD-Nummer:                 ;
DBMS-Nummer:               ;5001026
Gewässer:                  ;Lammer
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;394,5

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;470,77

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1895              ;438670,00 - 271685,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1895              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1931    01.01.1981;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.2000              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   02.07.2020              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1981              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.2007              ;2111006440-4/OWF-W/Pneumatic (Winkelcod.)-Datensammler
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.03.1975              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.2000              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   02.07.2020              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/Niederwasserextremwerte beeinflusst
   01.01.1996              ;OWF-Q/Niederwasserextremwerte beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Mrz,Aug,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Mai,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-WT/Im Feb,Jul,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-WT/Im Feb,Mrz,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-WT/Im Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-WT/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2006    31.12.2006;OWF-WT/Im Jän,Feb durch Eis beeinflusst
   01.01.2007    31.12.2007;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2007    31.12.2007;OWF-WT/Im Jän,Feb durch Eis beeinflusst
   01.01.2008    31.12.2008;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.2009    31.12.2009;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2009    31.12.2009;OWF-WT/Im Feb,Mrz,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
