Messstelle:                ;Deutsch-Jahrndorf (Albrechtmühle)
HZB-Nummer:                ;210450
HD-Nummer:                 ;
DBMS-Nummer:               ;1001042
Gewässer:                  ;Kleine Leitha
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;0

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1990              ;131,37
   24.03.2015              ;131,38

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1990              ;805100,00 - 318650,00
   05.10.2018              ;805097,19 - 318681,82

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1990              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   25.09.2014              ;2111009300-9/OWF-W/Radarsonde-Datensammler -> DFÜ
   01.01.1990              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/Leitha dotiert steuerbar Kleine Leitha
   01.01.1996              ;OWF-Q/Leitha dotiert steuerbar Kleine Leitha
   01.01.1996    31.12.1996;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Jun,Jul,Dez nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-W/am 3. Mrz Schleuse Pama um 2 Zähne geöffnet  | am 18. Mai Schleuse Pama um 2 Zähne geschlossen  | am 8. Jul Schleuse Pama um 2 Zähne geschlossen  | am 16. Aug Schleuse Pama um 2 Zähne geöffnet  | am 20. Dez Schleuse Pama um 5 Zähne geöffnet
   01.01.1997    31.12.1997;OWF-Q/am 3. Mrz Schleuse Pama um 2 Zähne geöffnet  | am 18. Mai Schleuse Pama um 2 Zähne geschlossen  | am 8. Jul Schleuse Pama um 2 Zähne geschlossen  | am 16. Aug Schleuse Pama um 2 Zähne geöffnet  | am 20. Dez Schleuse Pama um 5 Zähne geöffnet
   01.01.1998    31.12.1998;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-W/im Apr, Mai Absenkungen wegen Aushubarbeiten
   01.01.1998    31.12.1998;OWF-Q/im Apr, Mai Absenkungen wegen Aushubarbeiten
   01.01.1999    31.12.1999;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1999    31.12.1999;OWF-Q/Im Jän nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-W/vom 29. Jan bis 4. Feb Eisstau oberhalb des Pegelprofils
   01.01.1999    31.12.1999;OWF-Q/vom 29. Jan bis 4. Feb Eisstau oberhalb des Pegelprofils
   01.01.2000    31.12.2000;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-Q/Im Jän,Feb,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2001    31.12.2001;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Feb,Mrz,Jun nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
