Messstelle:                ;Lahn
HZB-Nummer:                ;205112
HD-Nummer:                 ;4130
DBMS-Nummer:               ;4001059
Gewässer:                  ;Hallstätter See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;614,4

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;507,48

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1900              ;473998,00 - 268260,00
   01.01.2020              ;473995,00 - 268272,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1900              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.10.2004              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.07.1901              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.10.2004              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/Seefläche 8,4 km²
   01.01.2000    31.12.2000;OWF-WT/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-W/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2004    31.12.2004;OWF-WT/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-W/ab 1. Okt Datensammler
   01.01.2004    31.12.2004;OWF-WT/ab 1. Okt Datensammler
   01.01.2009    31.12.2009;OWF-WT/Im Jän,Aug,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jun,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Jun,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Feb,Mrz,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Feb,Mrz,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Feb,Mrz,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-WT/Seefläche 8,4 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

