Messstelle:                ;Gösselsdorf-See
HZB-Nummer:                ;213579
HD-Nummer:                 ;01589
DBMS-Nummer:               ;2002235
Gewässer:                  ;Gösselsdorfer See
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;29,84

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1998              ;466,65
   27.06.2013              ;466,66

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1998              ;548767,00 - 160165,00
   27.06.2013              ;548680,00 - 159295,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1996    02.08.2007;2111001110-1/OWF-W/Pegellatte-händische Messung
   27.06.2013              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1996              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.05.2013              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.05.2013              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.05.2013              ;2161004310-9/OWF-WT/Thermoelement-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2014    31.12.2014;OWF-WT/Im Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-W/Seefläche 0,32 km²

