Messstelle:                ;Fulpmes
HZB-Nummer:                ;230714
HD-Nummer:                 ;
DBMS-Nummer:               ;7001164
Gewässer:                  ;Ruetz
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Österreichische Bundesbahnen
orogr.Einzugsgebiet [km²]: ;280,9

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   03.05.1979              ;896,00
   16.03.1983              ;896,07

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   03.05.1979              ;227660,18 - 224479,09

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   06.11.1974              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   06.11.1974    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976    03.05.1979;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   03.05.1979              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   06.11.1974              ;2111009100-4/OWF-W/unbestimmt registriert-Datensammler
   01.01.1975              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996    31.12.1996;OWF-Q/im Jahrbuch nicht veröffentlicht
   01.01.2000    31.12.2000;OWF-W/
   01.01.2013    31.12.2013;OWF-Q/Im Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-W/vom 13. bis 27. Feb Sohlschwellensanierung
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-W/vom 11. bis 23. Aug Schotterauflandung | am 14. Dez Baggerarbeiten
   01.01.2017    31.12.2017;OWF-W/nach Augusthochwasser massive Auflandung durch Schotterablagerungen im Pegelprofil
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2021    31.12.2021;OWF-W/am 8. Nov Kolkräumung

