Messstelle:                ;Engelhartstetten
HZB-Nummer:                ;209262
HD-Nummer:                 ;no600
DBMS-Nummer:               ;3001143
Gewässer:                  ;Rußbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;497,8

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1979              ;139,00
   01.01.1981              ;138,32

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;791904,00 - 338987,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1979              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   14.09.2000              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   05.07.2018    05.07.2018;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1979    03.12.2004;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.1979              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   14.09.2000    16.09.2013;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   14.09.2000    05.07.2018;2161003320-4/OWF-WT/Hleiter-Datensammler
   05.07.2018              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   16.09.2013              ;2161003323-1/OWF-WT/Hleiter (mobil)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.2008;OWF-W/durch Marchfeldkanal beeinflusst
   01.01.1996    31.12.2008;OWF-Q/durch Marchfeldkanal beeinflusst
   01.01.1996    31.12.2400;OWF-Q/Okt bis Dez durch Zuckerrübenkampagne beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.1996    31.12.1996;OWF-Q/Im Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.2008;OWF-W/Okt bis Dez durch Zuckerrübenkampagne beeinflusst
   01.01.1997    31.12.1997;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-W/vom 7. bis 10. und vom 20. bis 23. Jul Rückstau durch Donau HW
   01.01.1997    31.12.1997;OWF-Q/vom 7. bis 10. und vom 20. bis 23. Jul Rückstau durch Donau HW
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Mrz,Apr,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-Q/Im Jän,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Jän,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Beobachtungsbeginn 14. Sep  | ab 14. Sep Datensammler
