Messstelle:                ;Weißbach (Summenpegel)
HZB-Nummer:                ;204362
HD-Nummer:                 ;
DBMS-Nummer:               ;5002467
Gewässer:                  ;Saalach und Weißbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;567,4

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;658,77

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1959              ;406063,00 - 264945,80

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1959              ;2141006810-0/OWF-Q/Summe-keine Aussage

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2021              ;OWF-Q/Summenpegel führt ab 2016 die Reihe der Saalach incl. dem Zubringer Weißbach weiter

