Messstelle:                ;Puig
HZB-Nummer:                ;201574
HD-Nummer:                 ;
DBMS-Nummer:               ;7001054
Gewässer:                  ;Sill
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;341,8

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1947              ;1005,75
   01.01.1977              ;1005,76
   07.12.2001              ;1004,97

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1947              ;235056,72 - 219801,29
   07.12.2001              ;234958,61 - 219951,24

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.06.1947              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1953    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   15.02.2018              ;2111005310-9/OWF-W/Drucksonde (direkt)-Datensammler -> DFÜ
   01.12.1997              ;2111006410-9/OWF-W/Pneumatic (direkt)-Datensammler -> DFÜ
   01.01.1976              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.1953              ;2111009000-1/OWF-W/unbestimmt-händische Messung
   01.01.1951              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.12.1997              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.12.1997              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ
   13.04.2006              ;2281004610-9/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996    31.12.1996;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Feb,Apr,Mai,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1998              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Jun nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Jän,Feb,Jun nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/vom 5. Jul bis 7. Dez Fühler defekt
