Messstelle:                ;Hardegg
HZB-Nummer:                ;209171
HD-Nummer:                 ;no620
DBMS-Nummer:               ;3001134
Gewässer:                  ;Thaya
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;2382,3

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;278,00
   01.01.1977              ;281,13
   01.01.2018              ;281,19

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1924              ;715806,00 - 412829,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1924              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1924    01.01.1976;2111002220-2/OWF-W/Schwimmer (analog)-Schreibstreifen manuell
   01.01.1976              ;2111002220-3/OWF-W/Schwimmer (analog)-digitalisiert
   11.03.2015              ;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   21.07.1998    04.10.2001;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   14.12.2001    11.03.2015;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   05.09.2019              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1977              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   21.07.1998    04.10.2001;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   05.09.2019              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   21.07.1998    04.10.2001;2161003320-4/OWF-WT/Hleiter-Datensammler
   05.09.2019              ;2161003320-4/OWF-WT/Hleiter-Datensammler
   05.09.2019              ;2281004610-4/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/durch Schwellbetrieb des Speichers Frein (CZ) beeinflusst
   01.01.1996              ;OWF-Q/durch Schwellbetrieb des Speichers Frein (CZ) beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän durch Eis beeinflusst
   01.01.1998    31.12.1998;OWF-WT/Im Jän,Feb,Mrz,Jun,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-WT/ab 21. Jul Datensammler
   01.01.1999    31.12.1999;OWF-WT/Im Mai,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2000    31.12.2000;OWF-WT/Im Mai,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Mai,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-WT/im Jän, Apr, Mai, Jun, Jul, Okt, Nov, Dez Datenausfall
   01.01.2002    31.12.2002;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Apr,Mai,Okt nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Apr nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Feb,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Feb,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2016    31.12.2016;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-W/am 1. Jän Pegelnullpunkt um 6cm angehoben
   01.01.2019    31.12.2019;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt

