Messstelle:                ;Hinterbichl (Mühle) (Summenpegel)
HZB-Nummer:                ;212233
HD-Nummer:                 ;
DBMS-Nummer:               ;7004612
Gewässer:                  ;Dorferbach und KW-Einzug
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;35

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1967              ;1335,87
   01.01.1976              ;1334,43
   01.01.1981              ;1334,56
   15.05.2006              ;1335,95

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1930              ;374447,00 - 209372,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1951              ;2141006810-1/OWF-Q/Summe-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2006              ;OWF-Q/ausgewertet nach Erhebungen der Tiroler Wasserkraftwerke-AG
   01.01.2006    31.12.2006;OWF-Q/ab 2. Nov als Summenpegel weitergeführt
   01.01.2007              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers

