Messstelle:                ;Wallsee
HZB-Nummer:                ;207431
HD-Nummer:                 ;
DBMS-Nummer:               ;10001172
Gewässer:                  ;Donau
Sachgebiet:                ;OWF
Dienststelle:              ;via donau (WSD)
Messstellenbetreiber:      ;via donau - Österreichische Wasserstraßen-GmbH
orogr.Einzugsgebiet [km²]: ;91461,3

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1895              ;228,92
   01.11.1939              ;226,92
   01.01.1952              ;227,00
   14.11.2005              ;226,00

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.2007              ;551666,88 - 337363,03
   01.01.2010              ;551666,60 - 337365,50

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   14.11.2005              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   14.11.2005              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   14.11.2005              ;2111005310-6/OWF-W/Drucksonde (direkt)-Fernübertragung (DFÜ)
   01.01.1954              ;2141009000-1/OWF-Q/unbestimmt-händische Messung
   14.11.2005              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   14.11.2005              ;2161004310-4/OWF-WT/Thermoelement-Datensammler
   01.01.1958              ;2281002210-1/OWF-FS/SSchwebstoff (M.-Waage)-händische Messung

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2005    31.12.2005;OWF-W/Beobachtungsbeginn 14. Nov  | ab 14. Nov Datensammler
   01.01.2005    31.12.2005;OWF-Q/Beobachtungsbeginn 14. Nov  | ab 14. Nov Datensammler
   01.01.2005    31.12.2005;OWF-WT/Beobachtungsbeginn 14. Nov  | ab 14. Nov Datensammler
   01.01.2006    31.12.2006;OWF-WT/Im Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-W/bis 2. Feb Datenausfall
   01.01.2006    31.12.2006;OWF-Q/bis 2. Feb Datenausfall
   01.01.2007    31.12.2007;OWF-WT/Im Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-WT/Im Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Sep,Okt,Dez nach ergänzten Wasserständen ermittelt
   01.01.2013              ;OWF-W/seit 1958 im Staubereich des Donau-KW Ybbs-Persenbeug
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Feb,Mrz,Apr,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

