Messstelle:                ;Bad Ischl (Giselabrücke)
HZB-Nummer:                ;205187
HD-Nummer:                 ;4390
DBMS-Nummer:               ;4001066
Gewässer:                  ;Ischl
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;251,8

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;469,98
   01.01.1971              ;468,98
   01.12.1980              ;469,64

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1900              ;471090,00 - 286640,00
   08.07.2009              ;471078,00 - 286670,00
   01.01.2020              ;471085,00 - 286670,00

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1900              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   01.01.1997    31.12.2009;2111002240-4/OWF-W/Schwimmer (Winkelcod.)-Datensammler
   01.01.2010              ;2111005310-8/OWF-W/Drucksonde (direkt)-DFÜ -> Datensammler
   01.01.2013    01.01.2018;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   01.01.2015              ;2111006410-8/OWF-W/Pneumatic (direkt)-DFÜ -> Datensammler
   09.10.1980              ;2111006420-3/OWF-W/Pneumatic (analog)-digitalisiert
   01.01.2014              ;2111009300-8/OWF-W/Radarsonde-DFÜ -> Datensammler
   01.01.1976              ;2141004810-1/OWF-Q/Pegelschlüssel-händische Messung
   01.01.1940              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   01.01.1980    01.01.1998;2161003310-2/OWF-WT/Metal-Schreibstreifen manuell
   01.01.1998    13.08.2001;2161003320-3/OWF-WT/Hleiter-digitalisiert
   13.08.2001              ;2161003320-8/OWF-WT/Hleiter-DFÜ -> Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-W/durch Kraftwerksbetrieb beeinflusst
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.1996    31.12.1996;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-Q/Im Jän,Mrz,Sep,Okt nach ergänzten Wasserständen ermittelt
   01.01.1997    31.12.1997;OWF-WT/Im Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.1998              ;OWF-W/durch Seeschleuse beeinflusst
   01.01.1998              ;OWF-Q/durch Seeschleuse beeinflusst
   01.01.1998    31.12.1998;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Okt nach ergänzten Wasserständen ermittelt
   01.01.1998    31.12.1998;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Dez nach ergänzten Wasserständen ermittelt
   01.01.1999    31.12.1999;OWF-WT/Im Jän,Mrz,Apr,Mai,Jun,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2001    31.12.2001;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2002    31.12.2002;OWF-Q/Im Mrz,Apr,Dez nach ergänzten Wasserständen ermittelt
   01.01.2002    31.12.2002;OWF-W/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2002    31.12.2002;OWF-Q/ab 1. Jan Einzugsgebietsänderung laut neuem Flächenverzeichnis
   01.01.2003    31.12.2003;OWF-Q/Im Mrz,Apr,Dez nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-W/im Jän und im Feb durch Baustelle beeinflusst
   01.01.2003    31.12.2003;OWF-Q/im Jän und im Feb durch Baustelle beeinflusst
   01.01.2004    31.12.2004;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Jän,Feb,Mrz,Jun,Jul,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2009    31.12.2009;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2010    31.12.2010;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Feb,Mrz,Apr,Mai,Jun,Jul nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Aug,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-Q/Im Jän,Aug,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-WT/Im Jul,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2014    31.12.2014;OWF-W/von Aug bis Nov durch Baustelle beeinflusst
   01.01.2014    31.12.2014;OWF-Q/von Aug bis Nov durch Baustelle beeinflusst
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2016    31.12.2016;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Feb,Mai,Jun nach ergänzten Wasserständen ermittelt
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Apr,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt

