Messstelle:                ;Seefeld (Seepegel)
HZB-Nummer:                ;202176
HD-Nummer:                 ;
DBMS-Nummer:               ;7001108
Gewässer:                  ;Wildsee
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;6,9

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;1176,56
   18.09.2008              ;1176,61

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1989              ;214952,00 - 242960,00
   18.09.2008              ;214647,15 - 243307,63

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1976              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   22.09.2008              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   22.09.2008              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   22.09.2008              ;2161003320-4/OWF-WT/Hleiter-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2001              ;OWF-W/Seefläche 0,06 km²
   01.01.2009    31.12.2009;OWF-WT/Seefläche 0,06 km²
   01.01.2010    31.12.2010;OWF-WT/Seefläche 0,06 km²
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep nach ergänzten Wasserständen ermittelt
   01.01.2017              ;OWF-WT/Seefläche 0,06 km²
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers

