Messstelle:                ;Rattenberg
HZB-Nummer:                ;201814
HD-Nummer:                 ;
DBMS-Nummer:               ;7001074
Gewässer:                  ;Inn
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;8508,7

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1844              ;510,44
   29.01.1940              ;509,44
   01.01.1949              ;509,34
   01.01.1982              ;509,60
   01.01.1987              ;509,34
   20.03.1997              ;508,20

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1844              ;341517,00 - 256874,00
   20.03.1997              ;341500,10 - 256872,37

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.01.1844              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   20.03.1997              ;2111005310-4/OWF-W/Drucksonde (direkt)-Datensammler
   01.01.1986              ;2161001110-1/OWF-WT/Fl (normal)-händische Messung
   20.03.1997    01.01.1998;2161003320-5/OWF-WT/Hleiter-manuelle Eing. v. DS-Werten
   01.01.1998              ;2161003320-9/OWF-WT/Hleiter-Datensammler -> DFÜ
   25.01.2007              ;2281002310-1/OWF-FS/Schwebstoff (E-Waage)-händische Messung
   25.01.2007              ;2281004610-9/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler -> DFÜ
   04.06.2014              ;2281004610-9/OWF-FS/Schwebstoff (Opti.-Mess)-Datensammler -> DFÜ

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.1996              ;OWF-W/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.1996              ;OWF-Q/siehe Tabelle Überleitungen u. Speicherungen d. Berichtsjahrs
   01.01.2007    31.12.2007;OWF-WT/Im Jän,Feb,Mrz,Mai,Jun,Jul,Aug nach ergänzten Wasserständen ermittelt
   01.01.2008              ;OWF-Q/durch Kraftwerksbetrieb beeinflusst
   01.01.2008              ;OWF-Q/Q aus Brixlegg
   01.01.2008    31.12.2008;OWF-Q/Im Feb,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Feb,Mrz,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/im Jän, Feb nach ergänzten Daten ermittelt | Ende Mai Schmelzhochwasser
   01.01.2009    31.12.2009;OWF-Q/von Anfang bis Mitte Apr erhöhte Trübung durch Schneeschmelze | im Mai Schmelzhochwasser | vom 9. Nov bis 31. Dez durch Bauarbeiten beeinflusst
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Jul,Nov nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/bis 28. Feb durch Bauarbeiten beeinflusst
   01.01.2011    31.12.2011;OWF-WT/Im Jul,Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/im Dez nach ergänzten Daten ermittelt
   01.01.2013    31.12.2013;OWF-Q/von Jul bis Okt zeitweise nach ergänzten Daten ermittelt
   01.01.2014    31.12.2014;OWF-Q/am 7. Jän Spitze durch Absenkung des Gepatschspeichers | im Dez zeitweise nach ergänzten Daten ermittelt
   01.01.2015    31.12.2015;OWF-WT/Im Jän,Mrz,Apr,Mai nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/im Jän zeitweise nach ergänzten Daten ermittelt
   01.01.2017    31.12.2017;OWF-Q/im Feb zeitweise nach ergänzten Daten ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/am 4. Jul Spitze durch Unwetter im Zillertal
   01.01.2019    31.12.2019;OWF-Q/am  11. und 12. Jun Spitzen durch Hochwasser
   01.01.2021    31.12.2021;OWF-Q/am 17. Aug Spitze infolge starker Niederschläge und Murgänge im Einzugsgebiet

