Messstelle:                ;Wohlmuting
HZB-Nummer:                ;201954
HD-Nummer:                 ;
DBMS-Nummer:               ;7001088
Gewässer:                  ;Großache
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;527,6

Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1941              ;627,35
   01.01.1979              ;627,26
   26.06.1985              ;627,15
   12.09.1997              ;625,02

Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   26.06.1985              ;385425,62 - 271936,35

Messgrößen/Messart:
  gültig seit:  gültig bis:;MessCode/Parameter/Messart:
   01.08.1941              ;2111001110-1/OWF-W/Pegellatte-händische Messung
   12.09.1997              ;2111004410-4/OWF-W/Druckdose-Datensammler

Anmerkungen:
  gültig seit:  gültig bis:;Parameter/Fußnote:
   01.01.2016    31.12.2016;OWF-Q/Im Jän,Feb,Mrz,Apr,Jul,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2019    31.12.2019;OWF-Q/Im Aug,Sep,Okt,Nov nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jun nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Jän,Mai nach ergänzten Wasserständen ermittelt

