Messstelle:                ;Lilienfeld-Marktl
HZB-Nummer:                ;207894
HD-Nummer:                 ;no200
DBMS-Nummer:               ;3001029
Gewässer:                  ;Traisen
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;345,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00371,02
   01.01.1980              ;00370,99
   17.11.2005              ;00356,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;694538,30 - 319631,30
   17.11.2005              ;695714,00 - 321116,00
Exportzeitreihe:           ;(3001029,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1959 12:00,01.01.2022 00:00]
Werte:
31.01.1959 12:00:00;  5,38
27.02.1959 12:00:00;  4,85
31.03.1959 12:00:00;  5,12
07.04.1959 12:00:00;  4,85
31.05.1959 12:00:00;  4,85
08.06.1959 12:00:00;  4,85
15.07.1959 12:00:00;  7,74
31.08.1959 12:00:00;  8,77
29.09.1959 12:00:00;  5,91
31.10.1959 12:00:00;  4,85
02.11.1959 12:00:00;  4,42
07.12.1959 12:00:00;  4,20
25.01.1960 12:00:00;  4,85
14.02.1960 12:00:00;  4,85
31.03.1960 12:00:00;  7,74
21.04.1960 12:00:00;  5,91
20.05.1960 12:00:00;  6,18
25.06.1960 12:00:00;  4,85
07.07.1960 12:00:00;  4,63
31.08.1960 12:00:00;  6,49
20.09.1960 12:00:00;  5,91
31.10.1960 12:00:00;  6,49
27.11.1960 12:00:00;  5,38
27.12.1960 12:00:00;  4,85
03.01.1961 12:00:00;  4,85
08.02.1961 12:00:00;  5,38
26.03.1961 12:00:00;  6,30
18.04.1961 12:00:00;  5,37
31.05.1961 12:00:00;  6,65
30.06.1961 12:00:00;  5,68
28.07.1961 12:00:00;  3,48
29.08.1961 12:00:00;  3,48
30.09.1961 12:00:00;  3,11
29.10.1961 12:00:00;  2,74
02.11.1961 12:00:00;  3,11
10.12.1961 12:00:00;  3,99
21.01.1962 12:00:00;  3,73
03.02.1962 12:00:00;  5,68
26.03.1962 12:00:00;  6,57
14.04.1962 12:00:00;  7,15
13.05.1962 12:00:00;  8,93
30.06.1962 12:00:00;  5,99
31.07.1962 12:00:00;  5,12
26.08.1962 12:00:00;  4,03
21.09.1962 12:00:00;  3,15
25.10.1962 12:00:00;  3,37
30.11.1962 12:00:00;  3,81
28.12.1962 12:00:00;  3,81
31.01.1963 12:00:00;  3,37
10.02.1963 12:00:00;  3,00
06.03.1963 12:00:00;  3,37
30.04.1963 12:00:00;  6,57
31.05.1963 12:00:00;  6,57
16.06.1963 12:00:00;  5,99
31.07.1963 12:00:00;  5,91
16.08.1963 12:00:00;  4,63
26.09.1963 12:00:00;  5,12
31.10.1963 12:00:00;  4,63
13.11.1963 12:00:00;  4,20
31.12.1963 12:00:00;  3,99
31.01.1964 12:00:00;  3,59
01.02.1964 12:00:00;  3,59
09.03.1964 12:00:00;  3,77
21.04.1964 12:00:00;  7,74
18.05.1964 12:00:00;  8,42
30.06.1964 12:00:00;  7,74
31.07.1964 12:00:00;  5,38
31.08.1964 12:00:00;  5,38
30.09.1964 12:00:00;  4,85
07.10.1964 12:00:00;  4,42
12.11.1964 12:00:00;  5,38
31.12.1964 12:00:00;  6,49
09.01.1965 12:00:00;  5,91
28.02.1965 12:00:00;  5,38
01.03.1965 12:00:00;  5,91
16.04.1965 12:00:00;  14,8
30.05.1965 12:00:00;  14,8
30.06.1965 12:00:00;  11,3
23.07.1965 12:00:00;  7,12
19.08.1965 12:00:00;  5,38
30.09.1965 12:00:00;  5,91
25.10.1965 12:00:00;  4,63
20.11.1965 12:00:00;  3,99
09.12.1965 12:00:00;  4,42
27.01.1966 12:00:00;  4,20
22.02.1966 12:00:00;  6,49
17.03.1966 12:00:00;  7,12
01.04.1966 12:00:00;  8,42
25.05.1966 12:00:00;  7,12
24.06.1966 12:00:00;  5,38
21.07.1966 12:00:00;  7,43
15.08.1966 12:00:00;  8,42
30.09.1966 12:00:00;  8,42
18.10.1966 12:00:00;  5,91
29.11.1966 12:00:00;  6,49
05.12.1966 12:00:00;  6,49
22.01.1967 12:00:00;  6,49
16.02.1967 12:00:00;  9,11
12.03.1967 12:00:00;  11,3
03.04.1967 12:00:00;  13,9
29.05.1967 12:00:00;  8,42
30.06.1967 12:00:00;  7,74
31.07.1967 12:00:00;  6,49
31.08.1967 12:00:00;  5,65
08.09.1967 12:00:00;  5,12
28.10.1967 12:00:00;  4,85
23.11.1967 12:00:00;  3,22
22.12.1967 12:00:00;  4,42
14.01.1968 12:00:00;  4,85
29.02.1968 12:00:00;  7,74
02.03.1968 12:00:00;  7,43
30.04.1968 12:00:00;  6,49
31.05.1968 12:00:00;  4,42
10.06.1968 12:00:00;  4,42
14.07.1968 12:00:00;  4,42
22.08.1968 12:00:00;  4,85
26.09.1968 12:00:00;  5,12
31.10.1968 12:00:00;  4,85
22.11.1968 12:00:00;  4,42
20.12.1968 12:00:00;  4,42
12.01.1969 12:00:00;  3,99
16.02.1969 12:00:00;  4,85
22.03.1969 12:00:00;  6,49
06.04.1969 12:00:00;  8,42
31.05.1969 12:00:00;  5,91
06.06.1969 12:00:00;  5,38
31.07.1969 12:00:00;  5,91
16.08.1969 12:00:00;  5,91
27.09.1969 12:00:00;  4,85
28.10.1969 12:00:00;  4,42
18.11.1969 12:00:00;  4,42
27.12.1969 12:00:00;  4,42
31.01.1970 12:00:00;  4,42
01.02.1970 12:00:00;  4,85
11.03.1970 12:00:00;  6,49
06.04.1970 12:00:00;  12,2
21.05.1970 12:00:00;  13,9
30.06.1970 12:00:00;  8,42
09.07.1970 12:00:00;  7,12
31.08.1970 12:00:00;  8,77
17.09.1970 12:00:00;  5,38
20.10.1970 12:00:00;  6,49
13.11.1970 12:00:00;  8,42
31.12.1970 12:00:00;  6,49
12.01.1971 12:00:00;  5,91
14.02.1971 12:00:00;  5,91
10.03.1971 12:00:00;  4,85
30.04.1971 12:00:00;  8,42
27.05.1971 12:00:00;  5,91
19.06.1971 12:00:00;  7,12
31.07.1971 12:00:00;  5,38
21.08.1971 12:00:00;  4,85
28.09.1971 12:00:00;  3,99
31.10.1971 12:00:00;  3,37
17.11.1971 12:00:00;  3,00
02.12.1971 12:00:00;  5,99
31.01.1972 12:00:00;  4,25
11.02.1972 12:00:00;  3,81
23.03.1972 12:00:00;  4,25
11.04.1972 12:00:00;  5,99
28.05.1972 12:00:00;  8,42
29.06.1972 12:00:00;  6,49
06.07.1972 12:00:00;  6,49
17.08.1972 12:00:00;  7,12
30.09.1972 12:00:00;  7,12
31.10.1972 12:00:00;  5,38
30.11.1972 12:00:00;  5,38
31.12.1972 12:00:00;  4,85
25.01.1973 12:00:00;  4,20
19.02.1973 12:00:00;  4,42
03.03.1973 12:00:00;  4,25
16.04.1973 12:00:00;  9,90
31.05.1973 12:00:00;  7,70
04.06.1973 12:00:00;  7,70
25.07.1973 12:00:00;  7,26
25.08.1973 12:00:00;  4,21
15.09.1973 12:00:00;  3,74
31.10.1973 12:00:00;  3,11
09.11.1973 12:00:00;  3,11
04.12.1973 12:00:00;  4,50
06.01.1974 12:00:00;  5,20
28.02.1974 12:00:00;  6,65
11.03.1974 12:00:00;  5,93
29.04.1974 12:00:00;  5,47
31.05.1974 12:00:00;  5,93
26.06.1974 12:00:00;  7,16
31.07.1974 12:00:00;  5,93
21.08.1974 12:00:00;  4,42
06.09.1974 12:00:00;  3,68
05.10.1974 12:00:00;  3,86
05.11.1974 12:00:00;  2,53
01.12.1974 12:00:00;  5,70
31.01.1975 12:00:00;  8,83
28.02.1975 12:00:00;  6,39
10.03.1975 12:00:00;  6,39
12.04.1975 12:00:00;  6,91
31.05.1975 12:00:00;  5,70
07.06.1975 12:00:00;  5,47
17.07.1975 12:00:00;  8,26
21.08.1975 12:00:00;  6,39
18.09.1975 12:00:00;  4,04
29.10.1975 12:00:00;  3,50
05.11.1975 12:00:00;  3,86
22.12.1975 12:00:00;  3,86
01.01.1976 00:00:00; Lücke
01.01.1976 01:00:00;  4,41
16.02.1976 17:00:00;  5,86
25.03.1976 12:00:00;  5,13
14.04.1976 17:00:00;  5,13
06.05.1976 12:00:00;  5,05
30.06.1976 18:00:00;  6,17
13.07.1976 10:00:00;  4,25
11.08.1976 10:00:00;  3,59
01.09.1976 00:00:00; Lücke
01.09.1976 22:00:00;  5,35
25.09.1976 17:00:00;  5,68
30.10.1976 16:00:00;  5,28
13.11.1976 17:00:00;  4,63
30.12.1976 00:00:00;  5,35
02.01.1977 22:00:00;  5,26
04.02.1977 20:00:00;  7,13
28.03.1977 16:00:00;  7,82
01.04.1977 15:00:00;  8,17
25.05.1977 21:00:00;  6,67
19.06.1977 11:00:00;  5,09
03.07.1977 17:00:00;  4,51
01.08.1977 00:00:00;  5,58
14.09.1977 09:00:00;  4,61
29.10.1977 09:00:00;  4,51
04.11.1977 13:00:00;  4,12
05.12.1977 16:00:00;  3,75
29.01.1978 03:00:00;  4,45
21.02.1978 09:00:00;  4,19
12.03.1978 11:00:00;  5,39
10.04.1978 13:00:00;  6,41
28.05.1978 19:00:00;  5,56
25.06.1978 15:00:00;  4,45
11.07.1978 18:00:00;  4,27
21.08.1978 07:00:00;  3,29
06.09.1978 01:00:00;  2,58
21.10.1978 15:00:00;  2,37
23.11.1978 17:00:00;  2,61
07.12.1978 09:00:00;  3,11
15.01.1979 09:00:00;  4,43
02.02.1979 14:00:00;  4,90
03.03.1979 11:00:00;  4,63
02.04.1979 07:00:00;  9,11
31.05.1979 23:59:55;  7,80
13.06.1979 13:00:00;  6,68
31.07.1979 14:00:00;  6,57
29.08.1979 15:00:00;  4,84
04.09.1979 15:00:00;  4,35
13.10.1979 09:00:00;  3,78
01.11.1979 04:00:00;  4,49
