Messstelle:                ;Weißbach
HZB-Nummer:                ;203497
HD-Nummer:                 ;
DBMS-Nummer:               ;5001044
Gewässer:                  ;Saalach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;543,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00658,77
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1923              ;406080,00 - 265000,00
Exportzeitreihe:           ;(5001044,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[29.01.1959 12:00,01.01.2022 00:00]
Werte:
29.01.1959 12:00:00;  5,32
04.02.1959 12:00:00;  4,76
01.03.1959 12:00:00;  9,30
02.04.1959 12:00:00;  13,9
31.05.1959 12:00:00;  17,4
03.06.1959 12:00:00;  16,8
28.07.1959 12:00:00;  15,0
31.08.1959 12:00:00;  14,4
30.09.1959 12:00:00;  6,96
18.10.1959 12:00:00;  4,48
30.11.1959 12:00:00;  4,00
17.12.1959 12:00:00;  3,20
16.01.1960 12:00:00;  3,04
09.02.1960 12:00:00;  3,60
10.03.1960 12:00:00;  10,3
30.04.1960 12:00:00;  11,7
03.05.1960 12:00:00;  10,3
24.06.1960 12:00:00;  10,7
07.07.1960 12:00:00;  9,78
29.08.1960 12:00:00;  15,0
29.09.1960 12:00:00;  11,7
07.10.1960 12:00:00;  10,7
28.11.1960 12:00:00;  11,7
26.12.1960 12:00:00;  5,94
20.01.1961 12:00:00;  4,76
09.02.1961 12:00:00;  6,28
05.03.1961 12:00:00;  12,2
29.04.1961 12:00:00;  20,1
02.05.1961 12:00:00;  21,4
30.06.1961 12:00:00;  17,5
28.07.1961 12:00:00;  11,5
12.08.1961 12:00:00;  9,00
30.09.1961 12:00:00;  5,00
18.10.1961 12:00:00;  4,22
25.11.1961 12:00:00;  3,96
06.12.1961 12:00:00;  3,70
24.01.1962 12:00:00;  5,94
04.02.1962 12:00:00;  5,60
03.03.1962 12:00:00;  5,94
12.04.1962 12:00:00;  11,7
04.05.1962 12:00:00;  28,8
30.06.1962 12:00:00;  22,9
02.07.1962 12:00:00;  19,4
31.08.1962 12:00:00;  10,0
16.09.1962 12:00:00;  6,44
28.10.1962 12:00:00;  4,22
30.11.1962 12:00:00;  3,28
04.12.1962 12:00:00;  2,50
26.01.1963 12:00:00;  2,50
26.02.1963 12:00:00;  2,65
02.03.1963 12:00:00;  2,50
03.04.1963 12:00:00;  9,50
07.05.1963 12:00:00;  20,7
18.06.1963 12:00:00;  14,9
31.07.1963 12:00:00;  10,0
09.08.1963 12:00:00;  6,44
25.09.1963 12:00:00;  7,24
31.10.1963 12:00:00;  4,60
06.11.1963 12:00:00;  3,80
20.12.1963 12:00:00;  2,45
19.01.1964 12:00:00;  1,85
09.02.1964 12:00:00;  2,25
09.03.1964 12:00:00;  2,99
09.04.1964 12:00:00;  9,32
31.05.1964 12:00:00;  17,5
