Messstelle:                ;Innsbruck-Reichenau
HZB-Nummer:                ;201624
HD-Nummer:                 ;
DBMS-Nummer:               ;7001057
Gewässer:                  ;Sill
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;854,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1904              ;00567,52
   11.02.1972              ;00566,52
   15.03.1974              ;00569,77
   01.01.1976              ;00569,35
   01.01.1977              ;00569,32
   14.06.2007              ;00567,39
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1904              ;231753,70 - 237897,40
   01.01.1976              ;304613,83 - 238896,13
   14.06.2007              ;231600,06 - 237679,02
Exportzeitreihe:           ;(7001057,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[20.01.1951 12:00,01.01.2022 00:00]
Werte:
20.01.1951 12:00:00;  7,15
03.02.1951 12:00:00;  7,40
03.03.1951 12:00:00;  6,90
02.04.1951 12:00:00;  9,27
02.05.1951 12:00:00;  22,7
07.06.1951 12:00:00;  52,2
30.07.1951 12:00:00;  53,3
27.08.1951 12:00:00;  33,8
23.09.1951 12:00:00;  20,2
30.10.1951 12:00:00;  14,0
05.11.1951 12:00:00;  13,3
14.12.1951 12:00:00;  12,0
29.01.1952 12:00:00;  9,82
22.02.1952 12:00:00;  9,27
15.03.1952 12:00:00;  9,54
08.04.1952 12:00:00;  13,3
28.05.1952 12:00:00;  20,2
28.06.1952 12:00:00;  26,8
27.07.1952 12:00:00;  21,9
29.08.1952 12:00:00;  21,3
30.09.1952 12:00:00;  18,6
21.10.1952 12:00:00;  15,8
29.11.1952 12:00:00;  13,6
29.12.1952 12:00:00;  9,48
31.01.1953 12:00:00;  8,49
23.02.1953 12:00:00;  5,61
09.03.1953 12:00:00;  4,80
01.04.1953 12:00:00;  10,1
13.05.1953 12:00:00;  14,4
06.06.1953 12:00:00;  19,6
17.07.1953 12:00:00;  32,4
31.08.1953 12:00:00;  19,1
24.09.1953 12:00:00;  12,4
13.10.1953 12:00:00;  9,81
30.11.1953 12:00:00;  6,69
31.12.1953 12:00:00;  4,30
11.01.1954 12:00:00;  3,70
24.02.1954 12:00:00;  4,55
09.03.1954 12:00:00;  4,30
02.04.1954 12:00:00;  6,69
01.05.1954 12:00:00;  10,1
02.06.1954 12:00:00;  28,9
31.07.1954 12:00:00;  28,9
13.08.1954 12:00:00;  24,2
27.09.1954 12:00:00;  18,1
24.10.1954 12:00:00;  12,6
28.11.1954 12:00:00;  10,5
31.12.1954 12:00:00;  8,55
20.01.1955 12:00:00;  7,00
26.02.1955 12:00:00;  6,75
13.03.1955 12:00:00;  6,00
25.04.1955 12:00:00;  10,5
25.05.1955 12:00:00;  27,6
01.06.1955 12:00:00;  28,3
31.07.1955 12:00:00;  31,7
30.08.1955 12:00:00;  20,8
25.09.1955 12:00:00;  20,2
30.10.1955 12:00:00;  9,30
30.11.1955 12:00:00;  10,5
21.12.1955 12:00:00;  8,90
29.01.1956 12:00:00;  6,25
02.02.1956 12:00:00;  5,75
17.03.1956 12:00:00;  6,50
09.04.1956 12:00:00;  8,20
05.05.1956 12:00:00;  12,1
25.06.1956 12:00:00;  33,9
24.07.1956 12:00:00;  36,2
18.08.1956 12:00:00;  25,6
30.09.1956 12:00:00;  21,4
29.10.1956 12:00:00;  13,8
17.11.1956 12:00:00;  6,50
23.12.1956 12:00:00;  6,25
18.01.1957 12:00:00;  5,25
11.02.1957 12:00:00;  6,00
10.03.1957 12:00:00;  4,75
06.04.1957 12:00:00;  10,1
11.05.1957 12:00:00;  13,4
01.06.1957 12:00:00;  21,4
31.07.1957 12:00:00;  30,7
31.08.1957 12:00:00;  30,7
22.09.1957 12:00:00;  19,4
06.10.1957 12:00:00;  13,0
17.11.1957 12:00:00;  8,00
15.12.1957 12:00:00;  8,00
26.01.1958 12:00:00;  6,18
02.02.1958 12:00:00;  5,76
13.03.1958 12:00:00;  4,36
12.04.1958 12:00:00;  6,41
01.05.1958 12:00:00;  12,5
16.06.1958 12:00:00;  31,4
26.07.1958 12:00:00;  32,9
28.08.1958 12:00:00;  29,3
30.09.1958 12:00:00;  19,0
10.10.1958 12:00:00;  17,9
23.11.1958 12:00:00;  9,86
28.12.1958 12:00:00;  9,50
26.01.1959 12:00:00;  7,38
23.02.1959 12:00:00;  6,60
15.03.1959 12:00:00;  5,16
03.04.1959 12:00:00;  9,50
04.05.1959 12:00:00;  16,3
03.06.1959 12:00:00;  24,9
27.07.1959 12:00:00;  31,3
31.08.1959 12:00:00;  22,7
30.09.1959 12:00:00;  14,7
26.10.1959 12:00:00;  7,40
17.11.1959 12:00:00;  5,60
16.12.1959 12:00:00;  5,80
10.01.1960 12:00:00;  6,00
22.02.1960 12:00:00;  5,40
20.03.1960 12:00:00;  5,20
01.04.1960 12:00:00;  10,2
02.05.1960 12:00:00;  11,3
30.06.1960 12:00:00;  33,3
06.07.1960 12:00:00;  26,6
31.08.1960 12:00:00;  27,9
14.09.1960 12:00:00;  22,1
20.10.1960 12:00:00;  20,6
27.11.1960 12:00:00;  13,4
27.12.1960 12:00:00;  9,86
29.01.1961 12:00:00;  6,60
02.02.1961 12:00:00;  6,86
07.03.1961 12:00:00;  7,64
04.04.1961 12:00:00;  10,6
03.05.1961 12:00:00;  20,4
05.06.1961 12:00:00;  33,3
24.07.1961 12:00:00;  29,3
26.08.1961 12:00:00;  22,7
26.09.1961 12:00:00;  15,2
16.10.1961 12:00:00;  9,48
19.11.1961 12:00:00;  5,19
08.12.1961 12:00:00;  5,57
15.01.1962 12:00:00;  5,19
03.02.1962 12:00:00;  4,36
20.03.1962 12:00:00;  4,52
01.04.1962 12:00:00;  5,19
04.05.1962 12:00:00;  16,6
12.06.1962 12:00:00;  31,3
08.07.1962 12:00:00;  34,1
31.08.1962 12:00:00;  24,8
30.09.1962 12:00:00;  14,4
22.10.1962 12:00:00;  9,30
25.11.1962 12:00:00;  5,57
10.12.1962 12:00:00;  6,64
31.01.1963 12:00:00;  6,18
28.02.1963 12:00:00;  5,95
24.03.1963 12:00:00;  4,52
04.04.1963 12:00:00;  6,87
07.05.1963 12:00:00;  18,2
17.06.1963 12:00:00;  28,6
31.07.1963 12:00:00;  30,6
12.08.1963 12:00:00;  26,6
30.09.1963 12:00:00;  19,8
20.10.1963 12:00:00;  9,14
01.11.1963 12:00:00;  12,1
01.12.1963 12:00:00;  6,41
31.01.1964 12:00:00;  6,41
29.02.1964 12:00:00;  5,95
20.03.1964 12:00:00;  4,84
05.04.1964 12:00:00;  5,19
03.05.1964 12:00:00;  14,4
10.06.1964 12:00:00;  30,6
31.07.1964 12:00:00;  24,0
21.08.1964 12:00:00;  20,4
30.09.1964 12:00:00;  12,6
08.10.1964 12:00:00;  10,9
14.11.1964 12:00:00;  6,82
30.12.1964 12:00:00;  8,22
17.01.1965 12:00:00;  7,09
20.02.1965 12:00:00;  5,45
01.03.1965 12:00:00;  5,45
04.04.1965 12:00:00;  7,09
