Messstelle:                ;Leibnitz
HZB-Nummer:                ;211458
HD-Nummer:                 ;ow3856
DBMS-Nummer:               ;6001095
Gewässer:                  ;Sulm
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;1102,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00258,98
   01.01.1992              ;00262,98
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;00000,00 - 00000,00
   01.01.1991              ;688529,00 - 182580,00
   01.01.2018              ;688506,00 - 182616,30
Exportzeitreihe:           ;(6001095,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[23.01.1951 12:00,01.01.2022 00:00]
Werte:
23.01.1951 12:00:00;  10,8
01.02.1951 12:00:00;  16,1
06.03.1951 12:00:00;  19,3
19.04.1951 12:00:00;  15,4
30.05.1951 12:00:00;  17,5
28.06.1951 12:00:00;  5,87
22.07.1951 12:00:00;  4,55
31.08.1951 12:00:00;  2,50
11.09.1951 12:00:00;  1,90
16.10.1951 12:00:00;  8,92
28.11.1951 12:00:00;  9,54
23.12.1951 12:00:00;  5,87
31.01.1952 12:00:00;  4,97
12.02.1952 12:00:00;  6,41
11.03.1952 12:00:00;  14,0
25.04.1952 12:00:00;  8,61
30.05.1952 12:00:00;  2,50
17.06.1952 12:00:00;  1,90
07.07.1952 12:00:00;  1,10
01.08.1952 12:00:00;  1,38
02.09.1952 12:00:00;  1,31
10.10.1952 12:00:00;  4,55
29.11.1952 12:00:00;  6,14
12.12.1952 12:00:00;  4,55
29.01.1953 12:00:00;  6,14
17.02.1953 12:00:00;  3,92
20.03.1953 12:00:00;  4,76
09.04.1953 12:00:00;  4,13
05.05.1953 12:00:00;  3,16
07.06.1953 12:00:00;  6,14
30.07.1953 12:00:00;  1,10
01.08.1953 12:00:00;  1,72
05.09.1953 12:00:00;  5,18
18.10.1953 12:00:00;  4,13
27.11.1953 12:00:00;  3,50
20.12.1953 12:00:00;  4,34
06.01.1954 12:00:00;  2,82
06.02.1954 12:00:00;  2,50
01.03.1954 12:00:00;  8,03
20.04.1954 12:00:00;  4,13
28.05.1954 12:00:00;  9,85
01.06.1954 12:00:00;  15,4
29.07.1954 12:00:00;  13,1
23.08.1954 12:00:00;  5,18
06.09.1954 12:00:00;  5,18
25.10.1954 12:00:00;  8,61
08.11.1954 12:00:00;  5,60
31.12.1954 12:00:00;  10,5
30.01.1955 12:00:00;  6,95
18.02.1955 12:00:00;  6,14
01.03.1955 12:00:00;  7,49
26.04.1955 12:00:00;  2,99
07.05.1955 12:00:00;  3,16
25.06.1955 12:00:00;  3,29
07.07.1955 12:00:00;  4,55
20.08.1955 12:00:00;  4,76
10.09.1955 12:00:00;  5,60
04.10.1955 12:00:00;  4,97
29.11.1955 12:00:00;  12,4
26.12.1955 12:00:00;  6,41
30.01.1956 12:00:00;  3,04
11.02.1956 12:00:00;  3,38
01.03.1956 12:00:00;  4,50
18.04.1956 12:00:00;  9,00
17.05.1956 12:00:00;  6,56
25.06.1956 12:00:00;  20,5
27.07.1956 12:00:00;  7,34
07.08.1956 12:00:00;  6,56
28.09.1956 12:00:00;  3,74
25.10.1956 12:00:00;  2,72
11.11.1956 12:00:00;  8,72
26.12.1956 12:00:00;  3,92
19.01.1957 12:00:00;  3,20
02.02.1957 12:00:00;  4,90
29.03.1957 12:00:00;  5,82
03.04.1957 12:00:00;  8,03
16.05.1957 12:00:00;  12,1
30.06.1957 12:00:00;  4,55
09.07.1957 12:00:00;  2,99
13.08.1957 12:00:00;  5,87
08.09.1957 12:00:00;  4,97
12.10.1957 12:00:00;  5,39
08.11.1957 12:00:00;  4,76
02.12.1957 12:00:00;  4,34
11.01.1958 12:00:00;  3,71
01.02.1958 12:00:00;  7,22
19.03.1958 12:00:00;  13,4
22.04.1958 12:00:00;  16,1
31.05.1958 12:00:00;  4,34
05.06.1958 12:00:00;  1,90
22.07.1958 12:00:00;  2,50
31.08.1958 12:00:00;  6,68
18.09.1958 12:00:00;  4,97
11.10.1958 12:00:00;  7,22
01.11.1958 12:00:00;  10,2
09.12.1958 12:00:00;  11,1
19.01.1959 12:00:00;  7,54
08.02.1959 12:00:00;  4,64
12.03.1959 12:00:00;  5,54
06.04.1959 12:00:00;  8,40
10.05.1959 12:00:00;  9,30
09.06.1959 12:00:00;  10,2
24.07.1959 12:00:00;  6,50
11.08.1959 12:00:00;  6,02
19.09.1959 12:00:00;  2,66
27.10.1959 12:00:00;  2,50
10.11.1959 12:00:00;  7,80
03.12.1959 12:00:00;  9,90
11.01.1960 12:00:00;  7,02
08.02.1960 12:00:00;  6,02
10.03.1960 12:00:00;  7,80
28.04.1960 12:00:00;  9,60
31.05.1960 12:00:00;  7,02
23.06.1960 12:00:00;  1,40
07.07.1960 12:00:00;  1,30
25.08.1960 12:00:00;  2,17
02.09.1960 12:00:00;  4,56
30.10.1960 12:00:00;  10,3
02.11.1960 12:00:00;  8,80
06.12.1960 12:00:00;  14,4
29.01.1961 12:00:00;  7,40
04.02.1961 12:00:00;  7,14
31.03.1961 12:00:00;  5,22
23.04.1961 12:00:00;  3,90
27.05.1961 12:00:00;  6,36
01.06.1961 12:00:00;  7,40
08.07.1961 12:00:00;  4,12
31.08.1961 12:00:00;  3,90
02.09.1961 12:00:00;  1,29
05.10.1961 12:00:00;  2,44
02.11.1961 12:00:00;  7,40
26.12.1961 12:00:00;  7,40
30.01.1962 12:00:00;  7,68
26.02.1962 12:00:00;  7,96
24.03.1962 12:00:00;  8,24
30.04.1962 12:00:00;  10,0
10.05.1962 12:00:00;  6,88
16.06.1962 12:00:00;  9,10
26.07.1962 12:00:00;  12,8
11.08.1962 12:00:00;  6,10
07.09.1962 12:00:00;  6,36
27.10.1962 12:00:00;  5,87
05.11.1962 12:00:00;  14,4
30.12.1962 12:00:00;  8,92
31.01.1963 12:00:00;  8,92
16.02.1963 12:00:00;  8,30
01.03.1963 12:00:00;  8,92
18.04.1963 12:00:00;  19,3
27.05.1963 12:00:00;  12,4
29.06.1963 12:00:00;  7,80
31.07.1963 12:00:00;  6,36
28.08.1963 12:00:00;  4,34
30.09.1963 12:00:00;  10,9
31.10.1963 12:00:00;  5,22
11.11.1963 12:00:00;  6,88
19.12.1963 12:00:00;  9,40
22.01.1964 12:00:00;  5,44
09.02.1964 12:00:00;  5,88
07.03.1964 12:00:00;  3,35
30.04.1964 12:00:00;  10,2
26.05.1964 12:00:00;  10,3
15.06.1964 12:00:00;  6,36
31.07.1964 12:00:00;  6,10
18.08.1964 12:00:00;  4,56
14.09.1964 12:00:00;  3,00
03.10.1964 12:00:00;  4,12
25.11.1964 12:00:00;  13,4
11.12.1964 12:00:00;  8,24
25.01.1965 12:00:00;  10,6
21.02.1965 12:00:00;  5,22
01.03.1965 12:00:00;  7,96
08.04.1965 12:00:00;  11,2
15.05.1965 12:00:00;  18,7
24.06.1965 12:00:00;  11,2
01.07.1965 12:00:00;  11,2
23.08.1965 12:00:00;  10,7
28.09.1965 12:00:00;  8,60
26.10.1965 12:00:00;  4,85
03.11.1965 12:00:00;  4,85
27.12.1965 12:00:00;  11,3
15.01.1966 12:00:00;  4,47
01.02.1966 12:00:00;  5,61
23.03.1966 12:00:00;  4,85
08.04.1966 12:00:00;  5,61
06.05.1966 12:00:00;  4,66
13.06.1966 12:00:00;  3,75
13.07.1966 12:00:00;  4,09
16.08.1966 12:00:00;  6,55
26.09.1966 12:00:00;  8,90
07.10.1966 12:00:00;  5,80
03.11.1966 12:00:00;  10,1
27.12.1966 12:00:00;  9,20
21.01.1967 12:00:00;  6,80
15.02.1967 12:00:00;  6,20
27.03.1967 12:00:00;  7,10
28.04.1967 12:00:00;  10,2
30.05.1967 12:00:00;  4,60
26.06.1967 12:00:00;  3,50
23.07.1967 12:00:00;  3,80
31.08.1967 12:00:00;  3,90
01.09.1967 12:00:00;  3,90
27.10.1967 12:00:00;  6,05
27.11.1967 12:00:00;  8,05
13.12.1967 12:00:00;  4,66
04.01.1968 12:00:00;  2,55
06.02.1968 12:00:00;  4,66
22.03.1968 12:00:00;  3,60
30.04.1968 12:00:00;  2,16
16.05.1968 12:00:00;  1,25
04.06.1968 12:00:00;  4,85
30.07.1968 12:00:00;  3,90
02.08.1968 12:00:00;  3,75
25.09.1968 12:00:00;  7,85
